"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	39	100	82.4738494574359	39.1446129069231	39.1446129069231	21	39	780
2	1	19	100	79.2797674231669	41.5401744326248	41.5401744326248	17	17	34
3	1	19	100	79.2797674231669	41.5401744326248	41.5401744326248	22	17	91
4	1	19	100	79.2797674231669	41.5401744326248	41.5401744326248	22	17	73
5	1	18	100	75.5676903276326	44.3242322542755	44.3242322542755	16	20	20
6	1	18	100	75.5676903276326	44.3242322542755	41.6178890677674	9	20	11
7	1	18	100	75.5676903276326	44.3242322542755	44.3242322542755	12	20	29
8	1	18	100	75.5676903276326	44.3242322542755	44.3242322542755	18	20	37
9	1	18	100	75.5676903276326	44.3242322542755	44.3242322542755	13	20	46
10	1	18	100	75.5676903276326	44.3242322542755	44.3242322542755	16	20	46
11	1	11	100	75.1405723639331	44.6445707270502	44.6445707270502	11	11	11
12	1	11	100	75.1405723639331	44.6445707270502	44.3242322542755	14	11	16
13	1	11	100	75.1405723639331	44.6445707270502	44.3242322542755	21	11	21
14	1	11	100	75.1405723639331	44.6445707270502	44.3242322542755	12	11	14
15	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
16	1	14	100	71.9182038305994	47.0613471270505	44.3242322542755	13	11	46
17	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
18	1	14	100	71.9182038305994	47.0613471270505	44.3242322542755	11	11	32
19	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
20	1	14	100	71.9182038305994	47.0613471270505	44.6445707270502	11	11	11
21	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
22	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
23	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
24	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	22
25	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	22
26	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	22
27	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
28	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
29	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	12	11	11
30	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
31	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
32	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
33	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	12	11	11
34	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
35	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
36	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	11
37	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	11
38	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
39	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
40	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
41	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
42	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
43	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
44	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
45	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
46	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
47	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
48	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
49	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
50	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
51	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
52	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
53	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
54	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
55	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
56	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
57	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	11	11	10
58	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
59	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	10	11	10
60	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	14	11	10
61	1	14	100	71.9182038305994	47.0613471270505	44.3242322542755	17	11	37
62	1	14	100	71.9182038305994	47.0613471270505	44.6445707270502	10	11	11
63	1	14	100	71.9182038305994	47.0613471270505	44.627358308218	13	11	10
64	1	14	100	71.9182038305994	47.0613471270505	44.3242322542755	14	11	97
65	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	13	11	10
66	1	14	100	71.9182038305994	47.0613471270505	44.6445707270502	10	11	11
67	1	14	100	71.9182038305994	47.0613471270505	47.0613471270505	13	11	21
68	1	11	100	70.6485665627408	48.0135750779444	48.0135750779444	11	13	13
69	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	13	13	23
70	1	11	100	70.6485665627408	48.0135750779444	48.0135750779444	12	13	13
71	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	11	13	11
72	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	13	13	34
73	1	11	100	70.6485665627408	48.0135750779444	48.0135750779444	11	13	13
74	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	13	13	34
75	1	11	100	70.6485665627408	48.0135750779444	48.0135750779444	12	13	13
76	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	11	13	32
77	1	11	100	70.6485665627408	48.0135750779444	48.0135750779444	11	13	13
78	1	11	100	70.6485665627408	48.0135750779444	47.0613471270505	13	13	45
