"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1.5	27	65.7960570162321	84.974170873607	-1853.01532872126	-1853.01532872126	16	27	540
2	1.5	15	76.5059574552591	81.516482339085	-425.102086482887	-425.102086482887	15	15	15
3	1.5	10	74.6011970324767	71.1800778353827	416.342746371504	416.342746371504	17	10	10
4	1.5	10	74.6011970324767	71.1800778353827	416.342746371504	394.146424718709	13	10	10
5	1.5	10	74.6011970324767	71.1800778353827	416.342746371504	-257.340780827655	7	10	8
6	1.5	10	74.6011970324767	71.1800778353827	416.342746371504	-22.6786470826331	11	10	10
7	1.5	9	79.7275699420127	73.4622208551176	705.780997150034	705.780997150034	9	13	13
8	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1616.11839104193	12	12	12
9	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	12	12	11
10	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1317.47073263104	12	12	12
11	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1317.47073263104	12	12	12
12	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1317.47073263104	11	12	12
13	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
14	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
15	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
16	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
17	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
18	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
19	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
20	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
21	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
22	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
23	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
24	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
25	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
26	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
27	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
28	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
29	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
30	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
31	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
32	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
33	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
34	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
35	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
36	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
37	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
38	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
39	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
40	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
41	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
42	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
43	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
44	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
45	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
46	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
47	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
48	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
49	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
50	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
51	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
52	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
53	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
54	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
55	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
56	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
57	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
58	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
59	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
60	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
61	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
62	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
63	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
64	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
65	1.5	16	80.9403972650698	65.5841728828567	1616.11839104193	1202.89060137076	11	12	11
