"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	77	89.3420713296191	85.0441947569184	31.4756171673715	31.4756171673715	43	77	1540
2	1	34	100	84.4828040227541	40.4594397814747	40.4594397814747	32	31	31
3	1	34	100	84.4828040227541	40.4594397814747	40.0534792545727	37	31	32
4	1	34	100	84.4828040227541	40.4594397814747	40.4464527684877	29	31	32
5	1	45	100	84.4828040227541	40.4854138074487	40.4854138074487	29	29	29
6	1	45	100	84.4828040227541	40.4854138074487	40.4854138074487	29	29	29
7	1	45	100	84.4828040227541	40.4854138074487	40.4854138074487	29	29	29
8	1	23	100	84.4828040227541	40.5243748464098	40.5243748464098	26	26	26
9	1	23	100	84.4828040227541	40.5243748464098	40.5243748464098	26	26	26
10	1	23	100	84.4828040227541	40.5243748464098	40.5243748464098	35	26	26
11	1	23	100	84.4828040227541	40.5243748464098	40.5113878334228	27	26	27
12	1	29	100	84.4828040227541	40.5373618593968	40.5373618593968	25	25	25
13	1	17	100	84.4828040227541	40.5633358853708	40.5633358853708	23	23	23
14	1	17	100	84.4828040227541	40.5633358853708	40.5633358853708	23	23	23
15	1	17	100	84.4828040227541	40.5633358853708	40.5633358853708	27	23	23
16	1	17	100	84.4828040227541	40.5633358853708	40.4724267944617	30	23	27
17	1	17	100	84.4828040227541	40.5633358853708	40.5373618593968	23	23	23
18	1	17	100	84.4828040227541	40.5633358853708	40.5633358853708	24	23	46
19	1	17	100	84.4828040227541	40.5633358853708	40.5503488723838	24	23	23
20	1	17	100	84.4828040227541	40.5633358853708	40.5503488723838	23	23	46
21	1	17	100	84.4828040227541	40.5633358853708	40.5633358853708	23	23	23
22	1	22	100	84.4828040227541	40.5763228983578	40.5763228983578	22	22	22
23	1	22	100	84.4828040227541	40.5763228983578	40.5763228983578	22	22	22
24	1	19	100	84.4828040227541	40.6152839373189	40.6152839373189	19	19	19
25	1	19	100	84.4828040227541	40.6152839373189	40.6152839373189	24	19	38
26	1	28	100	84.4828040227541	40.6282709503059	40.6282709503059	18	18	18
27	1	28	100	84.4828040227541	40.6282709503059	40.6282709503059	16	18	18
28	1	16	100	84.4828040227541	40.6542449762799	40.6542449762799	17	16	16
29	1	16	100	84.4828040227541	40.6542449762799	40.6412579632929	16	16	16
30	1	16	100	84.4828040227541	40.6542449762799	40.6542449762799	17	16	16
31	1	16	100	84.4828040227541	40.6542449762799	40.6412579632929	16	16	16
