"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	77	88.2936262965159	85.0295892687185	30.6995072342839	30.6995072342839	43	77	1540
2	1	34	100	85.0295892687185	40.0766901092996	40.0766901092996	31	31	31
3	1	34	100	85.0295892687185	40.0766901092996	40.0766901092996	31	31	62
4	1	34	100	85.0295892687185	40.0766901092996	40.0766901092996	31	31	62
5	1	34	100	85.0295892687185	40.0766901092996	40.0766901092996	36	31	93
6	1	34	100	85.0295892687185	40.0766901092996	40.0766901092996	31	31	31
7	1	32	100	85.0295892687185	40.0896771222867	40.0896771222867	30	30	30
8	1	32	100	85.0295892687185	40.0896771222867	40.0896771222867	30	30	90
9	1	31	100	85.0295892687185	40.1156511482607	40.1156511482607	29	28	28
10	1	31	100	85.0295892687185	40.1156511482607	40.1156511482607	27	28	28
11	1	26	100	85.0295892687185	40.1416251742347	40.1416251742347	26	26	26
12	1	26	100	85.0295892687185	40.1416251742347	40.1416251742347	26	26	26
13	1	17	100	85.0295892687185	40.2585082911178	40.2585082911178	16	17	17
14	1	17	100	85.0295892687185	40.2585082911178	40.1675992002087	21	17	24
15	1	17	100	85.0295892687185	40.2585082911178	40.2195472521568	35	17	40
16	1	17	100	85.0295892687185	40.2585082911178	40.1286381612477	20	17	27
17	1	17	100	85.0295892687185	40.2585082911178	40.2195472521568	17	17	20
18	1	17	100	85.0295892687185	40.2585082911178	40.1546121872217	22	17	17
19	1	17	100	85.0295892687185	40.2585082911178	40.2585082911178	13	17	17
20	1	17	100	85.0295892687185	40.2585082911178	40.2065602391698	28	17	21
21	1	24	100	84.3748021047341	40.6259502149978	40.6259502149978	15	24	24
22	1	24	100	84.3748021047341	40.6259502149978	40.2065602391698	23	24	41
23	1	24	100	84.3748021047341	40.6259502149978	40.2455212781308	19	24	18
24	1	24	100	84.3748021047341	40.6519242409719	40.6519242409719	22	22	22
25	1	20	100	84.3748021047341	40.6778982669459	40.6778982669459	30	20	20
26	1	20	100	84.3748021047341	40.6778982669459	40.4155514373645	23	20	21
27	1	20	100	84.3748021047341	40.6908852799329	40.6908852799329	19	19	19
28	1	20	100	84.3748021047341	40.6908852799329	40.6908852799329	19	19	19
29	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
30	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
31	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
32	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
33	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
34	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	20	17	51
35	1	19	100	84.3748021047341	40.7168593059069	40.7168593059069	17	17	17
36	1	16	100	84.3748021047341	40.7298463188939	40.7298463188939	18	16	16
37	1	16	100	84.3748021047341	40.7298463188939	40.7168593059069	15	16	17
38	1	16	100	84.3748021047341	40.7298463188939	40.6908852799329	16	16	36
39	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
40	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
41	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
42	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	30
43	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
44	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
45	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
46	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	16	15	30
47	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
48	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
49	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	16	15	30
50	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
51	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
52	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
53	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
54	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
55	1	16	100	84.3748021047341	40.7428333318809	40.7428333318809	15	15	15
56	1	20	100	84.3748021047341	40.755820344868	40.755820344868	16	14	14
57	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
58	1	20	100	84.3748021047341	40.755820344868	40.755820344868	17	14	28
59	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
60	1	20	100	84.3748021047341	40.755820344868	40.755820344868	17	14	28
61	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
62	1	20	100	84.3748021047341	40.755820344868	40.755820344868	15	14	28
63	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
64	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	28
65	1	20	100	84.3748021047341	40.755820344868	40.755820344868	16	14	28
66	1	20	100	84.3748021047341	40.755820344868	40.755820344868	15	14	28
67	1	20	100	84.3748021047341	40.755820344868	40.755820344868	21	14	28
68	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
69	1	20	100	84.3748021047341	40.755820344868	40.755820344868	14	14	14
70	1	20	100	84.3748021047341	40.755820344868	40.755820344868	22	14	14
71	1	20	100	84.3748021047341	40.755820344868	40.7038722929199	17	14	18
72	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
73	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
74	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	16	17	17
75	1	18	100	80.6168998018989	43.0348909178915	42.7353779308785	16	17	17
76	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
77	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
78	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
79	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
80	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
81	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
82	1	18	100	80.6168998018989	43.0348909178915	43.0348909178915	17	17	17
83	1	17	100	80.6168998018989	43.0608649438656	43.0608649438656	15	15	15
84	1	17	100	80.6168998018989	43.0608649438656	40.755820344868	14	15	14
85	1	17	100	80.6168998018989	43.0608649438656	43.0608649438656	14	15	15
86	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	14
87	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	14
88	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	28
89	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	28
90	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	13	14	42
91	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	42
92	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	28
93	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	42
94	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	42
95	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	28
96	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	42
97	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	15	14	42
98	1	14	100	80.6168998018989	43.0738519568526	43.0738519568526	14	14	28
99	1	14	100	80.6168998018989	43.3344039049045	43.3344039049045	17	18	18
100	1	14	100	80.6168998018989	43.3344039049045	43.0738519568526	16	18	42
101	1	17	100	80.6168998018989	43.3603779308785	43.3603779308785	16	16	16
102	1	17	100	80.6168998018989	43.3603779308785	43.3603779308785	16	16	16
103	1	17	100	80.6168998018989	43.3603779308785	43.3603779308785	16	16	16
104	1	17	100	80.6168998018989	43.3603779308785	43.3603779308785	16	16	16
105	1	17	100	80.6168998018989	43.3603779308785	43.3603779308785	17	16	16
106	1	18	100	80.6168998018989	43.3863519568526	43.3863519568526	12	14	14
107	1	18	100	80.6168998018989	43.3863519568526	43.3603779308785	14	14	16
108	1	18	100	80.6168998018989	43.3863519568526	43.3863519568526	14	14	14
109	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
110	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	16	11	11
111	1	16	100	80.6168998018989	43.4253129958136	43.3473909178915	13	11	16
112	1	16	100	80.6168998018989	43.4253129958136	43.3473909178915	17	11	17
113	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
114	1	16	100	80.6168998018989	43.4253129958136	43.3863519568526	14	11	14
115	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	16	11	11
116	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
117	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
118	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
119	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
120	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
121	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
122	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	10	11	26
123	1	16	100	80.6168998018989	43.4253129958136	43.3473909178915	16	11	16
124	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	11	11	26
125	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
126	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
127	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	11	11	24
128	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
129	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
130	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
131	1	16	100	80.6168998018989	43.4253129958136	43.4123259828266	16	11	12
132	1	16	100	80.6168998018989	43.4253129958136	43.4123259828266	11	11	12
133	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
134	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
135	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
136	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	12	11	13
137	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
138	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
139	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
140	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
141	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	12	11	13
142	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
143	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
144	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
145	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
146	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	12	11	11
147	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
148	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	22
149	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	22
150	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	13	11	22
151	1	16	100	80.6168998018989	43.4253129958136	43.4123259828266	11	11	11
152	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	22
153	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	13	11	22
154	1	16	100	80.6168998018989	43.4253129958136	43.3993389698396	13	11	13
155	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	22
156	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	10	11	22
157	1	16	100	80.6168998018989	43.4253129958136	43.4253129958136	11	11	11
