"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	53	100	80.8008055576837	42.4394361096214	42.4394361096214	28	53	1060
2	1	53	100	80.8008055576837	42.4394361096214	41.9224115382263	52	53	954
3	1	53	100	80.8008055576837	42.4394361096214	42.4394361096214	53	53	106
4	1	53	100	80.8008055576837	42.4394361096214	42.4394361096214	53	53	212
5	1	53	100	80.8008055576837	42.4394361096214	42.4394361096214	53	53	212
6	1	53	100	80.8008055576837	42.4394361096214	42.4394361096214	33	53	212
7	1	8	100	79.2729766766837	44.0801951523172	44.0801951523172	4	8	16
8	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
9	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
10	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
11	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
12	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
13	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
14	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
15	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
16	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
17	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	30	8	212
18	1	8	100	79.2729766766837	44.0801951523172	42.0910055150212	29	8	212
19	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	29
20	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
21	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
22	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
23	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
24	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
25	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
26	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
27	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
28	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
29	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
30	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
31	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
32	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
33	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
34	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
35	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
36	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
37	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
38	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
39	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
40	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
41	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
42	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
43	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
44	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
45	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
46	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
47	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
48	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
49	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
50	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
51	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
52	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
53	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
54	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
55	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
56	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
57	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
58	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
59	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
60	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
61	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
62	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
63	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
64	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
65	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
66	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
67	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
68	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
69	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
70	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
71	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
72	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
73	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
74	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
75	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
76	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
77	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
78	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
79	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
80	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
81	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
82	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
83	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
84	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
85	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
86	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
87	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
88	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
89	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
90	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
91	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
92	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
93	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
94	1	8	100	79.2729766766837	44.0801951523172	42.1098734395495	29	8	58
