"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	7	100	84.5165894073758	39.213387414837	39.213387414837	5	7	140
2	1	5	100	84.5165894073758	39.4991017005512	39.4991017005512	3	5	5
3	1	6	100	84.5165894073758	40.1241017005512	40.1241017005512	5	5	5
4	1	6	100	84.5165894073758	40.1241017005512	40.1241017005512	6	5	15
5	1	6	100	84.5165894073758	40.1241017005512	40.1241017005512	5	5	10
6	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	4
7	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	4
8	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	4
9	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	16
10	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	5	4	16
11	1	4	100	84.5165894073758	40.2669588434084	40.1241017005512	4	4	9
12	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	16
13	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	20
14	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	28
15	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	24
16	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	12
17	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	32
18	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	32
19	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	32
20	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	5	4	36
21	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	20
22	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	40
23	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	40
24	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
25	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	44
26	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	28
27	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	52
28	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
29	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
30	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	44
31	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	32
32	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
33	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
34	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
35	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	5	4	44
36	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	32
37	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	52
38	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
39	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	56
40	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	44
41	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
42	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	2	4	52
43	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
44	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	60
45	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	48
46	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	48
47	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	52
48	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
49	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	56
50	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	52
51	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
52	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
53	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
54	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
55	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
56	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	24
57	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	36
58	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	32
59	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	40
60	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	36
61	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	40
62	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
63	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
64	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
65	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
66	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	40
67	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
68	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	48
69	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	56
70	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	3	4	52
71	1	4	100	84.5165894073758	40.2669588434084	40.2669588434084	4	4	44
