"k"	"w"	"num_featg"	"fitness_gbest"	"min_fit_x"	""
1	1	10	-110.232424942721	-110.232424942721	5
2	1	10	-111.98	-111.98	5
3	1	10	-111.98	-111.98	4
4	1	10	-111.98	-111.98	5
5	1	10	-111.98	-111.98	3
6	1	10	-111.99	-111.99	2
7	1	10	-111.99	-111.98	5
8	1	10	-111.99	-111.99	4
9	1	10	-111.99	-111.99	3
10	1	10	-111.99	-111.99	2
11	1	10	-111.99	-111.99	4
12	1	10	-111.99	-111.99	2
13	1	10	-111.99	-111.99	3
14	1	10	-111.99	-111.99	4
15	1	10	-111.99	-111.99	3
16	1	10	-111.99	-111.99	2
17	1	10	-111.99	-111.99	3
18	1	10	-111.99	-111.99	2
19	1	10	-111.99	-111.99	5
20	1	10	-111.99	-111.99	1
21	1	10	-111.99	-111.99	1
22	1	10	-111.99	-111.99	2
23	1	10	-111.99	-111.99	4
24	1	10	-111.99	-111.99	1
25	1	10	-111.99	-111.99	2
26	1	10	-111.99	-111.99	4
27	1	10	-111.99	-111.99	1
28	1	10	-111.99	-111.99	3
29	1	10	-111.99	-111.99	3
30	1	10	-111.99	-111.99	2
31	1	10	-111.99	-111.99	1
32	1	10	-111.99	-111.99	2
33	1	10	-111.99	-111.99	6
34	1	10	-111.99	-111.99	1
35	1	10	-111.99	-111.99	3
36	1	10	-111.99	-111.99	2
37	1	10	-111.99	-111.99	1
38	1	10	-111.99	-111.99	2
39	1	10	-111.99	-111.99	2
40	1	10	-111.99	-111.99	1
41	1	10	-111.99	-111.99	2
42	1	10	-111.99	-111.99	3
43	1	10	-111.99	-111.99	2
44	1	10	-111.99	-111.99	3
45	1	10	-111.99	-111.99	4
46	1	10	-111.99	-111.99	3
47	1	10	-111.99	-111.99	1
48	1	10	-111.99	-111.99	2
49	1	10	-111.99	-111.99	3
50	1	10	-111.99	-111.99	2
51	1	10	-111.99	-111.99	3
52	1	10	-111.99	-111.99	1
53	1	10	-111.99	-111.99	2
54	1	10	-111.99	-111.99	2
55	1	10	-111.99	-111.99	2
56	1	10	-111.99	-111.99	2
57	1	10	-111.99	1e+21	2
58	1	10	-111.99	-111.99	1
59	1	10	-111.99	-111.99	1
60	1	10	-111.99	-111.99	3
61	1	10	-111.99	-111.99	2
62	1	10	-111.99	-111.99	2
63	1	10	-111.99	-111.99	5
64	1	10	-111.99	-111.99	5
65	1	10	-111.99	-111.99	1
66	1	10	-111.99	-111.99	3
67	1	10	-111.99	-111.99	2
68	1	10	-111.99	-111.99	4
69	1	10	-111.99	-111.99	1
70	1	10	-111.99	-111.99	3
71	1	10	-111.99	-111.99	2
72	1	10	-111.99	-111.99	4
73	1	10	-111.99	-111.99	1
74	1	10	-111.99	-111.99	4
75	1	10	-111.99	-111.99	1
76	1	10	-111.99	-111.99	3
77	1	10	-111.99	-111.99	2
78	1	10	-111.99	-111.99	2
79	1	10	-111.99	-111.99	3
80	1	10	-111.99	-111.99	3
81	1	10	-111.99	-111.99	2
82	1	10	-111.99	-111.99	1
83	1	10	-111.99	-111.99	5
84	1	10	-111.99	-111.99	2
85	1	10	-111.99	-111.99	2
86	1	10	-111.99	-111.99	4
87	1	10	-111.99	-111.99	2
88	1	10	-111.99	-111.99	2
89	1	10	-111.99	-111.99	2
90	1	10	-111.99	-111.99	4
91	1	10	-111.99	-111.99	3
92	1	10	-111.99	-111.99	3
93	1	10	-111.99	-111.99	2
94	1	10	-111.99	-111.99	1
95	1	10	-111.99	-111.99	1
96	1	10	-111.99	-111.99	1
97	1	10	-111.99	-111.99	3
98	1	10	-111.99	-111.99	4
99	1	10	-111.99	-111.99	2
100	1	10	-111.99	-111.99	1
101	1	10	-111.99	-111.99	1
102	1	10	-111.99	-111.99	2
103	1	10	-111.99	-111.99	1
104	1	10	-111.99	-111.99	2
105	1	10	-111.99	-111.99	1
106	1	10	-111.99	-111.99	3
107	1	10	-111.99	-111.99	3
108	1	10	-111.99	1e+21	1
109	1	10	-111.99	-111.99	1
110	1	10	-111.99	-111.99	2
111	1	10	-111.99	-111.99	1
112	1	10	-111.99	-111.99	2
113	1	10	-111.99	-111.99	3
114	1	10	-111.99	-111.99	2
115	1	10	-111.99	-111.99	1
116	1	10	-111.99	-111.99	5
117	1	10	-111.99	-111.99	2
118	1	10	-111.99	-111.99	2
119	1	10	-111.99	-111.99	1
120	1	10	-111.99	-111.99	2
121	1	10	-111.99	-111.99	2
122	1	10	-111.99	-111.99	1
123	1	10	-111.99	-111.99	1
124	1	10	-111.99	-111.99	2
125	1	10	-111.99	-111.99	1
126	1	10	-111.99	-111.99	2
127	1	10	-111.99	-111.99	3
128	1	10	-111.99	-111.99	4
129	1	10	-111.99	-111.99	3
130	1	10	-111.99	-111.99	1
131	1	10	-111.99	-111.99	2
132	1	10	-111.99	-111.99	2
133	1	10	-111.99	-111.99	2
134	1	10	-111.99	-111.99	1
135	1	10	-111.99	-111.99	2
136	1	10	-111.99	-111.99	2
137	1	10	-111.99	-111.99	4
138	1	10	-111.99	-111.99	2
139	1	10	-111.99	-111.99	2
140	1	10	-111.99	-111.99	3
141	1	10	-111.99	-111.99	2
142	1	10	-111.99	-111.99	2
143	1	10	-111.99	-111.99	2
144	1	10	-111.99	-111.99	2
145	1	10	-111.99	-111.99	2
146	1	10	-111.99	-111.99	3
147	1	10	-111.99	-111.99	2
148	1	10	-111.99	-111.99	3
149	1	10	-111.99	-111.99	2
150	1	10	-111.99	-111.99	1
151	1	10	-111.99	-111.99	5
152	1	10	-111.99	-111.99	1
153	1	10	-111.99	-111.99	3
154	1	10	-111.99	-111.99	2
155	1	10	-111.99	-111.99	1
156	1	10	-111.99	-111.99	1
157	1	10	-111.99	-111.99	2
158	1	10	-111.99	-111.99	3
159	1	10	-111.99	1e+21	2
160	1	10	-111.99	-111.99	3
161	1	10	-111.99	-111.99	3
162	1	10	-111.99	-111.99	2
163	1	10	-111.99	-111.99	2
164	1	10	-111.99	-111.99	2
165	1	10	-111.99	-111.99	2
166	1	10	-111.99	-111.99	1
167	1	10	-111.99	-111.99	2
168	1	10	-111.99	-111.99	2
169	1	10	-111.99	-111.99	2
170	1	10	-111.99	-111.99	2
171	1	10	-111.99	-111.99	2
172	1	10	-111.99	-111.99	2
173	1	10	-111.99	-111.99	2
174	1	10	-111.99	-111.99	2
175	1	10	-111.99	-111.99	1
176	1	10	-111.99	-111.99	2
177	1	10	-111.99	-111.99	3
178	1	10	-111.99	-111.99	2
179	1	10	-111.99	-111.99	2
180	1	10	-111.99	-111.99	2
181	1	10	-111.99	-111.99	2
182	1	10	-111.99	-111.99	3
183	1	10	-111.99	-111.99	1
184	1	10	-111.99	-111.99	3
185	1	10	-111.99	-111.99	1
186	1	10	-111.99	-111.99	2
187	1	10	-111.99	-111.99	2
188	1	10	-111.99	-111.99	1
189	1	10	-111.99	-111.99	2
190	1	10	-111.99	-111.99	3
191	1	10	-111.99	-111.99	2
192	1	10	-111.99	-111.99	3
193	1	10	-111.99	-111.99	3
194	1	10	-111.99	-111.99	1
195	1	10	-111.99	-111.99	3
196	1	10	-111.99	-111.99	3
197	1	10	-111.99	-111.99	2
198	1	10	-111.99	-111.99	1
199	1	10	-111.99	-111.99	3
200	1	10	-111.99	-111.99	2
201	1	10	-111.99	-111.99	1
202	1	10	-111.99	-111.99	3
203	1	10	-111.99	-111.99	2
204	1	10	-111.99	-111.99	1
205	1	10	-111.99	-111.99	2
206	1	10	-111.99	-111.99	2
207	1	10	-111.99	-111.99	3
208	1	10	-111.99	-111.99	4
209	1	10	-111.99	-111.99	2
210	1	10	-111.99	1e+21	4
211	1	10	-111.99	-111.99	3
212	1	10	-111.99	-111.99	2
213	1	10	-111.99	-111.99	1
214	1	10	-111.99	-111.99	4
215	1	10	-111.99	-111.99	1
216	1	10	-111.99	-111.99	2
217	1	10	-111.99	-111.99	2
218	1	10	-111.99	-111.99	1
219	1	10	-111.99	-111.99	3
220	1	10	-111.99	-111.99	2
221	1	10	-111.99	-111.99	2
222	1	10	-111.99	-111.99	1
223	1	10	-111.99	-111.99	2
224	1	10	-111.99	-111.99	3
225	1	10	-111.99	-111.99	2
226	1	10	-111.99	-111.99	2
227	1	10	-111.99	-111.99	1
228	1	10	-111.99	-111.99	2
229	1	10	-111.99	-111.99	3
230	1	10	-111.99	-111.99	1
231	1	10	-111.99	-111.99	3
232	1	10	-111.99	-111.99	1
233	1	10	-111.99	-111.99	2
234	1	10	-111.99	-111.99	3
235	1	10	-111.99	-111.99	2
236	1	10	-111.99	-111.99	1
237	1	10	-111.99	-111.99	1
238	1	10	-111.99	-111.99	3
239	1	10	-111.99	-111.99	2
240	1	10	-111.99	-111.99	2
241	1	10	-111.99	-111.99	3
242	1	10	-111.99	-111.99	1
243	1	10	-111.99	-111.99	2
244	1	10	-111.99	-111.99	2
245	1	10	-111.99	-111.99	4
246	1	10	-111.99	-111.99	1
247	1	10	-111.99	-111.99	4
248	1	10	-111.99	-111.99	2
249	1	10	-111.99	-111.99	2
250	1	10	-111.99	-111.99	2
251	1	10	-111.99	-111.99	2
252	1	10	-111.99	-111.99	1
253	1	10	-111.99	-111.99	1
254	1	10	-111.99	-111.99	2
255	1	10	-111.99	-111.99	4
