"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	73.1182984539329	49.6100075468816	33.2254970900985	33.2254970900985	15	40	800
2	1	24	76.93097657265	44.2080431003915	48.4789621248081	48.4789621248081	20	21	21
3	1	23	77.8468236834981	36.514539797105	55.3375049954717	55.3375049954717	21	20	20
4	1	23	78.2723866145194	30.5182662949487	59.3738857394759	59.3738857394759	23	21	21
5	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.9799673583361	20	21	17
6	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.5458207920546	24	21	24
7	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.0120873063177	24	21	21
8	1	23	78.2723866145194	30.5182662949487	59.3738857394759	55.6145528132555	22	21	21
9	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.920525633114	18	21	21
10	1	23	78.2723866145194	30.5182662949487	59.3738857394759	52.9730620019272	22	21	23
11	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.0180368638093	20	21	19
12	1	23	78.2723866145194	30.5182662949487	59.3738857394759	55.2698421036165	24	21	23
13	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.8380236841637	19	21	16
14	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.7260103396056	26	21	26
15	1	23	78.2723866145194	30.5182662949487	59.3738857394759	59.5494769520826	16	21	22
16	1	23	78.2723866145194	30.5182662949487	59.3738857394759	48.5304867933247	19	21	16
17	1	23	78.2723866145194	30.5182662949487	59.3738857394759	47.3876180120658	18	21	23
18	1	23	78.2723866145194	30.5182662949487	59.3738857394759	45.1728637840681	19	21	18
19	1	23	78.2723866145194	30.5182662949487	59.3738857394759	48.4605896898022	19	21	24
20	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.397120005925	23	21	19
21	1	23	78.2723866145194	30.5182662949487	59.3738857394759	49.6829556065353	25	21	17
22	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.6942003815284	22	21	20
23	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.0265015910039	19	21	18
24	1	23	78.2723866145194	30.5182662949487	59.3738857394759	46.2074677848929	24	21	72
25	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.9050288898343	19	21	19
26	1	23	78.2723866145194	30.5182662949487	59.3738857394759	49.6983190283112	22	21	15
27	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.1615707089376	16	21	18
28	1	23	78.2723866145194	30.5182662949487	59.3738857394759	54.2906154251932	16	21	16
29	1	23	78.2723866145194	30.5182662949487	59.3738857394759	54.2945563118927	18	21	16
30	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.1749040422709	20	21	16
31	1	23	78.2723866145194	30.5182662949487	59.3738857394759	48.7498279789259	27	21	25
32	1	23	78.2723866145194	30.5182662949487	59.3738857394759	52.4698019260813	26	21	27
33	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.2830551965324	20	21	16
34	1	23	78.2723866145194	30.5182662949487	59.3738857394759	52.5434950356608	17	21	22
35	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.7301283241137	23	21	26
36	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.2579358537083	20	21	19
37	1	23	78.2723866145194	30.5182662949487	59.3738857394759	54.5991743842409	21	21	22
38	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.2664954431266	21	21	19
39	1	23	78.2723866145194	30.5182662949487	59.3738857394759	56.4009810706445	23	21	23
40	1	23	78.2723866145194	30.5182662949487	59.3738857394759	59.1920153424538	19	21	16
41	1	23	78.2723866145194	30.5182662949487	59.3738857394759	52.598263066374	20	21	21
42	1	23	78.2723866145194	30.5182662949487	59.3738857394759	54.1888675971339	18	21	16
43	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.1226744771517	18	21	21
44	1	23	78.2723866145194	30.5182662949487	59.3738857394759	54.5619716674429	19	21	18
45	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.6178259985618	18	21	21
46	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.017631284321	24	21	24
47	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.3087026556184	21	21	24
48	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.6694201269436	20	21	19
49	1	23	78.2723866145194	30.5182662949487	59.3738857394759	51.7671074800394	24	21	17
50	1	23	78.2723866145194	30.5182662949487	59.3738857394759	53.6652059309594	16	21	24
51	1	23	78.2723866145194	30.5182662949487	59.3738857394759	50.9114533544643	14	21	15
52	1	23	78.2723866145194	30.5182662949487	59.3738857394759	55.7362107334627	24	21	24
