"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	78.3380091380645	46.5709192663788	-43.9155810773612	-43.9155810773612	15	40	800
2	1	24	67.324605709418	43.1272333901693	26.5418909089449	26.5418909089449	10	11	11
3	1	19	79.5123569790294	45.1776891612501	39.6487742102859	39.6487742102859	10	10	10
4	1	17	79.5123569790294	45.1776891612501	41.5029408769525	41.5029408769525	10	10	10
5	1	10	82.6558818007061	47.3027377325612	45.7933282710701	45.7933282710701	15	11	11
6	1	15	85.2857526952008	48.3083805548472	47.3359481330076	47.3359481330076	15	15	15
7	1	15	85.2857526952008	48.3083805548472	48.1305909901504	48.1305909901504	15	15	15
8	1	11	83.6414584844206	39.4621403565998	50.30829005814	50.30829005814	14	14	14
9	1	16	89.0773530941272	40.9046639609365	54.1553056034954	54.1553056034954	14	14	14
10	1	15	86.8394789372332	38.4523971909034	56.8009867248481	56.8009867248481	17	13	13
11	1	15	86.8394789372332	38.4523971909034	56.8009867248481	54.6870747296777	16	13	13
12	1	15	86.8394789372332	38.4523971909034	56.8009867248481	56.5165413813323	12	13	12
13	1	8	86.8121379080624	36.7989992453667	59.0463851558713	59.0463851558713	15	15	15
14	1	14	90.4469312495017	37.2918368260973	60.6142459921915	60.6142459921915	15	14	14
15	1	14	90.4469312495017	37.2918368260973	60.6142459921915	57.8887062835985	12	14	14
16	1	14	90.4469312495017	37.2918368260973	60.6142459921915	57.0167159462068	10	14	14
17	1	14	90.4469312495017	37.2918368260973	60.6142459921915	56.6772141906773	16	14	14
18	1	13	88.2857331831716	34.6907003109278	61.2488652252848	61.2488652252848	13	13	13
19	1	13	88.2857331831716	34.6907003109278	61.2488652252848	61.3334412486766	13	13	26
20	1	13	88.2857331831716	34.6907003109278	61.4095596697292	61.4095596697292	13	13	26
21	1	13	88.2857331831716	34.6907003109278	61.4095596697292	61.4784287173483	11	13	13
22	1	13	88.2857331831716	34.6907003109278	61.4095596697292	58.3787139975754	13	13	13
23	1	13	88.2857331831716	34.6907003109278	61.5982009740771	61.5982009740771	12	13	13
24	1	13	88.2857331831716	34.6907003109278	61.5982009740771	60.223067848179	13	13	15
25	1	13	88.2857331831716	34.6907003109278	61.6988096697292	61.6988096697292	13	13	13
26	1	13	88.2857331831716	34.6907003109278	61.6988096697292	61.7433096697292	13	13	26
27	1	13	88.2857331831716	34.6907003109278	61.6988096697292	61.7845133734329	13	13	26
28	1	13	88.2857331831716	34.6907003109278	61.8227739554435	61.8227739554435	13	13	26
29	1	13	88.2857331831716	34.6907003109278	61.8227739554435	61.8583958766258	13	13	39
30	1	13	88.2857331831716	34.6907003109278	61.8227739554435	61.8916430030626	15	13	52
31	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.0303686554033	10	7	7
32	1	13	89.7895786306711	41.1443751848971	62.0303686554033	61.9519034197292	13	7	39
33	1	13	89.7895786306711	41.1443751848971	62.0303686554033	61.9792945182141	13	7	52
34	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.0050743756116	13	7	52
35	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.0293810983007	15	7	52
36	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.1001491213531	8	7	7
37	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.0740529129725	13	7	52
38	1	13	89.7895786306711	41.1443751848971	62.0303686554033	62.0946254592029	13	7	52
39	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1334290358831	7	7	7
40	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1326846697292	14	7	52
41	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1529099614615	6	7	7
42	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1671191935388	13	7	52
43	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1831352511246	13	7	52
44	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.1984233060929	13	7	52
45	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.2130318919515	14	7	52
46	1	13	89.7895786306711	41.1443751848971	62.1334290358831	62.2270053219031	13	7	39
47	1	13	88.2857331831716	34.6907003109278	62.2403841378143	62.2403841378143	13	13	52
48	1	13	88.2857331831716	34.6907003109278	62.2403841378143	62.2532055030626	13	13	52
