"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	71.7740768745926	47.9322292492836	31.2502194036682	31.2502194036682	15	40	800
2	1	19	78.9200062275134	38.5118799443061	50.3094664873986	50.3094664873986	16	16	16
3	1	16	85.5590403634227	39.6510962229405	56.3024018053976	56.3024018053976	15	15	15
4	1	14	85.5590403634227	39.6510962229405	56.5836518053976	56.5836518053976	15	15	15
5	1	13	85.5590403634227	39.6510962229405	56.7524018053976	56.7524018053976	22	15	15
6	1	13	85.5590403634227	39.6510962229405	56.7524018053976	51.4804524946442	17	15	17
7	1	14	81.3947484002308	35.489696002077	57.3766867971319	57.3766867971319	22	22	22
8	1	16	82.711837753293	32.4524336632491	58.4834941951398	58.4834941951398	17	17	17
9	1	16	82.711837753293	32.4524336632491	58.4834941951398	58.5366191951398	17	17	17
10	1	16	82.711837753293	32.4524336632491	58.4834941951398	58.5791191951398	20	17	17
11	1	16	82.711837753293	32.4524336632491	58.4834941951398	56.0354660118776	16	17	14
12	1	16	82.711837753293	32.4524336632491	58.4834941951398	55.8711603008382	23	17	23
13	1	16	82.711837753293	32.4524336632491	58.4834941951398	55.9043333777612	23	17	23
14	1	15	83.9303808937564	33.2072858217503	59.294947499854	59.294947499854	15	15	15
15	1	15	83.9303808937564	33.2072858217503	59.294947499854	59.3110189284254	15	15	15
16	1	15	83.9303808937564	33.2072858217503	59.294947499854	55.5622216301038	15	15	15
17	1	15	83.9303808937564	33.2072858217503	59.294947499854	57.7926531836866	22	15	22
18	1	15	83.9303808937564	33.2072858217503	59.294947499854	58.2426299371775	18	15	18
19	1	15	83.9303808937564	33.2072858217503	59.294947499854	58.2544720424407	18	15	18
20	1	15	83.9303808937564	33.2072858217503	59.294947499854	58.2651299371775	18	15	18
21	1	15	83.9303808937564	33.2072858217503	59.294947499854	57.9100779515658	16	15	16
22	1	15	83.9303808937564	33.2072858217503	59.294947499854	57.917870159358	16	15	16
23	1	22	84.8694314060985	33.9310768087245	60.5937980493363	60.5937980493363	16	16	16
24	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.9162073628384	10	10	10
25	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.9199573628384	20	10	10
26	1	18	90.7652613240046	37.4922059796008	63.9162073628384	55.1576467360949	17	10	17
27	1	18	90.7652613240046	37.4922059796008	63.9162073628384	58.9296548863559	14	10	16
28	1	18	90.7652613240046	37.4922059796008	63.9162073628384	62.2259867963854	14	10	14
29	1	18	90.7652613240046	37.4922059796008	63.9162073628384	62.2298661067302	14	10	14
30	1	18	90.7652613240046	37.4922059796008	63.9162073628384	62.2334867963854	20	10	14
31	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.1501874787163	19	10	19
32	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.1544969545227	19	10	19
33	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.1585452499773	19	10	19
34	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.492381169711	14	10	14
35	1	18	90.7652613240046	37.4922059796008	63.9162073628384	63.4950282285345	13	10	14
36	1	13	90.8129753619066	37.5556220375605	64.4874627618042	64.4874627618042	5	8	8
37	1	13	90.8129753619066	37.5556220375605	64.4874627618042	62.0232607028775	14	8	14
38	1	13	90.8129753619066	37.5556220375605	64.4874627618042	62.0255011011706	14	8	14
39	1	13	90.8129753619066	37.5556220375605	64.4874627618042	63.9522650551461	10	8	10
40	1	13	90.8129753619066	37.5556220375605	64.4874627618042	63.9537073628384	15	8	10
41	1	13	90.8129753619066	37.5556220375605	64.4874627618042	61.848010259465	12	8	12
42	1	9	90.33399240466	34.881121113414	65.7384714288671	65.7384714288671	10	10	10
43	1	9	90.33399240466	34.881121113414	65.7384714288671	65.7397172760431	10	10	10
44	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.7698958818302	13	13	13
45	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.7713731545574	10	13	13
46	1	12	93.6687243067863	35.525639790443	67.7698958818302	63.195155921914	19	13	19
47	1	12	93.6687243067863	35.525639790443	67.7698958818302	63.1971332577142	19	13	19
48	1	12	93.6687243067863	35.525639790443	67.7698958818302	66.8283104613858	12	13	13
49	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.5273514460369	14	13	13
50	1	12	93.6687243067863	35.525639790443	67.7698958818302	66.1640680927887	12	13	11
51	1	12	93.6687243067863	35.525639790443	67.7698958818302	64.330471190245	11	13	11
52	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.5489190673807	14	13	13
53	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.6983599279145	14	13	13
54	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.6706389976879	14	13	14
55	1	12	93.6687243067863	35.525639790443	67.7698958818302	67.700366788978	15	13	13
56	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.9520650056375	13	13	13
57	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.952981359021	13	13	13
58	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.9538661140119	13	13	13
59	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.9547208773082	13	13	13
60	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.9555471484946	7	13	13
61	1	8	86.567903440228	27.5785196642995	67.9520650056375	67.677332986759	14	13	14
62	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4427274805662	12	12	12
63	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4434187248058	12	12	12
64	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.444088367663	12	12	12
65	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4447374061245	12	12	12
66	1	11	88.8651397097241	29.3870174970906	68.4427274805662	66.4506041635292	11	12	13
67	1	11	88.8651397097241	29.3870174970906	68.4427274805662	67.9606404320767	13	12	13
68	1	11	88.8651397097241	29.3870174970906	68.4427274805662	67.9612824426123	13	12	13
69	1	11	88.8651397097241	29.3870174970906	68.4427274805662	67.9619058441468	15	12	26
70	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4477044390916	14	12	12
71	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4482476986489	12	12	24
72	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.448775867663	12	12	36
73	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4492895662931	12	12	36
74	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.4497893811765	12	12	36
75	1	11	88.8651397097241	29.3870174970906	68.4427274805662	68.450275867663	13	12	36
