"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	71.7740768745926	47.9322292492836	40.2502194036682	40.2502194036682	15	40	800
2	1	11	75.4615885050238	38.8127043938038	49.9439649697719	49.9439649697719	20	21	21
3	1	28	77.4450773266514	40.2712268274301	52.9161714380097	52.9161714380097	20	18	18
4	1	27	77.3489767196531	36.9470116265579	53.1432688455937	53.1432688455937	14	13	13
5	1	26	80.2139090601478	36.8959022194502	56.3083002414957	56.3083002414957	24	21	21
6	1	23	81.4576067859382	36.3817400632997	57.5565426006994	57.5565426006994	20	20	20
7	1	23	81.4576067859382	36.3817400632997	57.5565426006994	57.5565426006994	20	20	20
8	1	21	83.2988676055411	34.3499491567547	60.8514085166498	60.8514085166498	19	17	17
9	1	21	84.6596578369362	33.2785869737818	61.3219547182771	61.3219547182771	19	19	19
10	1	20	84.5541803378419	33.8132395360409	62.3519231337083	62.3519231337083	16	18	18
11	1	20	84.5541803378419	33.8132395360409	62.3519231337083	61.3556358432544	16	18	16
12	1	20	84.5541803378419	33.8132395360409	62.3519231337083	60.1974589913666	21	18	21
13	1	18	84.8899571299241	32.7833922449419	62.9024266093171	62.9024266093171	21	21	21
14	1	19	83.6828778253299	31.8133958798189	63.2122256975686	63.2122256975686	19	19	19
15	1	19	83.6828778253299	31.8133958798189	63.2122256975686	63.2122256975686	20	19	19
16	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
17	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
18	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
19	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
20	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	18	23	23
21	1	23	88.286117783188	33.1597043618091	65.2750175063469	64.4175963968644	18	23	18
22	1	23	88.286117783188	33.1597043618091	65.2750175063469	64.4175963968644	18	23	18
23	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
24	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
25	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
26	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
27	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
28	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
29	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
30	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
31	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
32	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
33	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
34	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
35	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	24	23	23
36	1	23	88.286117783188	33.1597043618091	65.2750175063469	63.0492697726823	21	23	19
37	1	23	88.286117783188	33.1597043618091	65.2750175063469	63.0050867553083	17	23	17
38	1	23	88.286117783188	33.1597043618091	65.2750175063469	63.0203385638899	20	23	19
39	1	23	88.286117783188	33.1597043618091	65.2750175063469	63.5108529581491	23	23	22
40	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
41	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
42	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
43	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
44	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
45	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
46	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
47	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
48	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
49	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
50	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
51	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
52	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
53	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
54	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	46
55	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	19	23	46
56	1	23	88.286117783188	33.1597043618091	65.2750175063469	65.2750175063469	23	23	23
57	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.518379675933	20	20	20
58	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.518379675933	20	20	20
59	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.518379675933	20	20	20
60	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.518379675933	18	20	20
61	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.2750175063469	23	20	23
62	1	20	86.7946971603912	32.9085378967053	65.518379675933	65.2750175063469	23	20	23
63	1	18	89.1137541674292	32.0473416190733	66.471620936665	66.471620936665	20	20	20
64	1	19	89.9486821897934	32.3622466966292	67.3190500658157	67.3190500658157	19	19	19
65	1	19	89.9486821897934	32.3622466966292	67.3190500658157	67.3190500658157	16	19	38
66	1	19	89.9486821897934	32.3622466966292	67.3190500658157	65.2750175063469	23	19	23
