"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	15	40	800
2	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.7511558403519	5	40	80
3	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	39	40	80
4	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	40	40	80
5	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	40	40	80
6	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	40	40	40
7	1	40	81.6564595199869	39.0829443490723	51.8426169289729	51.8426169289729	27	40	40
8	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	40
9	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	40
10	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	40
11	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	40
12	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	40
13	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
14	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
15	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
16	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
17	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
18	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
19	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
20	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
21	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
22	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
23	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
24	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
25	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
26	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
27	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
28	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
29	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
30	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
31	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
32	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
33	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
34	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
35	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
36	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
37	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
38	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
39	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
40	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
41	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
42	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
43	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
44	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
45	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
46	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
47	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
48	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
49	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
50	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
51	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
52	1	40	81.6564595199869	39.0829443490723	51.8426169289729	46.2947181225416	26	40	26
