"sampnamestest"	"testclass"
"GSM505506"	"2"
"GSM505507"	"1"
"GSM505508"	"2"
"GSM505509"	"2"
"GSM505510"	"2"
"GSM505511"	"1"
"GSM505512"	"2"
"GSM505513"	"2"
"GSM505514"	"2"
"GSM505515"	"2"
"GSM505516"	"2"
"GSM505517"	"2"
"GSM505518"	"2"
"GSM505519"	"2"
"GSM505520"	"2"
"GSM505521"	"1"
"GSM505522"	"2"
"GSM505523"	"2"
"GSM505524"	"2"
"GSM505525"	"2"
"GSM505526"	"2"
"GSM505527"	"2"
"GSM505528"	"2"
"GSM505529"	"2"
"GSM505530"	"2"
"GSM505531"	"1"
"GSM505532"	"2"
"GSM505533"	"2"
"GSM505534"	"2"
"GSM505535"	"1"
"GSM505536"	"2"
"GSM505537"	"2"
"GSM505538"	"2"
"GSM505539"	"2"
"GSM505540"	"1"
"GSM505541"	"2"
"GSM505542"	"2"
"GSM505543"	"2"
"GSM505544"	"2"
"GSM505545"	"1"
"GSM505546"	"2"
"GSM505547"	"2"
"GSM505548"	"2"
"GSM505549"	"2"
"GSM505550"	"2"
"GSM505551"	"2"
"GSM505552"	"2"
"GSM505553"	"2"
"GSM505554"	"2"
"GSM505555"	"2"
"GSM505556"	"2"
"GSM505557"	"2"
"GSM505558"	"2"
"GSM505559"	"1"
"GSM505560"	"2"
"GSM505561"	"2"
"GSM505562"	"1"
"GSM505563"	"2"
"GSM505564"	"1"
"GSM505565"	"2"
"GSM505566"	"1"
"GSM505567"	"2"
"GSM505568"	"2"
"GSM505569"	"2"
"GSM505570"	"2"
"GSM505571"	"2"
"GSM505572"	"2"
"GSM505573"	"2"
"GSM505574"	"2"
"GSM505575"	"2"
"GSM505576"	"2"
"GSM505577"	"2"
"GSM505578"	"2"
"GSM505579"	"2"
"GSM505580"	"1"
"GSM505581"	"2"
"GSM505582"	"2"
"GSM505583"	"1"
"GSM505584"	"1"
"GSM505585"	"2"
"GSM505586"	"2"
"GSM505587"	"2"
"GSM505588"	"2"
"GSM505589"	"2"
"GSM505590"	"2"
"GSM505591"	"2"
"GSM505592"	"2"
"GSM505593"	"2"
"GSM505594"	"2"
"GSM505595"	"2"
"GSM505596"	"2"
"GSM505597"	"2"
"GSM505598"	"1"
"GSM505599"	"2"
"GSM505600"	"2"
"GSM505601"	"2"
"GSM505602"	"2"
"GSM505603"	"2"
"GSM505604"	"2"
"GSM505605"	"2"
