"204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","213201_s_at","215729_s_at","39549_at"
10.1763,13.285,2.9025,13.0759,8.6216,8.6098,6.1826,12.4854,3.149,7.476,12.9392,5.0127,4.2884,2.9565,3.1357
9.3275,14.4107,2.2747,13.7616,10.7598,8.0994,15.2013,10.5188,14.9688,3.5539,14.1501,4.8988,4.8678,1.5807,7.2846
9.92,14.7836,0.9203,12.736,7.7832,7.6469,12.9669,11.6232,11.6974,7.2242,14.5585,7.8027,8.3652,5.6368,4.7775
8.9128,12.0603,2.7532,13.8228,7.4413,9.0361,5.8929,7.5591,3.9515,4.4968,14.3163,7.577,8.9668,2.251,6.4645
4.8606,6.9898,13.4003,8.3607,3.6891,7.6014,5.7849,14.788,3.4244,8.1799,11.0182,6.6584,5.3777,6.2959,5.8185
4.5569,7.1037,3.9199,8.9998,6.7869,5.6895,6.6871,7.6447,3.9217,3.5565,5.4825,5.4803,8.2788,11.292,4.9743
6.4544,13.5421,2.6535,12.8445,8.8298,9.8265,7.1346,10.5207,6.8241,7.1557,13.7543,9.3985,7.117,0.0799,2.2151
4.723,7.5852,6.6777,8.974,6.6494,6.0514,15.2771,7.3345,12.6968,4.2114,12.497,5.1489,4.4904,8.5529,6.3327
3.7788,7.5176,5.414,7.0561,7.2961,0.6249,2.3066,6.8551,2.9032,3.9754,3.0703,4.6434,3.7225,9.357,2.184
8.4624,13.5271,7.2428,11.8396,10.4505,7.6694,9.0507,12.5394,7.5681,6.6261,13.5102,10.0736,6.3938,3.1103,5.8494
9.0767,11.8091,4.0579,12.4562,7.4452,4.9057,7.6646,7.9484,5.0535,6.8438,12.2194,7.439,6.6855,5.2469,3.8037
8.8618,14.9576,3.4555,12.2024,12.6169,10.0934,7.3443,9.1798,4.3108,4.9164,12.7413,8.8159,9.4616,3.9259,4.258
