"1007_s_at","1053_at","117_at","121_at","1255_g_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","202088_at","202089_s_at","203963_at","204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","207626_s_at","209173_at","209602_s_at","209603_at","209604_s_at","210735_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217838_s_at","39549_at","Class"
12.444,8.3774,6.7866,10.2851,5.9064,8.0356,6.6745,6.2325,6.845,7.5774,14.6123,14.1629,12.0638,10.1763,13.285,2.9025,13.0759,8.6216,8.6098,6.1826,12.4854,7.476,12.9392,11.1535,10.5793,14.3763,11.5638,13.36,10.8422,4.2884,12.6474,12.6295,2.9565,12.6194,11.8757,3.1357,"2"
12.2005,7.8592,8.0963,10.4624,4.9582,7.0581,6.4607,6.9047,5.8878,9.8562,14.9213,14.5094,11.3553,9.3275,14.4107,2.2747,13.7616,10.7598,8.0994,15.2013,10.5188,3.5539,14.1501,10.8437,10.5772,14.0214,10.8918,13.2925,10.572,4.8678,11.7852,13.4492,1.5807,11.5534,11.8462,7.2846,"2"
12.6709,8.6762,7.4812,10.1887,5.2332,8.6061,7.0932,6.594,5.6843,7.4038,12.9683,11.7586,12.3832,9.92,14.7836,0.9203,12.736,7.7832,7.6469,12.9669,11.6232,7.2242,14.5585,10.7019,11.1181,14.5222,11.6213,12.3582,9.8482,8.3652,12.7464,12.3205,5.6368,12.7285,12.0364,4.7775,"2"
11.6619,8.2557,7.9923,10.7705,6.3296,8.4776,6.5878,6.0877,6.5169,7.4714,12.8995,10.9894,10.9812,8.9128,12.0603,2.7532,13.8228,7.4413,9.0361,5.8929,7.5591,4.4968,14.3163,11.6447,12.3437,14.9144,9.7456,13.1325,10.6942,8.9668,10.9562,8.7672,2.251,11.0454,12.1382,6.4645,"2"
11.8397,8.7971,7.8321,10.2869,5.8389,7.3419,7.3167,6.3456,6.1708,6.7615,12.502,11.5502,8.7607,4.8606,6.9898,13.4003,8.3607,3.6891,7.6014,5.7849,14.788,8.1799,11.0182,7.3628,7.7225,10.8821,8.3891,10.8038,8.4035,5.3777,9.6913,9.8562,6.2959,9.8391,7.6534,5.8185,"1"
11.4081,8.3247,8.1169,10.8844,6.8532,8.3028,6.8949,9.7756,6.4111,8.8939,11.1754,9.8817,8.3969,4.5569,7.1037,3.9199,8.9998,6.7869,5.6895,6.6871,7.6447,3.5565,5.4825,8.1069,8.4591,12.2287,8.259,8.3545,8.372,8.2788,8.7343,8.1629,11.292,9.3945,9.5579,4.9743,"1"
12.5829,8.9015,6.6237,10.3222,6.313,7.3125,4.1054,7.9978,5.6377,9.0028,14.1768,13.4754,8.2397,6.4544,13.5421,2.6535,12.8445,8.8298,9.8265,7.1346,10.5207,7.1557,13.7543,10.3437,10.5914,13.3798,7.8738,13.433,10.9367,7.117,9.2602,9.6743,0.0799,9.2365,10.1702,2.2151,"2"
12.1237,8.7101,7.8795,10.6651,6.3526,7.7251,5.5228,7.767,6.8468,9.4647,11.4306,10.4048,9.4002,4.723,7.5852,6.6777,8.974,6.6494,6.0514,15.2771,7.3345,4.2114,12.497,7.5764,7.356,11.0112,8.6826,10.0088,8.3818,4.4904,9.7714,8.5573,8.5529,10.1242,8.2785,6.3327,"1"
11.098,9.7493,6.7152,10.47,6.1595,6.8715,6.9222,7.483,5.4643,10.8205,11.5128,10.5191,6.9433,3.7788,7.5176,5.414,7.0561,7.2961,0.6249,2.3066,6.8551,3.9754,3.0703,6.6175,6.6269,9.7734,7.3029,8.9243,7.6843,3.7225,7.4908,7.1961,9.357,8.4811,8.4605,2.184,"1"
12.4537,7.5118,8.2514,10.8806,5.7161,8.1207,7.2478,9.2592,7.0132,8.4017,12.9006,11.262,11.2113,8.4624,13.5271,7.2428,11.8396,10.4505,7.6694,9.0507,12.5394,6.6261,13.5102,10.1296,10.2397,14.1152,10.0083,11.8889,9.8482,6.3938,11.6491,13.2828,3.1103,11.8321,10.7519,5.8494,"2"
