"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	93.7240690289488	58.7990901213312	50.9239570380241	50.9239570380241	15	40	800
2	1	24	94.8564867783186	55.771051850232	55.7443806896949	55.7443806896949	24	24	48
3	1	24	94.8564867783186	55.771051850232	55.7443806896949	55.7443806896949	24	24	48
4	1	30	94.6508958000364	55.0942978474702	56.1477970622599	56.1477970622599	21	21	21
5	1	23	95.2927285856186	51.853310531962	58.9428959960855	58.9428959960855	23	23	46
6	1	23	95.2927285856186	51.853310531962	58.9428959960855	58.9428959960855	23	23	23
7	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	23
8	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	23
9	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
10	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	20	23	46
11	1	22	95.2927285856186	49.86828850369	60.328623537088	59.4636217528279	22	23	22
12	1	22	95.2927285856186	49.86828850369	60.328623537088	59.4636217528279	22	23	22
13	1	22	95.2927285856186	49.86828850369	60.328623537088	59.66823655016	25	23	25
14	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	23
15	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	24	23	23
16	1	22	95.2927285856186	49.86828850369	60.328623537088	59.4636217528279	22	23	44
17	1	22	95.2927285856186	49.86828850369	60.328623537088	59.4636217528279	23	23	44
18	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
19	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	92
20	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
21	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
22	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
23	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	24	23	69
24	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	24	23	69
25	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	69
26	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	20	23	46
27	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
28	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	46
29	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	69
30	1	22	95.2927285856186	49.86828850369	60.328623537088	60.328623537088	23	23	69
