"1007_s_at","1053_at","204508_s_at","205225_at","206754_s_at","206799_at","209603_at","209604_s_at","212956_at","215729_s_at","Class"
12.3446,7.0781,9.8038,13.8754,11.4867,7.931,11.979,15.0625,13.5201,1.9565,"2"
12.0376,7.6011,7.9689,11.7217,7.4297,10.6196,10.8744,14.4978,12.548,5.3426,"1"
10.9684,7.4696,7.6789,10.996,5.9013,6.2148,8.0211,12.4583,11.2917,5.3609,"2"
12.1004,7.9643,9.2192,13.1709,10.7619,4.1386,12.1921,15.2538,13.9589,1.434,"2"
11.5133,7.6576,6.5448,11.3564,9.2022,4.0249,8.9641,12.94,11.3302,2.5211,"2"
12.2191,8.1655,7.6643,8.2567,5.4971,12.0994,8.8958,13.0091,10.8964,11.8167,"1"
11.4786,7.9101,10.5147,11.7448,5.5528,9.5527,8.8227,12.9271,13.9103,2.7961,"2"
10.7731,8.6648,3.1546,8.4923,5.2837,4.2954,7.869,10.0815,7.2301,2.2044,"2"
10.9787,8.1352,5.5439,8.22,4.4171,2.9022,5.384,10.4132,9.6518,9.6897,"1"
12.5782,7.6247,9.0901,13.3314,11.9617,11.0936,10.6131,14.2407,12.8768,3.5314,"2"
11.8791,8.9005,3.8022,7.3225,6.9641,3.3022,7.8765,11.5877,9.5513,8.876,"1"
11.9716,7.647,7.5111,10.5792,8.3146,12.6246,9.942,13.5929,10.8375,8.288,"2"
11.961,8.9507,3.9454,10.5622,5.2538,10.9172,4.1991,8.6007,9.0847,8.7505,"2"
12.3903,8.0982,9.7169,13.3712,13.943,12.7042,10.4073,13.8736,11.4833,2.9568,"2"
11.707,7.8371,9.3821,12.4182,8.0468,11.2098,10.3235,13.9525,13.0667,6.3008,"2"
11.5398,8.3329,5.8315,8.3408,5.7238,11.662,7.6337,11.1446,9.9522,6.3368,"1"
11.1113,8.3937,9.8595,13.0582,9.045,5.1379,10.7095,14.0451,13.1867,3.5299,"2"
11.4986,6.841,8.5211,11.1112,8.3567,8.082,10.4716,14.2077,12.6923,4.7914,"2"
12.2528,8.6071,7.4136,8.3414,7.5195,3.5392,8.3591,11.8983,11.046,9.2198,"2"
10.2911,5.7879,5.8756,10.9402,8.2209,11.5105,8.3425,12.0589,10.4459,3.1912,"2"
11.8509,8.7986,3.5539,8.4434,4.8825,14.4102,7.8074,11.6384,10.7341,8.1825,"2"
12.1978,8.8164,5.0213,8.7318,8.0147,11.1748,7.9237,11.3765,9.7123,8.7423,"1"
