"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	11	94.0889093536251	69.1465866018439	43.2289694022421	43.2289694022421	4	11	220
2	1	4	92.2763746454823	54.4795968322879	52.4166770212664	52.4166770212664	7	7	7
3	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	10
4	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	15
5	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	7	5	15
6	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	5
7	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	5
8	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	10
9	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
10	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	4	5	25
11	1	5	94.7226056477365	56.5313312494646	53.324107210638	52.4166770212664	6	5	5
12	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	15
13	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
14	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
15	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	4	5	20
16	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
17	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	25
18	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	25
19	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
20	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
21	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	15
22	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
23	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	20
24	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
25	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
26	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	25
27	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
28	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
29	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	30
30	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	6	5	30
31	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	25
32	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	35
33	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	35
34	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	40
35	1	5	94.7226056477365	56.5313312494646	53.324107210638	53.324107210638	5	5	40
