"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","202088_at","202089_s_at","203963_at","204508_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206378_at","206754_s_at","206799_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210735_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217838_s_at","39549_at"
12.3446,7.0781,7.5017,10.6764,6.4327,9.2305,8.1481,6.1196,4.2718,7.1375,8.5984,8.9272,14.9541,14.0631,12.4052,9.8038,14.3747,3.0068,13.8754,10.5785,10.0742,10.2362,11.4867,7.931,8.5889,13.2041,9.7194,11.9413,11.979,15.0625,11.362,13.5201,11.4301,7.5478,12.7392,14.4201,1.9565,12.5744,11.7325,5.4232
12.0376,7.6011,7.3458,10.5366,6.5568,9.118,8.3105,7.1575,8.454,6.6935,8.5378,8.8336,13.8916,12.7077,10.4033,7.9689,11.2149,3.3895,11.7217,8.5134,7.3888,13.2355,7.4297,10.6196,7.0887,11.3631,5.8991,11.0319,10.8744,14.4978,9.5434,12.548,10.2569,5.0501,10.9092,9.4904,5.3426,11.0575,10.1952,5.8324
10.9684,7.4696,8.3759,11.1175,7.0579,9.3514,8.1214,7.7247,9.9479,7.7319,8.289,9.4868,11.1969,10.1126,9.8307,7.6789,9.8209,4.9401,10.996,9.3702,4.4202,9.5032,5.9013,6.2148,5.7342,11.18,6.6629,8.8487,8.0211,12.4583,9.231,11.2917,9.3181,5.0025,10.6696,9.912,5.3609,11.0769,9.5668,5.1314
12.1004,7.9643,6.7908,10.7172,6.8571,9.1938,7.6762,6.6899,6.2971,4.7757,8.1686,8.6933,15.0357,14.4526,11.6533,9.2192,11.943,5.2692,13.1709,9.7985,8.284,8.8903,10.7619,4.1386,9.2872,12.8009,10.6123,12.0444,12.1921,15.2538,10.5688,13.9589,11.865,4.8609,12.1329,14.8715,1.434,12.1168,12.0414,5.439
11.5133,7.6576,9.9053,11.3643,7.2523,8.7346,8.316,6.9291,9.5212,6.8443,6.5189,9.1698,12.8315,11.3177,10.2096,6.5448,13.4882,3.3665,11.3564,9.2064,9.0296,5.6884,9.2022,4.0249,7.9937,11.2662,9.0275,9.6551,8.9641,12.94,9.789,11.3302,9.6911,5.5283,11.1382,11.4963,2.5211,11.4462,9.45,3.3738
12.2191,8.1655,7.6081,10.1439,6.2725,8.9877,7.6478,7.4646,8.2761,4.1776,8.1477,9.6704,12.7376,11.8003,9.851,7.6643,12.2014,4.4839,8.2567,5.5985,1.8421,14.0282,5.4971,12.0994,4.3313,11.7468,5.4755,9.7173,8.8958,13.0091,8.2569,10.8964,9.2078,9.0893,10.6727,7.9294,11.8167,10.5644,8.2017,6.4937
11.4786,7.9101,8.9351,10.5833,6.7398,8.1581,8.1925,7.9064,7.4885,6.0111,7.1637,8.7352,14.0802,13.3404,12.3342,10.5147,12.4125,3.0947,11.7448,7.0701,10.0255,8.7553,5.5528,9.5527,10.0349,14.7718,9.926,9.7274,8.8227,12.9271,11.2951,13.9103,11.51,8.9715,13.092,13.4434,2.7961,13.0713,10.416,2.7939
10.7731,8.6648,7.8527,10.0992,5.592,9.4955,7.2504,7.2142,12.341,6.034,9.5541,8.7834,10.6644,9.4315,7.5858,3.1546,6.8619,6.0434,8.4923,4.8947,5.6106,5.9833,5.2837,4.2954,3.8607,7.3952,4.9525,6.8793,7.869,10.0815,7.1807,7.2301,7.8274,4.0818,7.929,7.8756,2.2044,8.2609,9.1789,6.2997
10.9787,8.1352,7.8096,10.0614,5.4792,9.1926,7.0821,6.9506,13.0767,5.8335,5.8828,9.2705,11.4217,9.539,7.0641,5.5439,6.217,6.7591,8.22,1.9134,5.0621,1.5373,4.4171,2.9022,3.5282,8.1262,6.2653,6.5994,5.384,10.4132,8.1798,9.6518,7.7955,3.683,8.2914,8.436,9.6897,8.1673,10.7007,7.8153
12.5782,7.6247,7.1587,10.8885,6.1926,9.0735,7.8207,7.23,7.3931,7.4102,8.1545,8.8525,12.411,11.3787,11.1123,9.0901,11.2898,3.5545,13.3314,8.0771,8.1858,13.2541,11.9617,11.0936,7.6756,13.6097,10.8171,10.212,10.6131,14.2407,9.9664,12.8768,10.1426,8.5601,11.749,11.9719,3.5314,11.8937,11.5475,6.2795
11.8791,8.9005,7.5754,10.3995,6.27,8.3605,7.3417,6.8264,9.6931,5.5575,10.8538,8.305,12.2204,11.5809,7.2156,3.8022,5.9648,9.7592,7.3225,11.6823,5.431,4.298,6.9641,3.3022,4.2194,3.2267,4.7869,8.4469,7.8765,11.5877,7.8667,9.5513,7.8767,8.568,7.9435,8.3249,8.876,7.9949,8.7102,3.7634
11.9716,7.647,9.4074,11.1072,7.8584,10.0372,8.6529,5.6754,10.1236,7.2111,8.4535,9.0212,11.2508,10.2638,9.9232,7.5111,8.7497,6.1564,10.5792,10.8164,6.793,14.0024,8.3146,12.6246,4.2603,12.0077,6.2959,9.7867,9.942,13.5929,9.7417,10.8375,9.2186,5.7739,11.2051,10.6676,8.288,11.5012,10.1793,6.4125
11.961,8.9507,7.8502,12.5159,6.8427,8.7011,7.2018,6.7969,8.0565,5.867,7.289,9.6682,9.719,8.8827,7.5919,3.9454,6.6686,1.4616,10.5622,3.4729,5.0019,6.0815,5.2538,10.9172,3.7342,9.6504,9.5265,3.0358,4.1991,8.6007,8.1083,9.0847,7.6056,8.4083,8.3261,9.5565,8.7505,8.5402,9.1543,4.2342
12.3903,8.0982,8.3035,10.5475,3.267,8.9163,7.1127,5.5099,7.2098,5.9611,7.6954,8.6572,13.7908,12.8368,12.1442,9.7169,9.5026,3.1684,13.3712,6.1659,5.8828,13.6016,13.943,12.7042,4.391,12.2897,9.8668,10.2949,10.4073,13.8736,11.2976,11.4833,9.7444,8.9007,12.5048,12.6625,2.9568,12.3636,10.2576,3.2103
11.707,7.8371,7.9844,10.1832,6.1602,9.4334,7.6083,5.839,7.765,7.2809,8.6306,8.6682,13.0917,12.3645,11.5607,9.3821,10.1274,2.8214,12.4182,11.0031,8.3146,11.6865,8.0468,11.2098,6.8467,11.8047,8.0787,10.6387,10.3235,13.9525,10.3298,13.0667,10.2834,7.3905,12.3616,13.5089,6.3008,12.1581,10.7912,5.6691
11.5398,8.3329,8.1751,10.1268,6.2704,8.3766,7.7473,6.7413,8.3489,6.1272,7.3158,9.3156,10.6617,8.9872,7.8746,5.8315,6.2929,14.3467,8.3408,2.5738,2.0689,13.7742,5.7238,11.662,2.2826,11.8799,5.1414,8.2451,7.6337,11.1446,7.1372,9.9522,8.4886,5.2514,8.8009,8.1739,6.3368,8.486,8.3438,7.5111
11.1113,8.3937,8.1448,11.3997,7.7993,9.1167,8.47,7.2533,7.2821,7.4128,8.6307,8.8531,14.2907,13.512,12.2552,9.8595,10.4731,3.4894,13.0582,11.9046,8.8679,5.5063,9.045,5.1379,7.7453,14.1781,6.2109,10.6249,10.7095,14.0451,11.7014,13.1867,10.8359,8.5655,12.4874,11.6108,3.5299,12.3287,10.0695,3.9283
11.4986,6.841,8.4572,11.3217,7.2697,9.351,8.0053,6.741,10.0948,7.4189,8.7391,8.8688,13.6903,12.7045,10.3641,8.5211,9.3566,6.3154,11.1112,12.118,6.4155,9.9874,8.3567,8.082,6.2733,12.1042,6.0855,10.7619,10.4716,14.2077,9.7647,12.6923,10.216,6.5161,11.1489,10.868,4.7914,11.2978,9.5477,2.193
