"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	93.6573355678054	57.8564361076384	53.3109010140683	53.3109010140683	15	40	800
2	1	24	93.7974339490042	51.1996946598911	57.3927759896302	57.3927759896302	14	14	14
3	1	21	95.8236972302226	51.9237455949576	58.5765154522411	58.5765154522411	14	14	14
4	1	29	94.5663539692344	50.7023525663655	58.7917019743168	58.7917019743168	25	25	25
5	1	20	94.8668914509863	49.7728188676052	59.1731986711134	59.1731986711134	15	20	20
6	1	20	94.8668914509863	49.7728188676052	59.1731986711134	58.945538356464	25	20	26
7	1	18	95.9242560208095	50.0095008560938	60.2073301205034	60.2073301205034	19	18	18
8	1	18	95.9242560208095	50.0095008560938	60.2073301205034	59.6650747526057	18	18	18
9	1	24	97.2543295015522	50.0016842884438	61.7107465245639	61.7107465245639	23	22	22
10	1	24	97.2543295015522	50.0016842884438	61.7107465245639	59.5086107800126	18	22	22
11	1	24	97.2543295015522	50.0016842884438	61.7107465245639	61.3456348436964	20	22	12
12	1	24	97.2543295015522	50.0016842884438	61.7107465245639	59.6051415311161	23	22	24
13	1	24	97.2543295015522	50.0016842884438	61.7107465245639	60.9990760662933	21	22	22
14	1	23	98.6646668043373	50.2963134616524	62.8287015409638	62.8287015409638	23	23	23
15	1	23	98.6646668043373	50.2963134616524	62.8287015409638	62.8287015409638	13	23	23
16	1	23	98.6646668043373	50.2963134616524	62.8287015409638	60.6409858814128	20	23	20
17	1	23	98.6646668043373	50.2963134616524	62.8287015409638	60.8085448447272	21	23	22
18	1	23	98.6646668043373	50.2963134616524	62.8287015409638	60.7324665790208	20	23	23
19	1	23	98.6646668043373	50.2963134616524	62.8287015409638	60.6409858814128	20	23	20
20	1	23	98.6646668043373	50.2963134616524	62.8287015409638	61.7464301860039	29	23	25
21	1	23	98.6646668043373	50.2963134616524	62.8287015409638	61.7107465245639	22	23	22
22	1	23	98.6646668043373	50.2963134616524	62.8287015409638	61.7107465245639	22	23	22
23	1	19	97.6862524093003	48.5708934124455	63.0913769001234	63.0913769001234	20	20	20
24	1	19	97.6862524093003	48.5708934124455	63.0913769001234	63.0913769001234	19	20	20
25	1	19	97.6862524093003	48.5708934124455	63.0913769001234	62.986083545537	24	20	24
26	1	24	98.6646668043373	49.7353119743239	63.1354650820937	63.1354650820937	24	24	24
27	1	24	98.6646668043373	49.7353119743239	63.1354650820937	63.0913769001234	20	24	20
28	1	24	98.6646668043373	49.7353119743239	63.1354650820937	63.1354650820937	23	24	24
29	1	24	98.6646668043373	49.7353119743239	63.1354650820937	62.986083545537	22	24	48
30	1	24	98.6646668043373	49.2261830397516	63.4684178362943	63.4684178362943	25	24	24
31	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
32	1	25	98.6646668043373	49.2338204310435	63.62713416239	62.986083545537	21	25	73
33	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
34	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.0913769001234	20	25	20
35	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
36	1	25	98.6646668043373	49.2338204310435	63.62713416239	62.986083545537	24	25	49
37	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	25	25	25
38	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
39	1	25	98.6646668043373	49.2338204310435	63.62713416239	62.986083545537	23	25	73
40	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
41	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.0913769001234	19	25	20
42	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	24	25	25
43	1	25	98.6646668043373	49.2338204310435	63.62713416239	62.986083545537	24	25	24
44	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	25	25	25
45	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.62713416239	15	25	50
46	1	25	98.6646668043373	49.2338204310435	63.62713416239	60.2412381717858	17	25	24
47	1	25	98.6646668043373	49.2338204310435	63.62713416239	61.3280069005602	21	25	22
48	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.4684178362943	24	25	24
49	1	25	98.6646668043373	49.2338204310435	63.62713416239	63.4684178362943	24	25	24
50	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	21	22	22
51	1	22	98.6735987989571	48.8610241523977	63.7715769523309	61.6713424408786	21	22	25
52	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.62713416239	25	22	25
53	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	22	22	22
54	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	20	22	44
55	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.62713416239	25	22	25
56	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.62713416239	25	22	50
57	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	22	22	22
58	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	22	22	22
59	1	22	98.6735987989571	48.8610241523977	63.7715769523309	63.7715769523309	23	22	22
60	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
61	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
62	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
63	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
64	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
65	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
66	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
67	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
68	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
69	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
70	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
71	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
72	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
73	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
74	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	24	24	24
75	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.8856167307334	26	24	24
76	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.7715769523309	23	24	22
77	1	24	98.6646668043373	48.5967024762672	63.8856167307334	63.7715769523309	22	24	22
78	1	20	100	49.9954333266162	64.2844466713686	64.2844466713686	19	19	19
