"1007_s_at","1053_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209603_at","209604_s_at","212956_at","215729_s_at","Class"
12.444,8.3774,10.1763,13.0759,8.6216,12.4854,3.149,10.5793,14.3763,13.36,2.9565,"2"
12.2005,7.8592,9.3275,13.7616,10.7598,10.5188,14.9688,10.5772,14.0214,13.2925,1.5807,"2"
12.6709,8.6762,9.92,12.736,7.7832,11.6232,11.6974,11.1181,14.5222,12.3582,5.6368,"2"
11.6619,8.2557,8.9128,13.8228,7.4413,7.5591,3.9515,12.3437,14.9144,13.1325,2.251,"2"
11.8397,8.7971,4.8606,8.3607,3.6891,14.788,3.4244,7.7225,10.8821,10.8038,6.2959,"1"
11.4081,8.3247,4.5569,8.9998,6.7869,7.6447,3.9217,8.4591,12.2287,8.3545,11.292,"1"
12.5829,8.9015,6.4544,12.8445,8.8298,10.5207,6.8241,10.5914,13.3798,13.433,0.0799,"2"
12.1237,8.7101,4.723,8.974,6.6494,7.3345,12.6968,7.356,11.0112,10.0088,8.5529,"1"
11.098,9.7493,3.7788,7.0561,7.2961,6.8551,2.9032,6.6269,9.7734,8.9243,9.357,"1"
12.4537,7.5118,8.4624,11.8396,10.4505,12.5394,7.5681,10.2397,14.1152,11.8889,3.1103,"2"
11.1349,7.6111,9.0767,12.4562,7.4452,7.9484,5.0535,10.0288,14.088,12.4273,5.2469,"2"
11.8757,8.0035,8.8618,12.2024,12.6169,9.1798,4.3108,10.9478,14.6333,12.4745,3.9259,"2"
12.6326,8.3098,7.2568,7.987,2.4328,5.6576,6.0717,8.886,13.2361,10.9061,5.8684,"1"
12.5807,8.0104,8.201,10.1026,3.6658,7.2889,8.0237,10.1557,14.1058,10.9066,5.6927,"1"
12.4304,7.6919,8.4555,8.0999,6.5555,7.9678,3.6556,9.0275,12.722,10.6692,2.1542,"1"
11.9454,7.4614,5.8544,8.5567,2.5115,5.7934,10.8039,8.4549,12.5708,10.2593,3.3872,"1"
12.1154,7.9201,7.7363,10.7157,9.3726,7.5721,10.6691,8.9255,12.6522,11.99,9.8497,"1"
11.9077,7.6548,5.4881,8.5834,7.9959,7.9186,4.064,8.068,10.8359,8.9875,8.4034,"1"
11.8592,8.7641,10.3608,12.8623,8.8473,12.6914,14.3858,11.4367,14.664,11.6637,2.3699,"2"
12.0612,8.3111,10.4822,13.764,12.6589,11.5871,14.9648,10.3884,14.508,13.9558,1.7151,"2"
12.7259,8.4282,9.5693,11.444,3.4679,10.4399,10.9951,10.9906,14.3534,13.1016,4.4885,"2"
12.3641,8.9391,6.3788,7.4728,6.0069,7.1454,3.4943,10.4111,13.6927,11.971,3.8248,"1"
12.0602,8.6066,6.2395,8.4135,1.7375,14.3442,2.756,7.4519,10.2794,9.7345,5.049,"1"
11.281,8.6218,4.7333,6.8669,5.9043,4.8695,4.766,7.9928,11.3702,9.3805,7.03,"1"
12.5553,7.4527,9.3072,14.2366,6.9536,12.5693,3.4826,11.508,14.4045,13.1174,3.5265,"2"
12.2333,7.8985,9.7793,13.7238,7.232,10.1326,6.6525,11.5596,14.3113,13.7972,1.9596,"2"
11.8859,7.5916,8.1056,11.4232,10.0487,11.0953,4.0803,11.7166,14.7897,13.2411,1.7007,"2"
12.1708,7.8654,8.7031,11.3391,8.7703,8.4029,12.6767,8.9839,13.169,12.5047,6.2134,"2"
12.8908,8.094,4.5763,8.4676,2.2866,6.8341,5.1505,7.8222,12.1343,8.9354,10.3828,"1"
12.0125,8.3706,4.1328,7.6136,5.8714,6.3841,4.6445,7.5922,11.4554,10.5317,1.8945,"1"
11.1958,8.5326,4.7115,8.4559,6.831,6.7498,3.2458,6.7856,10.1851,10.1753,10.5956,"1"
11.5379,8.6753,5.852,7.8963,9.2353,5.48,12.1276,7.3408,10.699,9.7544,8.0793,"1"
12.2426,8.6863,5.6595,8.15,8.8528,7.1052,6.6746,8.4789,12.1241,9.7492,10.2683,"1"
11.7422,8.3868,10.076,12.7341,11.7697,7.0218,3.9211,11.1457,14.3155,12.6052,1.6071,"2"
12.1271,7.2132,8.0906,12.9117,7.0192,8.3354,10.6593,10.9915,14.9286,12.7904,3.94,"2"
11.9852,7.7999,11.4458,13.8611,3.2194,8.2143,11.9052,11.4351,14.3454,13.3609,1.5849,"2"
11.831,7.5973,9.7068,11.6071,14.3158,12.9351,3.628,11.157,14.4465,12.8879,3.4418,"2"
11.9298,6.9393,9.3395,12.9999,9.9379,11.1861,4.193,11.0987,14.404,11.3677,2.2721,"2"
11.5563,8.5456,9.8688,14.1548,12.9115,10.1335,12.7435,11.3986,14.3343,13.2225,2.6906,"2"
12.3898,8.2476,9.4071,11.7896,9.6092,8.3816,8.3475,10.7427,14.2872,12.177,4.5106,"2"
12.2223,8.2085,10.1436,13.1663,10.9252,13.0941,8.8498,12.036,14.4551,13.0678,2.1948,"2"
12.2161,8.3784,3.1318,7.4166,3.8593,5.3369,3.3653,7.7591,11.528,9.2101,10.8661,"1"
11.3958,9.0461,4.7862,8.6856,10.7432,6.7483,4.6158,5.3853,9.4435,8.8312,6.6686,"1"
11.9744,8.3758,9.3766,12.0832,13.0675,9.9301,8.5691,10.4631,14.7315,12.2257,2.6082,"2"
11.7052,8.1315,3.5843,8.1952,5.6536,4.486,4.2622,7.2157,11.3759,8.6669,6.1628,"1"
12.7443,8.4647,8.9374,10.719,1.9116,5.5528,14.1834,9.6384,14.1977,10.5998,3.5924,"1"
12.2154,8.3121,10.1122,12.9374,11.46,6.7119,5.9254,12.2846,14.8685,13.022,1.6383,"2"
13.312,7.8254,11.2929,12.5191,14.7333,13.6082,8.0746,11.2264,14.8729,13.4395,2.9893,"2"
12.2111,9.0572,6.8452,3.6784,4.6527,3.9488,13.285,7.164,11.1143,8.8364,1.7282,"1"
11.175,7.5085,9.1324,12.0389,10.6663,10.7713,3.1352,11.0791,14.2505,13.5637,3.1802,"2"
12.1514,8.1922,7.0044,8.2599,4.3719,6.3018,6.5105,7.8118,11.6584,11.359,9.8613,"1"
11.4223,7.4375,9.7578,13.6226,11.5748,8.5557,8.3304,10.6735,13.9018,12.5382,2.6362,"2"
12.0307,8.4269,8.353,10.8245,2.8139,4.495,13.7739,9.0168,12.9159,11.1295,3.3684,"2"
12.7472,9.0996,10.3654,7.4097,2.9088,6.8992,11.3628,8.0759,12.7958,9.6608,8.5637,"1"
11.2817,8.9329,10.7588,13.5035,6.9738,12.1784,9.5795,10.629,13.7334,12.2744,-0.4146,"2"
13.2494,8.3434,10.1203,12.0186,4.8975,13.1538,11.2394,10.7869,14.2651,10.9664,5.1159,"2"
13.9012,8.0363,10.8232,13.483,8.1088,10.4051,14.4949,11.1849,14.5038,12.3577,4.824,"2"
12.8156,7.6095,10.2651,12.1408,7.383,13.6021,12.667,10.725,14.5693,11.6939,2.5159,"2"
13.0941,8.2012,10.1747,12.2749,9.63,8.7143,8.9276,10.7588,13.8295,12.2083,1.701,"2"
11.3834,9.0703,7.6257,7.7153,5.048,8.8027,3.4286,7.6964,11.0267,9.8368,2.6172,"1"
12.129,7.4496,10.746,13.0559,9.2967,11.1075,5.8542,10.9914,14.3148,12.9762,2.7682,"2"
12.773,6.7233,11.6026,14.0098,6.5173,13.7228,9.171,9.569,13.8379,10.3379,3.7095,"2"
11.8927,8.0734,10.7002,14.0217,7.4954,14.6157,4.1446,11.3047,14.4673,12.5246,0.816,"2"
11.6298,9.2991,7.4145,12.5402,7.8973,13.6878,7.0608,11.802,14.3213,12.7891,3.267,"2"
12.3467,6.9379,9.0546,10.9442,6.6514,8.8658,9.6694,11.272,14.8717,9.9531,2.7492,"2"
11.6358,8.4829,6.5162,7.2509,7.758,5.4812,2.9789,7.3315,10.5023,7.9427,8.8624,"1"
10.33,6.5923,8.0046,7.895,9.3266,8.8766,12.0573,8.0909,11.6816,11.4561,3.1297,"2"
12.1404,8.2031,4.5782,7.4147,8.818,5.8111,7.3296,7.3256,9.708,9.2672,11.5796,"1"
13.0893,5.6899,7.6451,12.2433,6.6191,5.6429,11.0777,10.5622,14.9933,12.6507,5.9483,"2"
12.2036,7.3499,9.2572,13.2485,7.4243,10.7595,14.0369,11.2837,14.936,12.2621,1.8744,"2"
