"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	11	92.3012427949931	51.3911868818457	56.8685998379514	56.8685998379514	4	11	220
2	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.7101682378672	5	5	5
3	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.7101682378672	6	5	5
4	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.6864309360173	9	5	8
5	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.7101682378672	2	5	5
6	1	5	91.6093737312043	48.2789990096813	58.7101682378672	57.8419405447454	6	5	6
7	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.6388021939541	6	5	6
8	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.6388021939541	6	5	6
9	1	5	91.6093737312043	48.2789990096813	58.7101682378672	58.7101682378672	5	5	5
10	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	3	7	7
11	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.6178684910296	7	7	9
12	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.8420108826588	6	7	7
13	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	7
14	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	14
15	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	5	7	28
16	1	7	93.3833335939511	48.8988196949109	59.9771806278159	57.923292083292	8	7	8
17	1	7	93.3833335939511	48.8988196949109	59.9771806278159	58.9825706314162	9	7	9
18	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.2161669747516	8	7	9
19	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	21
20	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	10	7	35
21	1	7	93.3833335939511	48.8988196949109	59.9771806278159	58.5612911673295	8	7	7
22	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	14
23	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	8	7	21
24	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.6141917155733	6	7	6
25	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	14
26	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	14
27	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	21
28	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	35
29	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	35
30	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	35
31	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	7
32	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	35
33	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	28
34	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	28
35	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	70
36	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	28
37	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	42
38	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	56
39	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	70
40	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	6	7	77
41	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	28
42	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	49
43	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	56
44	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	70
45	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	84
46	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	84
47	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	98
48	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	105
49	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	105
50	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	105
51	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	84
52	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	91
53	1	7	93.3833335939511	48.8988196949109	59.9771806278159	59.9771806278159	7	7	105
