"201555_at","202683_s_at","203139_at","205229_s_at","205751_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
9.9499,8.8732,8.814,5.2668,5.445,8.8319,7.6049,9.2348,10.6963,"2"
9.6616,8.5511,8.7652,7.1769,6.3482,9.8519,8.9154,10.1938,9.378,"1"
9.4638,8.5826,9.4426,6.9284,6.0619,9.3521,9.1121,8.4931,9.384,"2"
9.6843,8.7651,8.3725,6.9055,6.4097,9.0844,4.9278,10.5216,10.1166,"2"
9.5383,8.885,9.6763,4.8938,7.7306,8.4021,9.1944,7.677,7.8887,"2"
10.1847,8.7421,7.9845,4.9654,4.4014,9.681,8.9311,9.0195,9.1651,"1"
8.9335,9.1022,8.7043,8.4151,5.2843,8.5916,4.5641,9.639,9.9279,"2"
10.8099,8.705,10.2643,4.5725,4.4349,8.8679,5.9741,9.0955,7.631,"2"
10.6846,8.9567,9.741,6.0865,4.1782,8.8598,7.3218,9.5613,9.2011,"2"
9.4622,7.9078,8.827,6.9138,6.0803,9.2278,5.1121,8.5314,10.0632,"2"
10.2953,8.6115,9.2549,8.2921,4.5127,8.1283,3.7827,9.1898,7.8574,"2"
9.9562,9.3272,9.5308,7.3219,6.7532,9.931,7.6142,9.28,9.7508,"2"
10.168,8.635,8.9875,6.1828,3.0293,8.6945,4.7939,11.9445,7.9543,"2"
9.9726,8.1599,7.829,6.6325,3.9041,9.2531,4.5708,9.2068,10.7211,"2"
10.065,8.3325,9.3678,5.9372,5.8034,9.4525,7.8242,10.4572,9.9597,"2"
10.1748,8.6214,9.5396,6.3203,3.5526,8.6802,10.5707,8.9316,8.1195,"1"
10.1409,9.4828,9.124,5.9751,3.908,9.5551,5.88,9.9049,9.8092,"2"
9.7696,9.2349,9.7394,6.9528,6.9308,8.6223,8.3351,9.39,9.7664,"2"
9.7629,9.5725,8.38,5.8739,4.1376,9.0472,9.1135,9.2731,9.5203,"2"
10.3438,9.28,9.2906,7.7302,6.2246,9.1214,5.9221,6.8246,8.4435,"2"
10.2161,8.2933,8.3442,6.1927,3.6381,8.9399,9.6461,10.1455,8.2704,"2"
10.1697,9.1473,8.4578,7.5264,6.2403,8.6684,5.7518,9.9033,8.8652,"2"
