"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	16	79.2327740011452	57.9316112223976	38.7638792402814	38.7638792402814	10	16	320
2	1	9	84.2341749412942	57.9320942667917	43.3866668741419	43.3866668741419	9	9	18
3	1	9	84.2341749412942	57.9320942667917	43.3866668741419	43.3866668741419	9	9	18
4	1	11	85.8878165295423	57.9316112223976	45.0861696422587	45.0861696422587	11	11	11
5	1	11	85.8878165295423	57.9316112223976	45.0861696422587	45.0861696422587	11	11	22
6	1	11	85.8878165295423	57.9316112223976	45.0861696422587	42.7788026067999	9	11	10
7	1	11	85.8878165295423	57.9316112223976	45.0861696422587	40.7580062430246	6	11	8
8	1	11	85.8878165295423	57.9316112223976	45.0861696422587	44.3723866497646	10	11	11
9	1	8	86.8175069611264	57.9316112223976	45.9052729881609	45.9052729881609	12	12	12
10	1	8	86.8175069611264	57.9316112223976	45.9052729881609	45.9052729881609	8	12	12
11	1	8	86.8175069611264	57.9316112223976	45.9052729881609	43.5622601597305	11	12	11
12	1	8	86.8175069611264	57.9316112223976	45.9052729881609	41.5160582956621	7	12	19
13	1	8	86.8175069611264	57.9316112223976	45.9052729881609	45.0308894275964	9	12	11
14	1	8	86.8175069611264	57.9316112223976	45.9052729881609	45.1804458197897	12	12	11
15	1	8	86.8175069611264	57.9316112223976	45.9052729881609	45.9052729881609	8	12	36
16	1	8	86.8175069611264	57.9316112223976	45.9052729881609	44.0195446973427	12	12	12
17	1	9	87.6534753561099	57.9316112223976	46.5391865531389	46.5391865531389	9	9	9
18	1	9	87.6534753561099	57.9316112223976	46.5391865531389	46.5391865531389	10	9	9
19	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.8195126199934	10	10	10
20	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.8195126199934	9	10	20
21	1	10	88.8324960472658	57.9316112223976	47.8195126199934	45.1802372314903	11	10	14
22	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.1510135165081	11	10	11
23	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.1510135165081	11	10	22
24	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.8195126199934	10	10	20
25	1	10	88.8324960472658	57.9316112223976	47.8195126199934	47.8195126199934	9	10	30
26	1	9	89.8560680275802	57.9316112223976	49.3047265141126	49.3047265141126	10	11	11
27	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	8	10	10
28	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	10
29	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	20
30	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	11	10	20
31	1	11	92.5132110561905	57.9316112223976	51.7328585451386	48.9988809617794	12	10	10
32	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	10
33	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	20
34	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	40
35	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	8	10	40
36	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	9	10	20
37	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	30
38	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	30
39	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	8	10	40
40	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	11	10	30
41	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	20
42	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	50
43	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	60
44	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	70
45	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	90
46	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	70
47	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	9	10	90
48	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	80
49	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	80
50	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	60
51	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	40
52	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	60
53	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	70
54	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	80
55	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	11	10	80
56	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	50
57	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	70
58	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	80
59	1	11	92.5132110561905	57.9316112223976	51.7328585451386	51.7328585451386	10	10	80
