"1007_s_at","1053_at","117_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209602_s_at","209603_at","209604_s_at","212956_at","215729_s_at"
12.3446,7.0781,7.5017,9.8038,13.8754,10.5785,11.4867,7.931,11.9413,11.979,15.0625,13.5201,1.9565
12.0376,7.6011,7.3458,7.9689,11.7217,8.5134,7.4297,10.6196,11.0319,10.8744,14.4978,12.548,5.3426
10.9684,7.4696,8.3759,7.6789,10.996,9.3702,5.9013,6.2148,8.8487,8.0211,12.4583,11.2917,5.3609
12.1004,7.9643,6.7908,9.2192,13.1709,9.7985,10.7619,4.1386,12.0444,12.1921,15.2538,13.9589,1.434
11.5133,7.6576,9.9053,6.5448,11.3564,9.2064,9.2022,4.0249,9.6551,8.9641,12.94,11.3302,2.5211
12.2191,8.1655,7.6081,7.6643,8.2567,5.5985,5.4971,12.0994,9.7173,8.8958,13.0091,10.8964,11.8167
11.4786,7.9101,8.9351,10.5147,11.7448,7.0701,5.5528,9.5527,9.7274,8.8227,12.9271,13.9103,2.7961
10.7731,8.6648,7.8527,3.1546,8.4923,4.8947,5.2837,4.2954,6.8793,7.869,10.0815,7.2301,2.2044
10.9787,8.1352,7.8096,5.5439,8.22,1.9134,4.4171,2.9022,6.5994,5.384,10.4132,9.6518,9.6897
12.5782,7.6247,7.1587,9.0901,13.3314,8.0771,11.9617,11.0936,10.212,10.6131,14.2407,12.8768,3.5314
11.8791,8.9005,7.5754,3.8022,7.3225,11.6823,6.9641,3.3022,8.4469,7.8765,11.5877,9.5513,8.876
11.9716,7.647,9.4074,7.5111,10.5792,10.8164,8.3146,12.6246,9.7867,9.942,13.5929,10.8375,8.288
11.961,8.9507,7.8502,3.9454,10.5622,3.4729,5.2538,10.9172,3.0358,4.1991,8.6007,9.0847,8.7505
12.3903,8.0982,8.3035,9.7169,13.3712,6.1659,13.943,12.7042,10.2949,10.4073,13.8736,11.4833,2.9568
11.707,7.8371,7.9844,9.3821,12.4182,11.0031,8.0468,11.2098,10.6387,10.3235,13.9525,13.0667,6.3008
11.5398,8.3329,8.1751,5.8315,8.3408,2.5738,5.7238,11.662,8.2451,7.6337,11.1446,9.9522,6.3368
11.1113,8.3937,8.1448,9.8595,13.0582,11.9046,9.045,5.1379,10.6249,10.7095,14.0451,13.1867,3.5299
