"1007_s_at","1053_at","117_at","204508_s_at","205225_at","205440_s_at","206754_s_at","206799_at","209602_s_at","209603_at","209604_s_at","212956_at","215729_s_at"
12.444,8.3774,6.7866,10.1763,13.0759,8.6216,12.4854,3.149,11.1535,10.5793,14.3763,13.36,2.9565
12.2005,7.8592,8.0963,9.3275,13.7616,10.7598,10.5188,14.9688,10.8437,10.5772,14.0214,13.2925,1.5807
12.6709,8.6762,7.4812,9.92,12.736,7.7832,11.6232,11.6974,10.7019,11.1181,14.5222,12.3582,5.6368
11.6619,8.2557,7.9923,8.9128,13.8228,7.4413,7.5591,3.9515,11.6447,12.3437,14.9144,13.1325,2.251
11.8397,8.7971,7.8321,4.8606,8.3607,3.6891,14.788,3.4244,7.3628,7.7225,10.8821,10.8038,6.2959
11.4081,8.3247,8.1169,4.5569,8.9998,6.7869,7.6447,3.9217,8.1069,8.4591,12.2287,8.3545,11.292
12.5829,8.9015,6.6237,6.4544,12.8445,8.8298,10.5207,6.8241,10.3437,10.5914,13.3798,13.433,0.0799
12.1237,8.7101,7.8795,4.723,8.974,6.6494,7.3345,12.6968,7.5764,7.356,11.0112,10.0088,8.5529
11.098,9.7493,6.7152,3.7788,7.0561,7.2961,6.8551,2.9032,6.6175,6.6269,9.7734,8.9243,9.357
12.4537,7.5118,8.2514,8.4624,11.8396,10.4505,12.5394,7.5681,10.1296,10.2397,14.1152,11.8889,3.1103
11.1349,7.6111,8.7835,9.0767,12.4562,7.4452,7.9484,5.0535,9.9895,10.0288,14.088,12.4273,5.2469
11.8757,8.0035,8.1103,8.8618,12.2024,12.6169,9.1798,4.3108,10.9835,10.9478,14.6333,12.4745,3.9259
12.6326,8.3098,7.4773,7.2568,7.987,2.4328,5.6576,6.0717,9.1959,8.886,13.2361,10.9061,5.8684
12.5807,8.0104,7.5885,8.201,10.1026,3.6658,7.2889,8.0237,10.1162,10.1557,14.1058,10.9066,5.6927
12.4304,7.6919,8.0937,8.4555,8.0999,6.5555,7.9678,3.6556,9.2392,9.0275,12.722,10.6692,2.1542
11.9454,7.4614,8.4695,5.8544,8.5567,2.5115,5.7934,10.8039,8.8079,8.4549,12.5708,10.2593,3.3872
12.1154,7.9201,6.207,7.7363,10.7157,9.3726,7.5721,10.6691,8.9575,8.9255,12.6522,11.99,9.8497
11.9077,7.6548,9.1468,5.4881,8.5834,7.9959,7.9186,4.064,3.9655,8.068,10.8359,8.9875,8.4034
11.8592,8.7641,6.7698,10.3608,12.8623,8.8473,12.6914,14.3858,11.2706,11.4367,14.664,11.6637,2.3699
12.0612,8.3111,8.0799,10.4822,13.764,12.6589,11.5871,14.9648,11.3341,10.3884,14.508,13.9558,1.7151
12.7259,8.4282,8.3729,9.5693,11.444,3.4679,10.4399,10.9951,10.8359,10.9906,14.3534,13.1016,4.4885
12.3641,8.9391,7.882,6.3788,7.4728,6.0069,7.1454,3.4943,10.3926,10.4111,13.6927,11.971,3.8248
12.0602,8.6066,7.6073,6.2395,8.4135,1.7375,14.3442,2.756,6.7092,7.4519,10.2794,9.7345,5.049
11.281,8.6218,8.3951,4.7333,6.8669,5.9043,4.8695,4.766,7.6899,7.9928,11.3702,9.3805,7.03
12.5553,7.4527,8.5629,9.3072,14.2366,6.9536,12.5693,3.4826,11.4216,11.508,14.4045,13.1174,3.5265
12.2333,7.8985,7.4182,9.7793,13.7238,7.232,10.1326,6.6525,11.2286,11.5596,14.3113,13.7972,1.9596
11.8859,7.5916,7.0778,8.1056,11.4232,10.0487,11.0953,4.0803,11.578,11.7166,14.7897,13.2411,1.7007
