"1053_at","205225_at","206754_s_at","206799_at","209602_s_at","212956_at","215729_s_at","Class"
7.0781,13.8754,11.4867,7.931,11.9413,13.5201,1.9565,"2"
7.6011,11.7217,7.4297,10.6196,11.0319,12.548,5.3426,"1"
7.4696,10.996,5.9013,6.2148,8.8487,11.2917,5.3609,"2"
7.9643,13.1709,10.7619,4.1386,12.0444,13.9589,1.434,"2"
7.6576,11.3564,9.2022,4.0249,9.6551,11.3302,2.5211,"2"
8.1655,8.2567,5.4971,12.0994,9.7173,10.8964,11.8167,"1"
7.9101,11.7448,5.5528,9.5527,9.7274,13.9103,2.7961,"2"
8.6648,8.4923,5.2837,4.2954,6.8793,7.2301,2.2044,"2"
8.1352,8.22,4.4171,2.9022,6.5994,9.6518,9.6897,"1"
7.6247,13.3314,11.9617,11.0936,10.212,12.8768,3.5314,"2"
8.9005,7.3225,6.9641,3.3022,8.4469,9.5513,8.876,"1"
7.647,10.5792,8.3146,12.6246,9.7867,10.8375,8.288,"2"
8.9507,10.5622,5.2538,10.9172,3.0358,9.0847,8.7505,"2"
8.0982,13.3712,13.943,12.7042,10.2949,11.4833,2.9568,"2"
7.8371,12.4182,8.0468,11.2098,10.6387,13.0667,6.3008,"2"
8.3329,8.3408,5.7238,11.662,8.2451,9.9522,6.3368,"1"
8.3937,13.0582,9.045,5.1379,10.6249,13.1867,3.5299,"2"
6.841,11.1112,8.3567,8.082,10.7619,12.6923,4.7914,"2"
8.6071,8.3414,7.5195,3.5392,8.8358,11.046,9.2198,"2"
5.7879,10.9402,8.2209,11.5105,8.6016,10.4459,3.1912,"2"
8.7986,8.4434,4.8825,14.4102,8.2769,10.7341,8.1825,"2"
8.8164,8.7318,8.0147,11.1748,7.8013,9.7123,8.7423,"1"
8.1883,8.3963,8.1672,4.4583,8.7655,9.4395,7.9547,"1"
8.0052,12.5963,8.4653,9.6497,10.9173,13.5241,2.9889,"2"
7.6044,11.8094,11.673,12.5231,11.2801,12.4003,2.149,"2"
8.2015,9.5325,8.523,5.5402,7.2842,9.5156,4.9883,"1"
7.8253,13.2295,10.6489,13.2658,11.4294,13.3231,1.9647,"2"
4.913,9.8211,6.9457,5.0914,8.0979,9.7818,6.2769,"1"
9.2408,8.0818,6.3319,4.2433,3.1345,10.2891,3.0053,"2"
8.1488,8.2941,5.8694,4.2842,7.0294,9.4854,10.9867,"1"
8.145,10.7936,7.308,10.9854,9.9289,12.3283,7.1663,"1"
8.6772,10.5265,5.7323,7.6674,8.5997,10.6652,9.4107,"1"
7.6784,10.9363,11.8804,10.8981,10.4971,11.7619,4.8463,"2"
7.816,12.3623,10.0473,7.9773,10.9421,13.7027,3.8809,"2"
7.323,7.7249,7.1169,3.4144,3.3417,8.6748,10.3695,"1"
8.1039,8.8049,6.8085,4.3188,9.2261,9.8927,9.3743,"1"
8.588,10.9305,6.4077,14.0581,10.8712,13.6215,3.5025,"2"
8.298,7.6342,5.1583,2.8053,8.666,9.1482,1.0689,"1"
7.4006,12.3505,6.9298,3.8597,10.8978,13.7271,1.2775,"2"
8.6287,5.6522,7.3472,3.4204,8.2167,9.7463,7.8107,"1"
7.8514,8.8267,8.6548,13.294,9.2572,11.4818,3.1003,"1"
8.6037,13.2534,8.7383,10.9965,11.146,12.0823,1.4498,"2"
6.7644,8.2067,6.5909,4.2971,2.8049,8.2743,10.4698,"1"
7.9691,11.2609,8.1456,12.8622,9.8207,12.12,7.7638,"2"
5.1489,13.2832,12.5153,4.8937,11.5757,12.9248,2.9577,"2"
7.226,11.7827,8.2431,14.8214,9.8421,11.1322,3.1549,"2"
8.7762,8.3335,5.892,3.8603,7.0231,9.0008,5.5568,"1"
8.4165,8.3603,7.6677,4.8021,9.408,9.5846,6.1849,"1"
8.1887,8.9474,5.9233,5.2903,7.7035,10.3331,1.9105,"1"
9.0496,7.5993,5.3579,4.7796,6.2378,8.2055,6.772,"1"
8.5198,12.0116,9.5652,10.2749,11.4442,13.3762,2.8635,"2"
7.835,13.5384,9.7597,9.134,10.8067,13.0526,2.8702,"2"
7.4979,10.3875,9.7464,5.9668,9.2669,10.7508,4.536,"1"
7.8334,11.8833,8.6569,11.8333,10.7378,11.8967,2.5142,"2"
8.6451,12.7416,6.7339,5.2458,10.6317,12.0272,1.5145,"2"
8.1589,8.3177,5.9303,4.2755,8.819,9.3578,8.8079,"1"
9.1396,7.5472,4.3457,4.0027,7.2429,8.7783,1.7874,"1"
7.7421,8.1155,7.8528,3.8327,7.1435,9.5652,10.4593,"1"
9.4844,7.6352,5.9165,3.9053,2.3006,8.6382,8.8795,"1"
