"1053_at","205225_at","206754_s_at","206799_at","209602_s_at","212956_at","215729_s_at","Class"
8.3774,13.0759,12.4854,3.149,11.1535,13.36,2.9565,"2"
7.8592,13.7616,10.5188,14.9688,10.8437,13.2925,1.5807,"2"
8.6762,12.736,11.6232,11.6974,10.7019,12.3582,5.6368,"2"
8.2557,13.8228,7.5591,3.9515,11.6447,13.1325,2.251,"2"
8.7971,8.3607,14.788,3.4244,7.3628,10.8038,6.2959,"1"
8.3247,8.9998,7.6447,3.9217,8.1069,8.3545,11.292,"1"
8.9015,12.8445,10.5207,6.8241,10.3437,13.433,0.0799,"2"
8.7101,8.974,7.3345,12.6968,7.5764,10.0088,8.5529,"1"
9.7493,7.0561,6.8551,2.9032,6.6175,8.9243,9.357,"1"
7.5118,11.8396,12.5394,7.5681,10.1296,11.8889,3.1103,"2"
7.6111,12.4562,7.9484,5.0535,9.9895,12.4273,5.2469,"2"
8.0035,12.2024,9.1798,4.3108,10.9835,12.4745,3.9259,"2"
8.3098,7.987,5.6576,6.0717,9.1959,10.9061,5.8684,"1"
8.0104,10.1026,7.2889,8.0237,10.1162,10.9066,5.6927,"1"
7.6919,8.0999,7.9678,3.6556,9.2392,10.6692,2.1542,"1"
7.4614,8.5567,5.7934,10.8039,8.8079,10.2593,3.3872,"1"
7.9201,10.7157,7.5721,10.6691,8.9575,11.99,9.8497,"1"
7.6548,8.5834,7.9186,4.064,3.9655,8.9875,8.4034,"1"
8.7641,12.8623,12.6914,14.3858,11.2706,11.6637,2.3699,"2"
8.3111,13.764,11.5871,14.9648,11.3341,13.9558,1.7151,"2"
8.4282,11.444,10.4399,10.9951,10.8359,13.1016,4.4885,"2"
8.9391,7.4728,7.1454,3.4943,10.3926,11.971,3.8248,"1"
8.6066,8.4135,14.3442,2.756,6.7092,9.7345,5.049,"1"
8.6218,6.8669,4.8695,4.766,7.6899,9.3805,7.03,"1"
7.4527,14.2366,12.5693,3.4826,11.4216,13.1174,3.5265,"2"
7.8985,13.7238,10.1326,6.6525,11.2286,13.7972,1.9596,"2"
7.5916,11.4232,11.0953,4.0803,11.578,13.2411,1.7007,"2"
7.8654,11.3391,8.4029,12.6767,8.3442,12.5047,6.2134,"2"
8.094,8.4676,6.8341,5.1505,8.2722,8.9354,10.3828,"1"
8.3706,7.6136,6.3841,4.6445,7.4846,10.5317,1.8945,"1"
8.5326,8.4559,6.7498,3.2458,6.5262,10.1753,10.5956,"1"
8.6753,7.8963,5.48,12.1276,7.2882,9.7544,8.0793,"1"
8.6863,8.15,7.1052,6.6746,8.4579,9.7492,10.2683,"1"
8.3868,12.7341,7.0218,3.9211,10.9844,12.6052,1.6071,"2"
7.2132,12.9117,8.3354,10.6593,11.3471,12.7904,3.94,"2"
7.7999,13.8611,8.2143,11.9052,11.4407,13.3609,1.5849,"2"
7.5973,11.6071,12.9351,3.628,10.8253,12.8879,3.4418,"2"
6.9393,12.9999,11.1861,4.193,10.7504,11.3677,2.2721,"2"
8.5456,14.1548,10.1335,12.7435,11.2149,13.2225,2.6906,"2"
8.2476,11.7896,8.3816,8.3475,10.5645,12.177,4.5106,"2"
8.2085,13.1663,13.0941,8.8498,11.4773,13.0678,2.1948,"2"
8.3784,7.4166,5.3369,3.3653,7.8565,9.2101,10.8661,"1"
9.0461,8.6856,6.7483,4.6158,5.773,8.8312,6.6686,"1"
8.3758,12.0832,9.9301,8.5691,10.3976,12.2257,2.6082,"2"
8.1315,8.1952,4.486,4.2622,7.2402,8.6669,6.1628,"1"
8.4647,10.719,5.5528,14.1834,10.4453,10.5998,3.5924,"1"
8.3121,12.9374,6.7119,5.9254,11.2285,13.022,1.6383,"2"
7.8254,12.5191,13.6082,8.0746,11.2332,13.4395,2.9893,"2"
9.0572,3.6784,3.9488,13.285,6.7967,8.8364,1.7282,"1"
7.5085,12.0389,10.7713,3.1352,10.9272,13.5637,3.1802,"2"
8.1922,8.2599,6.3018,6.5105,8.2617,11.359,9.8613,"1"
7.4375,13.6226,8.5557,8.3304,10.4623,12.5382,2.6362,"2"
8.4269,10.8245,4.495,13.7739,9.3914,11.1295,3.3684,"2"
9.0996,7.4097,6.8992,11.3628,7.5495,9.6608,8.5637,"1"
8.9329,13.5035,12.1784,9.5795,10.4448,12.2744,-0.4146,"2"
8.3434,12.0186,13.1538,11.2394,9.9629,10.9664,5.1159,"2"
8.0363,13.483,10.4051,14.4949,9.9886,12.3577,4.824,"2"
7.6095,12.1408,13.6021,12.667,9.4858,11.6939,2.5159,"2"
8.2012,12.2749,8.7143,8.9276,9.4651,12.2083,1.701,"2"
9.0703,7.7153,8.8027,3.4286,7.2383,9.8368,2.6172,"1"
7.4496,13.0559,11.1075,5.8542,9.6359,12.9762,2.7682,"2"
6.7233,14.0098,13.7228,9.171,7.9591,10.3379,3.7095,"2"
8.0734,14.0217,14.6157,4.1446,10.8931,12.5246,0.816,"2"
9.2991,12.5402,13.6878,7.0608,11.0902,12.7891,3.267,"2"
6.9379,10.9442,8.8658,9.6694,10.3524,9.9531,2.7492,"2"
8.4829,7.2509,5.4812,2.9789,6.1696,7.9427,8.8624,"1"
6.5923,7.895,8.8766,12.0573,7.9057,11.4561,3.1297,"2"
8.2031,7.4147,5.8111,7.3296,5.2545,9.2672,11.5796,"1"
5.6899,12.2433,5.6429,11.0777,9.2358,12.6507,5.9483,"2"
7.3499,13.2485,10.7595,14.0369,10.1783,12.2621,1.8744,"2"
7.8288,10.2287,8.531,11.1267,9.051,11.265,6.9551,"1"
9.3658,6.2819,5.6632,3.6072,5.0434,8.7523,0.7577,"1"
7.9326,5.8987,6.7752,10.0185,8.2213,10.4149,5.8246,"1"
7.9344,7.3404,5.9518,13.9223,3.6039,8.948,4.9343,"1"
8.7145,11.8458,12.9648,12.0571,9.6186,12.7044,3.4363,"2"
7.5579,7.8375,6.2562,2.7349,3.1119,7.7249,9.9681,"1"
8.1215,14.1295,14.6779,15.5869,10.4802,13.929,1.4841,"2"
8.8958,7.9667,4.5939,3.4825,2.2896,7.9109,13.2827,"1"
5.3555,11.1843,12.6124,4.1656,9.2521,12.7331,2.2872,"2"
8.356,7.2503,4.976,1.7444,9.1944,11.2042,6.1705,"1"
8.0495,12.9698,8.7579,9.5622,10.0121,12.2626,1.4321,"2"
7.9271,11.7818,9.9181,4.8583,11.5135,11.2163,2.9005,"2"
9.3691,7.9329,7.0876,5.1984,7.1936,9.4619,10.6022,"1"
8.1785,10.8334,9.8341,13.3096,11.4182,12.8769,4.7159,"2"
8.512,12.0949,10.1617,3.8936,10.9122,11.248,2.7434,"2"
8.615,12.9905,8.2991,3.3287,11.5783,13.3934,1.8943,"2"
7.6096,12.652,10.355,12.0929,10.1083,11.6239,8.7336,"1"
7.7698,11.202,14.0049,12.9869,9.7199,12.1265,1.4228,"2"
8.0386,8.8311,5.7331,5.2329,9.2297,9.5934,7.4765,"1"
8.1997,8.0794,7.647,3.8115,7.0487,10.9837,2.6406,"1"
9.2597,8.1639,7.4808,6.5169,9.0755,10.5981,6.3434,"1"
8.4225,11.995,7.9622,14.1041,11.0155,12.9209,2.7467,"2"
7.8519,10.2914,12.5008,13.7124,10.4628,12.2946,6.5546,"2"
8.1741,10.0307,6.8735,5.3901,9.0994,10.3561,4.2245,"1"
9.0948,12.9166,11.231,8.4933,12.5607,13.6283,1.2579,"2"
8.6892,12.2656,12.0609,15.8537,10.8822,12.3058,4.9697,"2"
8.6738,11.8145,9.9181,9.4297,9.8277,11.3646,5.4411,"2"
8.3727,3.8104,3.5907,2.6986,6.3071,7.2423,7.4804,"1"
8.8031,12.5353,7.9438,7.9407,12.0597,12.9655,2.5081,"2"
9.2548,13.422,11.9917,5.7714,11.9369,12.9782,1.5728,"2"
8.7691,12.5867,10.0849,15.5693,12.4513,13.6062,5.4503,"2"
7.8698,11.8206,9.049,13.1214,10.2457,12.5998,6.9009,"2"
8.3444,9.17,6.0737,3.6845,10.5574,11.6962,7.8752,"1"
8.2161,7.0398,5.1177,3.8802,6.9195,8.976,9.051,"1"
9.8339,9.6024,11.4973,5.8774,10.904,13.0948,1.4502,"2"
8.7218,11.0475,5.4899,8.9028,9.9768,10.866,1.135,"2"
7.8849,12.7629,3.0643,7.6745,12.7286,14.3211,5.199,"2"
8.1872,12.8106,9.8656,9.2354,12.1614,13.7081,5.2731,"2"
9.4877,6.3992,2.4356,1.5279,6.8205,7.6085,5.4453,"1"
9.0395,7.5145,5.9063,5.02,7.4983,7.8995,10.5501,"1"
8.5836,12.3486,8.319,12.1536,10.6932,12.346,3.1645,"2"
8.6341,12.6635,14.507,9.4569,11.8087,14.4063,2.2442,"2"
8.9588,14.0632,6.4488,9.8368,10.9503,13.5991,4.0078,"2"
7.9948,12.1359,7.2043,12.5969,10.0584,12.5977,5.3496,"2"
