"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	25	90.7289548347381	54.8937949012017	52.2616846952124	52.2616846952124	12	25	500
2	1	12	91.3684984537908	51.3022112539575	55.6788884625729	55.6788884625729	15	15	15
3	1	20	93.1455781487017	50.8509027434377	57.3823016911199	57.3823016911199	15	15	15
4	1	18	91.0325339412887	47.5161245891184	57.7774882435836	57.7774882435836	18	18	18
5	1	20	94.5908662657601	47.0524860342268	59.9698469753613	59.9698469753613	16	14	14
6	1	20	94.5908662657601	47.0524860342268	59.9698469753613	58.5408001199972	16	14	16
7	1	20	94.5908662657601	47.0524860342268	59.9698469753613	58.5408001199972	16	14	16
8	1	20	94.5908662657601	47.0524860342268	59.9698469753613	58.9891371079727	16	14	14
9	1	20	94.5908662657601	47.0524860342268	59.9698469753613	58.9891371079727	15	14	14
10	1	20	94.5908662657601	47.0524860342268	59.9698469753613	58.7592497252726	15	14	14
11	1	20	94.5908662657601	47.0524860342268	59.9698469753613	59.8735765816432	14	14	15
12	1	15	95.3548879746775	49.251260857545	60.1452833807266	60.1452833807266	13	13	13
13	1	15	95.3548879746775	49.251260857545	60.1452833807266	60.1452833807266	13	13	13
14	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.9861571681516	13	13	13
15	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.9861571681516	9	13	13
16	1	15	94.7607843021634	46.0072229406728	60.9861571681516	59.1368060585155	15	13	14
17	1	15	94.7607843021634	46.0072229406728	60.9861571681516	59.8800932135602	14	13	15
18	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.1117144492812	13	13	13
19	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.1117144492812	13	13	13
20	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.1117144492812	17	13	13
21	1	15	94.7607843021634	46.0072229406728	60.9861571681516	59.9698469753613	14	13	14
22	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.5268387989193	13	13	13
23	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.9861571681516	13	13	13
24	1	15	94.7607843021634	46.0072229406728	60.9861571681516	60.9861571681516	13	13	26
25	1	14	95.7977082117615	45.9478297164632	61.8463628572969	61.8463628572969	12	11	11
26	1	14	95.7977082117615	45.9478297164632	61.8463628572969	60.7761082539453	12	11	13
27	1	14	95.7977082117615	45.9478297164632	61.8463628572969	61.7260366945908	11	11	11
28	1	14	95.7977082117615	45.9478297164632	61.8463628572969	61.7260366945908	10	11	11
29	1	14	95.7977082117615	45.9478297164632	61.8463628572969	60.879395617239	13	11	13
30	1	14	95.7977082117615	45.9478297164632	61.8463628572969	61.7260366945908	12	11	11
31	1	14	95.7977082117615	45.9478297164632	61.8463628572969	60.6576147683133	16	11	16
32	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	12	12	12
33	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	12	12	12
34	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	12	12	12
35	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	13	12	12
36	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.7260366945908	10	12	11
37	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.0806930347792	13	12	15
38	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.2033673920743	11	12	12
39	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.7260366945908	10	12	11
40	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.2371223198607	15	12	15
41	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	12	12	12
42	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	12	12	12
43	1	12	93.9027905779441	46.5313365677367	62.0392198360424	62.0392198360424	8	12	12
44	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.7260366945908	11	12	11
45	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.7260366945908	13	12	11
46	1	12	93.9027905779441	46.5313365677367	62.0392198360424	60.2913550294702	12	12	14
47	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.0364517248242	15	12	15
48	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.0364517248242	15	12	15
49	1	12	93.9027905779441	46.5313365677367	62.0392198360424	61.7260366945908	11	12	11
50	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
51	1	13	95.8120379598406	48.2273901824608	62.2439178421578	61.2371223198607	14	13	15
52	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.0392198360424	12	13	12
53	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.0392198360424	12	13	12
54	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.0392198360424	13	13	25
55	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
56	1	13	95.8120379598406	48.2273901824608	62.2439178421578	61.7764916193999	13	13	14
57	1	13	95.8120379598406	48.2273901824608	62.2439178421578	60.879395617239	14	13	14
58	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
59	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
60	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
61	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
62	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
63	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
64	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	13
65	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	11	13	39
66	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	26
67	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	26
68	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	39
69	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	39
70	1	13	95.8120379598406	48.2273901824608	62.2439178421578	62.2439178421578	13	13	39
71	1	10	94.4709412882437	46.3875885848846	62.5659564567636	62.5659564567636	13	12	12
72	1	10	94.4709412882437	46.3875885848846	62.5659564567636	62.2439178421578	13	12	38
73	1	10	94.4709412882437	46.3875885848846	62.5659564567636	62.2439178421578	13	12	38
