"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","177_at","179_at","1861_at","200000_s_at","200001_at","200002_at","200003_s_at","200004_at","200005_at","200006_at","201983_s_at","202018_s_at","202088_at","202089_s_at","203256_at","203628_at","203963_at","204508_s_at","204623_at","204863_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205472_s_at","205696_s_at","205862_at","205916_at","206378_at","206754_s_at","206799_at","207038_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210096_at","210735_s_at","211000_s_at","211233_x_at","212148_at","212195_at","212496_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","214552_s_at","215552_s_at","215729_s_at","215867_x_at","217528_at","217838_s_at","218195_at","218259_at","218807_at","220414_at","221765_at","39549_at"
12.3446,7.0781,7.5017,10.6764,6.4327,9.2305,8.1481,6.1196,4.2718,7.1375,8.5984,8.9272,9.0705,10.3643,10.1083,8.8569,7.8693,7.1569,10.5507,8.4719,10.5182,11.665,13.7219,14.0327,12.6354,11.3591,13.1416,6.8644,12.6107,14.9541,14.0631,5.4864,9.4326,12.4052,9.8038,12.6644,10.5781,14.3747,3.0068,13.8754,10.5785,7.7222,9.0616,10.0742,10.742,10.2362,11.4867,7.931,10.1496,8.5889,13.2041,9.7194,11.9413,11.979,15.0625,7.2,11.362,10.6617,8.7804,12.0773,12.7926,10.6425,13.5201,11.4301,7.5478,12.7392,14.4201,9.9075,9.2961,1.9565,12.5744,3.5263,11.7325,10.4582,10.6457,12.5435,6.7228,10.5778,5.4232
12.0376,7.6011,7.3458,10.5366,6.5568,9.118,8.3105,7.1575,8.454,6.6935,8.5378,8.8336,8.7718,11.4333,9.9977,9.2162,7.8673,7.3035,9.9391,8.1788,10.5693,11.7041,14.0613,14.168,12.073,11.9147,12.9145,9.584,10.4859,13.8916,12.7077,8.4929,9.8046,10.4033,7.9689,10.0711,9.9332,11.2149,3.3895,11.7217,8.5134,6.5022,7.7288,7.3888,7.2735,13.2355,7.4297,10.6196,7.1306,7.0887,11.3631,5.8991,11.0319,10.8744,14.4978,8.832,9.5434,9.8946,5.7693,10.7194,11.7735,9.8266,12.548,10.2569,5.0501,10.9092,9.4904,9.6027,8.1732,5.3426,11.0575,4.7839,10.1952,9.6734,10.2625,10.8753,6.417,8.3228,5.8324
10.9684,7.4696,8.3759,11.1175,7.0579,9.3514,8.1214,7.7247,9.9479,7.7319,8.289,9.4868,9.9207,11.6336,10.142,7.0177,7.5146,7.1741,11.1995,8.4169,9.3242,12.3207,12.9784,13.972,12.1004,11.201,12.953,9.0904,10.4973,11.1969,10.1126,5.7603,7.9079,9.8307,7.6789,8.6975,10.1938,9.8209,4.9401,10.996,9.3702,5.8109,7.156,4.4202,3.3757,9.5032,5.9013,6.2148,5.5464,5.7342,11.18,6.6629,8.8487,8.0211,12.4583,7.9067,9.231,9.4886,5.6723,10.55,11.2755,9.0531,11.2917,9.3181,5.0025,10.6696,9.912,8.5673,6.9931,5.3609,11.0769,7.2725,9.5668,8.3681,9.6796,10.182,7.3963,8.129,5.1314
12.1004,7.9643,6.7908,10.7172,6.8571,9.1938,7.6762,6.6899,6.2971,4.7757,8.1686,8.6933,8.9694,10.3949,9.8092,8.6942,7.9492,7.8058,10.108,8.5781,9.9837,11.9509,14.173,14.6216,12.6215,11.6702,13.2168,6.0889,14.1718,15.0357,14.4526,6.3701,9.2162,11.6533,9.2192,10.6827,10.8436,11.943,5.2692,13.1709,9.7985,8.0776,10.4775,8.284,3.8626,8.8903,10.7619,4.1386,7.9322,9.2872,12.8009,10.6123,12.0444,12.1921,15.2538,7.825,10.5688,10.8449,8.0329,11.3882,12.846,10.2619,13.9589,11.865,4.8609,12.1329,14.8715,10.1451,8.3056,1.434,12.1168,6.2067,12.0414,10.5671,10.9244,12.3157,9.3167,9.71,5.439
11.5133,7.6576,9.9053,11.3643,7.2523,8.7346,8.316,6.9291,9.5212,6.8443,6.5189,9.1698,9.279,10.7918,10.5011,8.9555,7.7428,7.0722,10.9548,7.806,9.7796,11.2313,12.3703,14.0409,12.3873,10.6342,12.2675,5.4924,5.8746,12.8315,11.3177,5.6569,13.8186,10.2096,6.5448,11.8085,8.8359,13.4882,3.3665,11.3564,9.2064,4.7652,8.6446,9.0296,3.9034,5.6884,9.2022,4.0249,6.9374,7.9937,11.2662,9.0275,9.6551,8.9641,12.94,6.5898,9.789,9.0339,7.2533,10.2009,10.1968,10.54,11.3302,9.6911,5.5283,11.1382,11.4963,8.2134,4.3463,2.5211,11.4462,3.6833,9.45,9.1301,9.4285,10.5136,7.4307,7.7186,3.3738
12.2191,8.1655,7.6081,10.1439,6.2725,8.9877,7.6478,7.4646,8.2761,4.1776,8.1477,9.6704,8.9129,9.925,8.9134,8.0277,7.21,7.1466,9.8718,8.4516,9.8058,12.3846,14.0149,14.6673,12.5122,12.3025,13.0737,6.1861,10.3325,12.7376,11.8003,8.0484,7.5056,9.851,7.6643,12.4722,8.8422,12.2014,4.4839,8.2567,5.5985,3.3955,6.6745,1.8421,15.6292,14.0282,5.4971,12.0994,9.6693,4.3313,11.7468,5.4755,9.7173,8.8958,13.0091,7.5801,8.2569,8.3363,5.6195,10.9797,10.4007,9.1279,10.8964,9.2078,9.0893,10.6727,7.9294,8.5826,6.3178,11.8167,10.5644,7.466,8.2017,8.2283,8.7418,10.0884,12.7445,7.7931,6.4937
11.4786,7.9101,8.9351,10.5833,6.7398,8.1581,8.1925,7.9064,7.4885,6.0111,7.1637,8.7352,8.8678,10.8993,9.2541,8.7806,7.4859,6.9034,10.2146,8.0351,9.7887,12.3391,13.1475,13.5787,12.9945,11.3231,13.2824,4.8935,3.8866,14.0802,13.3404,5.1003,9.906,12.3342,10.5147,14.0857,11.2715,12.4125,3.0947,11.7448,7.0701,4.6463,8.0934,10.0255,4.9348,8.7553,5.5528,9.5527,8.6258,10.0349,14.7718,9.926,9.7274,8.8227,12.9271,9.1384,11.2951,11.8646,6.9468,12.7867,13.3479,10.2576,13.9103,11.51,8.9715,13.092,13.4434,8.0539,7.6091,2.7961,13.0713,5.1135,10.416,9.4062,10.7025,8.2837,12.3442,8.4766,2.7939
10.7731,8.6648,7.8527,10.0992,5.592,9.4955,7.2504,7.2142,12.341,6.034,9.5541,8.7834,8.3108,10.9514,8.8478,8.6398,7.392,7.1291,9.9922,8.2086,10.3133,12.2605,13.3255,14.7987,13.1239,11.473,13.0848,8.4771,12.2471,10.6644,9.4315,10.6783,6.8747,7.5858,3.1546,7.605,8.3762,6.8619,6.0434,8.4923,4.8947,5.5032,6.2711,5.6106,10.7301,5.9833,5.2837,4.2954,5.9481,3.8607,7.3952,4.9525,6.8793,7.869,10.0815,6.4604,7.1807,7.7423,7.2343,8.7776,9.8327,8.815,7.2301,7.8274,4.0818,7.929,7.8756,8.2004,6.2736,2.2044,8.2609,5.8366,9.1789,8.003,9.2758,9.1848,10.627,8.7978,6.2997
10.9787,8.1352,7.8096,10.0614,5.4792,9.1926,7.0821,6.9506,13.0767,5.8335,5.8828,9.2705,8.3342,11.6859,8.9216,8.9966,6.8688,6.8647,10.0147,7.2595,9.8178,11.6136,13.9598,14.8247,12.4658,11.8416,12.8179,7.8121,12.0366,11.4217,9.539,11.7952,6.5804,7.0641,5.5439,7.1114,8.6036,6.217,6.7591,8.22,1.9134,2.9079,6.0501,5.0621,2.942,1.5373,4.4171,2.9022,6.5189,3.5282,8.1262,6.2653,6.5994,5.384,10.4132,3.9646,8.1798,8.2868,7.259,8.9666,10.1219,8.7528,9.6518,7.7955,3.683,8.2914,8.436,7.3977,5.8855,9.6897,8.1673,1.8787,10.7007,7.775,8.5532,8.2488,4.1954,8.222,7.8153
12.5782,7.6247,7.1587,10.8885,6.1926,9.0735,7.8207,7.23,7.3931,7.4102,8.1545,8.8525,9.4197,10.6699,9.8627,8.7943,7.9888,7.1933,11.1425,7.5632,9.0098,11.6804,12.6689,13.7708,12.6237,10.8579,12.6364,7.8336,10.5103,12.411,11.3787,7.0378,9.7756,11.1123,9.0901,12.6655,9.2162,11.2898,3.5545,13.3314,8.0771,9.5798,8.5107,8.1858,4.7942,13.2541,11.9617,11.0936,8.5697,7.6756,13.6097,10.8171,10.212,10.6131,14.2407,7.9959,9.9664,8.2683,7.4607,12.1988,10.0663,10.7602,12.8768,10.1426,8.5601,11.749,11.9719,8.8429,8.6397,3.5314,11.8937,4.3564,11.5475,11.4681,10.0656,12.4292,5.9247,9.5951,6.2795
11.8791,8.9005,7.5754,10.3995,6.27,8.3605,7.3417,6.8264,9.6931,5.5575,10.8538,8.305,8.4217,9.755,9.835,9.221,6.9497,7.0719,9.4082,8.1736,10.6258,11.0373,13.8703,14.2137,12.7777,11.4589,13.0803,8.139,9.3492,12.2204,11.5809,12.4415,8.2839,7.2156,3.8022,6.8558,8.2396,5.9648,9.7592,7.3225,11.6823,1.5811,6.0438,5.431,5.964,4.298,6.9641,3.3022,2.9392,4.2194,3.2267,4.7869,8.4469,7.8765,11.5877,4.4239,7.8667,7.9093,5.2209,10.2673,10.3472,8.9666,9.5513,7.8767,8.568,7.9435,8.3249,7.8431,5.7927,8.876,7.9949,3.9643,8.7102,7.0425,9.8304,9.5914,5.3514,6.939,3.7634
11.9716,7.647,9.4074,11.1072,7.8584,10.0372,8.6529,5.6754,10.1236,7.2111,8.4535,9.0212,9.657,11.445,10.3179,8.495,7.6994,5.2677,10.8444,8.5646,10.0057,11.784,13.1933,13.7889,11.8221,11.1035,12.3035,8.7474,12.2695,11.2508,10.2638,6.1568,9.0017,9.9232,7.5111,9.4232,8.802,8.7497,6.1564,10.5792,10.8164,4.5581,7.6756,6.793,6.425,14.0024,8.3146,12.6246,5.4483,4.2603,12.0077,6.2959,9.7867,9.942,13.5929,6.2341,9.7417,9.6292,7.8043,9.5295,11.3474,9.6543,10.8375,9.2186,5.7739,11.2051,10.6676,8.6025,6.3351,8.288,11.5012,8.5672,10.1793,8.2727,10.2059,10.1533,7.6076,8.1556,6.4125
11.961,8.9507,7.8502,12.5159,6.8427,8.7011,7.2018,6.7969,8.0565,5.867,7.289,9.6682,8.5469,10.5609,9.6969,8.2461,7.5652,6.7941,11.5675,8.6262,9.9508,12.2188,14.181,14.0831,12.2367,11.8772,13.3368,8.7562,4.7212,9.719,8.8827,5.8173,5.2418,7.5919,3.9454,8.6321,8.6059,6.6686,1.4616,10.5622,3.4729,3.019,6.6799,5.0019,8.5527,6.0815,5.2538,10.9172,4.0047,3.7342,9.6504,9.5265,3.0358,4.1991,8.6007,7.5065,8.1083,8.3807,6.1456,9.8503,10.3423,8.4074,9.0847,7.6056,8.4083,8.3261,9.5565,8.0305,7.0207,8.7505,8.5402,2.4727,9.1543,8.3991,8.1511,9.3176,4.3666,7.0596,4.2342
12.3903,8.0982,8.3035,10.5475,3.267,8.9163,7.1127,5.5099,7.2098,5.9611,7.6954,8.6572,14.4446,10.208,8.1342,8.8574,6.6137,7.282,10.4794,7.985,9.2816,12.7818,13.1631,14.2245,12.1664,11.4382,12.907,4.4243,8.6339,13.7908,12.8368,6.4084,9.4664,12.1442,9.7169,11.3298,10.2234,9.5026,3.1684,13.3712,6.1659,5.852,8.9283,5.8828,7.0115,13.6016,13.943,12.7042,8.165,4.391,12.2897,9.8668,10.2949,10.4073,13.8736,7.2482,11.2976,9.8675,8.3124,11.183,11.9108,9.0225,11.4833,9.7444,8.9007,12.5048,12.6625,9.1233,8.9072,2.9568,12.3636,6.2158,10.2576,10.3936,9.7113,11.7613,7.2358,7.0451,3.2103
11.707,7.8371,7.9844,10.1832,6.1602,9.4334,7.6083,5.839,7.765,7.2809,8.6306,8.6682,8.651,11.149,9.9483,9.2835,8.4686,7.8181,9.9275,8.3497,10.5912,12.0695,13.4394,14.4802,12.2785,11.536,12.9953,8.8351,12.7714,13.0917,12.3645,4.3859,9.48,11.5607,9.3821,10.1713,10.4944,10.1274,2.8214,12.4182,11.0031,4.587,7.9204,8.3146,4.1139,11.6865,8.0468,11.2098,8.2388,6.8467,11.8047,8.0787,10.6387,10.3235,13.9525,9.2705,10.3298,10.5568,7.4838,11.3219,12.4563,10.8382,13.0667,10.2834,7.3905,12.3616,13.5089,9.5689,8.1184,6.3008,12.1581,1.5143,10.7912,9.8032,10.7387,11.7116,6.6225,8.6007,5.6691
11.5398,8.3329,8.1751,10.1268,6.2704,8.3766,7.7473,6.7413,8.3489,6.1272,7.3158,9.3156,8.3208,9.873,8.8248,8.9852,6.739,7.739,10.3139,8.1141,9.8581,11.9355,14.2246,14.6574,12.7536,11.366,13.7953,9.4749,12.9482,10.6617,8.9872,10.5457,7.4912,7.8746,5.8315,8.7974,7.965,6.2929,14.3467,8.3408,2.5738,3.1991,6.6681,2.0689,15.1149,13.7742,5.7238,11.662,5.0325,2.2826,11.8799,5.1414,8.2451,7.6337,11.1446,6.714,7.1372,7.3274,5.5597,9.6779,8.987,9.5834,9.9522,8.4886,5.2514,8.8009,8.1739,7.9123,7.3879,6.3368,8.486,11.4254,8.3438,8.4823,9.4509,10.6896,10.0582,7.8693,7.5111
11.1113,8.3937,8.1448,11.3997,7.7993,9.1167,8.47,7.2533,7.2821,7.4128,8.6307,8.8531,9.7617,10.7954,9.5565,8.1191,7.8326,7.8359,10.8947,8.2356,8.1767,11.7692,13.9849,14.952,12.4306,11.2501,13.5266,7.6379,6.5018,14.2907,13.512,7.0868,9.6527,12.2552,9.8595,10.7816,10.0893,10.4731,3.4894,13.0582,11.9046,8.4026,10.1645,8.8679,4.4952,5.5063,9.045,5.1379,8.6235,7.7453,14.1781,6.2109,10.6249,10.7095,14.0451,9.6612,11.7014,9.7278,8.9414,10.1464,11.8962,10.213,13.1867,10.8359,8.5655,12.4874,11.6108,8.711,9.1867,3.5299,12.3287,3.704,10.0695,9.6369,10.4151,11.8855,5.6712,10.8509,3.9283
11.4986,6.841,8.4572,11.3217,7.2697,9.351,8.0053,6.741,10.0948,7.4189,8.7391,8.8688,9.6551,10.8396,10.4589,8.5804,5.4873,6.9995,10.934,8.4931,9.5363,11.53,13.442,14.2371,12.1261,10.878,12.5882,7.4714,14.0711,13.6903,12.7045,7.0359,8.4765,10.3641,8.5211,10.5285,9.9929,9.3566,6.3154,11.1112,12.118,5.4559,8.2787,6.4155,4.6247,9.9874,8.3567,8.082,8.0783,6.2733,12.1042,6.0855,10.7619,10.4716,14.2077,7.5555,9.7647,9.0994,7.9462,10.5601,10.9243,8.9471,12.6923,10.216,6.5161,11.1489,10.868,8.9368,7.872,4.7914,11.2978,7.3658,9.5477,10.7103,10.2696,11.0762,5.7833,10.5148,2.193
