"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","177_at","179_at","1861_at","200000_s_at","200001_at","200002_at","200003_s_at","200004_at","200005_at","200006_at","201983_s_at","202018_s_at","202088_at","202089_s_at","203256_at","203628_at","203963_at","204508_s_at","204623_at","204863_s_at","205009_at","205029_s_at","205225_at","205440_s_at","205472_s_at","205696_s_at","205862_at","205916_at","206378_at","206754_s_at","206799_at","207038_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210096_at","210735_s_at","211000_s_at","211233_x_at","212148_at","212195_at","212496_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","214552_s_at","215552_s_at","215729_s_at","215867_x_at","217528_at","217838_s_at","218195_at","218259_at","218807_at","220414_at","221765_at","39549_at"
12.444,8.3774,6.7866,10.2851,5.9064,8.3767,8.0356,6.6745,6.2325,6.845,7.5774,9.308,8.5992,10.6707,9.2059,9.3933,7.5473,6.7956,10.0408,8.7753,10.5827,11.7948,12.7895,13.436,12.6077,11.2388,13.0431,7.384,12.0685,14.6123,14.1629,6.3335,10.7755,12.0638,10.1763,12.6711,9.9978,13.285,2.9025,13.0759,8.6216,9.4848,11.6168,8.6098,13.7737,6.1826,12.4854,3.149,8.6291,7.476,12.9392,5.0127,11.1535,10.5793,14.3763,3.6653,11.5638,9.7316,8.6243,12.2299,12.0684,11.2178,13.36,10.8422,4.2884,12.6474,12.6295,9.8961,8.9322,2.9565,12.6194,8.2541,11.8757,11.0995,10.3963,11.712,5.8337,8.4652,3.1357
12.2005,7.8592,8.0963,10.4624,4.9582,9.2973,7.0581,6.4607,6.9047,5.8878,9.8562,8.8356,8.3173,10.0085,9.2157,9.2443,7.3025,6.684,10.4239,8.6387,9.8278,12.3121,13.2616,13.911,12.6356,11.5379,13.4008,5.7702,8.8828,14.9213,14.5094,4.136,9.841,11.3553,9.3275,14.7081,11.6873,14.4107,2.2747,13.7616,10.7598,7.7881,9.5737,8.0994,2.4868,15.2013,10.5188,14.9688,9.5709,3.5539,14.1501,4.8988,10.8437,10.5772,14.0214,6.9066,10.8918,11.2882,9.8059,11.132,13.0105,11.4706,13.2925,10.572,4.8678,11.7852,13.4492,8.6694,9.7896,1.5807,11.5534,4.1361,11.8462,11.6987,9.4142,11.2932,5.8261,9.1804,7.2846
12.6709,8.6762,7.4812,10.1887,5.2332,9.1721,8.6061,7.0932,6.594,5.6843,7.4038,9.5398,8.7748,9.9406,8.897,9.0806,7.0802,6.4462,9.9977,8.3935,10.1965,12.0276,12.8911,13.7039,12.8264,11.0158,12.4927,4.1164,9.7921,12.9683,11.7586,5.8238,9.4169,12.3832,9.92,15.3238,9.4441,14.7836,0.9203,12.736,7.7832,6.0649,7.26,7.6469,12.2814,12.9669,11.6232,11.6974,9.3182,7.2242,14.5585,7.8027,10.7019,11.1181,14.5222,6.3138,11.6213,8.6531,8.8004,12.655,10.6865,9.5889,12.3582,9.8482,8.3652,12.7464,12.3205,9.0867,8.5444,5.6368,12.7285,5.7803,12.0364,10.9932,10.2641,10.2407,12.4045,9.9421,4.7775
11.6619,8.2557,7.9923,10.7705,6.3296,9.3777,8.4776,6.5878,6.0877,6.5169,7.4714,8.8494,8.8505,10.512,9.4253,9.414,7.0293,6.9435,10.127,8.9416,10.1115,11.915,13.8565,14.9812,12.5834,11.1365,13.0773,5.9298,4.1139,12.8995,10.9894,6.2721,10.7668,10.9812,8.9128,14.0116,10.0412,12.0603,2.7532,13.8228,7.4413,6.2367,9.1864,9.0361,3.5359,5.8929,7.5591,3.9515,10.1055,4.4968,14.3163,7.577,11.6447,12.3437,14.9144,6.1376,9.7456,9.3832,9.1397,11.6885,12.1357,11.1413,13.1325,10.6942,8.9668,10.9562,8.7672,8.1349,9.1333,2.251,11.0454,5.6304,12.1382,10.7655,10.8369,8.7277,5.2269,11.6723,6.4645
11.8397,8.7971,7.8321,10.2869,5.8389,7.0841,7.3419,7.3167,6.3456,6.1708,6.7615,9.5443,8.5802,9.4923,8.5881,8.5444,7.5938,6.3481,10.3105,8.4122,9.3402,11.528,13.0948,13.711,13.0101,10.5995,13.104,11.4353,14.0249,12.502,11.5502,6.0571,6.2417,8.7607,4.8606,11.1875,7.8701,6.9898,13.4003,8.3607,3.6891,1.0779,5.4854,7.6014,4.2821,5.7849,14.788,3.4244,6.1483,8.1799,11.0182,6.6584,7.3628,7.7225,10.8821,3.7049,8.3891,7.4048,6.7178,10.2655,9.282,10.7317,10.8038,8.4035,5.3777,9.6913,9.8562,7.8996,6.9291,6.2959,9.8391,8.5026,7.6534,8.2721,9.412,9.431,12.7633,8.6269,5.8185
11.4081,8.3247,8.1169,10.8844,6.8532,9.4201,8.3028,6.8949,9.7756,6.4111,8.8939,8.716,8.9548,10.4357,9.9375,8.4872,7.1387,7.1142,10.1789,7.6499,9.9727,11.987,14,14.4432,12.6077,11.7665,12.7537,9.8128,11.3272,11.1754,9.8817,10.3489,8.1707,8.3969,4.5569,8.0023,8.1947,7.1037,3.9199,8.9998,6.7869,5.4226,6.2546,5.6895,11.6893,6.6871,7.6447,3.9217,4.4582,3.5565,5.4825,5.4803,8.1069,8.4591,12.2287,2.7313,8.259,8.3427,6.0146,9.3949,9.055,8.9381,8.3545,8.372,8.2788,8.7343,8.1629,7.6154,7.029,11.292,9.3945,6.5729,9.5579,7.9139,9.1956,10.4322,9.2574,6.9932,4.9743
12.5829,8.9015,6.6237,10.3222,6.313,8.5314,7.3125,4.1054,7.9978,5.6377,9.0028,8.8596,8.1327,9.9233,9.1738,8.4804,7.092,5.7688,9.7673,8.5096,10.1032,11.7323,13.161,13.6237,12.7999,10.6551,12.3812,4.8425,3.234,14.1768,13.4754,3.3557,11.3913,8.2397,6.4544,10.4338,9.7687,13.5421,2.6535,12.8445,8.8298,8.9719,8.9067,9.8265,10.9452,7.1346,10.5207,6.8241,9.5136,7.1557,13.7543,9.3985,10.3437,10.5914,13.3798,6.6707,7.8738,9.8925,9.3044,12.5682,12.0226,11.4085,13.433,10.9367,7.117,9.2602,9.6743,9.0221,9.1485,0.0799,9.2365,2.8934,10.1702,11.3075,10.4516,11.3518,6.8805,9.4039,2.2151
12.1237,8.7101,7.8795,10.6651,6.3526,8.2374,7.7251,5.5228,7.767,6.8468,9.4647,9.1667,8.7768,10.673,9.5315,9.9043,7.0234,7.5547,10.1812,8.192,9.5664,12.201,13.4131,14.1335,12.7704,11.4611,13.2822,8.9286,13.3624,11.4306,10.4048,11.2236,6.8459,9.4002,4.723,11.5747,7.7218,7.5852,6.6777,8.974,6.6494,3.2246,5.6929,6.0514,14.2029,15.2771,7.3345,12.6968,7.1903,4.2114,12.497,5.1489,7.5764,7.356,11.0112,7.902,8.6826,7.7882,5.2078,10.2657,9.6723,9.0794,10.0088,8.3818,4.4904,9.7714,8.5573,8.3517,7.7926,8.5529,10.1242,10.1369,8.2785,8.1801,9.5324,10.2316,12.8732,7.9864,6.3327
11.098,9.7493,6.7152,10.47,6.1595,8.0962,6.8715,6.9222,7.483,5.4643,10.8205,9.3896,8.0811,9.6419,9.9715,8.5169,7.257,6.4663,9.9543,8.1001,10.8607,11.4069,14.2014,13.8927,13.2444,10.9129,12.3928,10.6618,3.4094,11.5128,10.5191,8.7885,8.0509,6.9433,3.7788,5.195,6.9864,7.5176,5.414,7.0561,7.2961,2.6389,5.3717,0.6249,3.8242,2.3066,6.8551,2.9032,6.7795,3.9754,3.0703,4.6434,6.6175,6.6269,9.7734,2.8306,7.3029,7.3019,5.1401,9.8665,8.5528,8.9966,8.9243,7.6843,3.7225,7.4908,7.1961,8.3191,4.9085,9.357,8.4811,5.399,8.4605,8.3366,8.7241,10.6392,11.7232,8.2455,2.184
12.4537,7.5118,8.2514,10.8806,5.7161,8.3944,8.1207,7.2478,9.2592,7.0132,8.4017,9.3634,9.8401,10.3967,10.0787,6.9976,7.988,5.7626,11.9394,8.5253,8.9271,11.739,12.3046,13.6922,11.7306,11.1113,12.3205,6.7225,11.5573,12.9006,11.262,6.2689,10.2676,11.2113,8.4624,12.4901,8.3642,13.5271,7.2428,11.8396,10.4505,7.8754,7.3541,7.6694,13.3152,9.0507,12.5394,7.5681,8.3767,6.6261,13.5102,10.0736,10.1296,10.2397,14.1152,6.4482,10.0083,8.0986,6.4765,9.9578,9.6649,10.1429,11.8889,9.8482,6.3938,11.6491,13.2828,9.0261,8.095,3.1103,11.8321,3.42,10.7519,9.9185,10.2003,10.3461,8.3138,9.2967,5.8494
