"1007_s_at","1053_at","117_at","121_at","1316_at","1431_at","1438_at","1487_at","160020_at","1773_at","200000_s_at","200001_at","200002_at","200005_at","200006_at","201983_s_at","202088_at","203256_at","203628_at","203963_at","204508_s_at","204863_s_at","205029_s_at","205472_s_at","205696_s_at","205862_at","206754_s_at","207626_s_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211000_s_at","212148_at","212195_at","212956_at","213201_s_at","215552_s_at","215729_s_at","215867_x_at","217528_at","220414_at","221765_at","39549_at","Class"
12.3446,7.0781,7.5017,10.6764,8.1481,7.1375,8.5984,8.9272,10.1083,7.8693,10.5182,11.665,13.7219,11.3591,13.1416,6.8644,14.9541,5.4864,9.4326,12.4052,9.8038,10.5781,3.0068,7.7222,9.0616,10.0742,11.4867,8.5889,11.9413,11.979,15.0625,11.362,10.6617,12.0773,12.7926,13.5201,7.5478,9.2961,1.9565,12.5744,3.5263,6.7228,10.5778,5.4232,"2"
12.0376,7.6011,7.3458,10.5366,8.3105,6.6935,8.5378,8.8336,9.9977,7.8673,10.5693,11.7041,14.0613,11.9147,12.9145,9.584,13.8916,8.4929,9.8046,10.4033,7.9689,9.9332,3.3895,6.5022,7.7288,7.3888,7.4297,7.0887,11.0319,10.8744,14.4978,9.5434,9.8946,10.7194,11.7735,12.548,5.0501,8.1732,5.3426,11.0575,4.7839,6.417,8.3228,5.8324,"1"
10.9684,7.4696,8.3759,11.1175,8.1214,7.7319,8.289,9.4868,10.142,7.5146,9.3242,12.3207,12.9784,11.201,12.953,9.0904,11.1969,5.7603,7.9079,9.8307,7.6789,10.1938,4.9401,5.8109,7.156,4.4202,5.9013,5.7342,8.8487,8.0211,12.4583,9.231,9.4886,10.55,11.2755,11.2917,5.0025,6.9931,5.3609,11.0769,7.2725,7.3963,8.129,5.1314,"2"
12.1004,7.9643,6.7908,10.7172,7.6762,4.7757,8.1686,8.6933,9.8092,7.9492,9.9837,11.9509,14.173,11.6702,13.2168,6.0889,15.0357,6.3701,9.2162,11.6533,9.2192,10.8436,5.2692,8.0776,10.4775,8.284,10.7619,9.2872,12.0444,12.1921,15.2538,10.5688,10.8449,11.3882,12.846,13.9589,4.8609,8.3056,1.434,12.1168,6.2067,9.3167,9.71,5.439,"2"
11.5133,7.6576,9.9053,11.3643,8.316,6.8443,6.5189,9.1698,10.5011,7.7428,9.7796,11.2313,12.3703,10.6342,12.2675,5.4924,12.8315,5.6569,13.8186,10.2096,6.5448,8.8359,3.3665,4.7652,8.6446,9.0296,9.2022,7.9937,9.6551,8.9641,12.94,9.789,9.0339,10.2009,10.1968,11.3302,5.5283,4.3463,2.5211,11.4462,3.6833,7.4307,7.7186,3.3738,"2"
12.2191,8.1655,7.6081,10.1439,7.6478,4.1776,8.1477,9.6704,8.9134,7.21,9.8058,12.3846,14.0149,12.3025,13.0737,6.1861,12.7376,8.0484,7.5056,9.851,7.6643,8.8422,4.4839,3.3955,6.6745,1.8421,5.4971,4.3313,9.7173,8.8958,13.0091,8.2569,8.3363,10.9797,10.4007,10.8964,9.0893,6.3178,11.8167,10.5644,7.466,12.7445,7.7931,6.4937,"1"
11.4786,7.9101,8.9351,10.5833,8.1925,6.0111,7.1637,8.7352,9.2541,7.4859,9.7887,12.3391,13.1475,11.3231,13.2824,4.8935,14.0802,5.1003,9.906,12.3342,10.5147,11.2715,3.0947,4.6463,8.0934,10.0255,5.5528,10.0349,9.7274,8.8227,12.9271,11.2951,11.8646,12.7867,13.3479,13.9103,8.9715,7.6091,2.7961,13.0713,5.1135,12.3442,8.4766,2.7939,"2"
10.7731,8.6648,7.8527,10.0992,7.2504,6.034,9.5541,8.7834,8.8478,7.392,10.3133,12.2605,13.3255,11.473,13.0848,8.4771,10.6644,10.6783,6.8747,7.5858,3.1546,8.3762,6.0434,5.5032,6.2711,5.6106,5.2837,3.8607,6.8793,7.869,10.0815,7.1807,7.7423,8.7776,9.8327,7.2301,4.0818,6.2736,2.2044,8.2609,5.8366,10.627,8.7978,6.2997,"2"
10.9787,8.1352,7.8096,10.0614,7.0821,5.8335,5.8828,9.2705,8.9216,6.8688,9.8178,11.6136,13.9598,11.8416,12.8179,7.8121,11.4217,11.7952,6.5804,7.0641,5.5439,8.6036,6.7591,2.9079,6.0501,5.0621,4.4171,3.5282,6.5994,5.384,10.4132,8.1798,8.2868,8.9666,10.1219,9.6518,3.683,5.8855,9.6897,8.1673,1.8787,4.1954,8.222,7.8153,"1"
12.5782,7.6247,7.1587,10.8885,7.8207,7.4102,8.1545,8.8525,9.8627,7.9888,9.0098,11.6804,12.6689,10.8579,12.6364,7.8336,12.411,7.0378,9.7756,11.1123,9.0901,9.2162,3.5545,9.5798,8.5107,8.1858,11.9617,7.6756,10.212,10.6131,14.2407,9.9664,8.2683,12.1988,10.0663,12.8768,8.5601,8.6397,3.5314,11.8937,4.3564,5.9247,9.5951,6.2795,"2"
11.8791,8.9005,7.5754,10.3995,7.3417,5.5575,10.8538,8.305,9.835,6.9497,10.6258,11.0373,13.8703,11.4589,13.0803,8.139,12.2204,12.4415,8.2839,7.2156,3.8022,8.2396,9.7592,1.5811,6.0438,5.431,6.9641,4.2194,8.4469,7.8765,11.5877,7.8667,7.9093,10.2673,10.3472,9.5513,8.568,5.7927,8.876,7.9949,3.9643,5.3514,6.939,3.7634,"1"
11.9716,7.647,9.4074,11.1072,8.6529,7.2111,8.4535,9.0212,10.3179,7.6994,10.0057,11.784,13.1933,11.1035,12.3035,8.7474,11.2508,6.1568,9.0017,9.9232,7.5111,8.802,6.1564,4.5581,7.6756,6.793,8.3146,4.2603,9.7867,9.942,13.5929,9.7417,9.6292,9.5295,11.3474,10.8375,5.7739,6.3351,8.288,11.5012,8.5672,7.6076,8.1556,6.4125,"2"
11.961,8.9507,7.8502,12.5159,7.2018,5.867,7.289,9.6682,9.6969,7.5652,9.9508,12.2188,14.181,11.8772,13.3368,8.7562,9.719,5.8173,5.2418,7.5919,3.9454,8.6059,1.4616,3.019,6.6799,5.0019,5.2538,3.7342,3.0358,4.1991,8.6007,8.1083,8.3807,9.8503,10.3423,9.0847,8.4083,7.0207,8.7505,8.5402,2.4727,4.3666,7.0596,4.2342,"2"
12.3903,8.0982,8.3035,10.5475,7.1127,5.9611,7.6954,8.6572,8.1342,6.6137,9.2816,12.7818,13.1631,11.4382,12.907,4.4243,13.7908,6.4084,9.4664,12.1442,9.7169,10.2234,3.1684,5.852,8.9283,5.8828,13.943,4.391,10.2949,10.4073,13.8736,11.2976,9.8675,11.183,11.9108,11.4833,8.9007,8.9072,2.9568,12.3636,6.2158,7.2358,7.0451,3.2103,"2"
11.707,7.8371,7.9844,10.1832,7.6083,7.2809,8.6306,8.6682,9.9483,8.4686,10.5912,12.0695,13.4394,11.536,12.9953,8.8351,13.0917,4.3859,9.48,11.5607,9.3821,10.4944,2.8214,4.587,7.9204,8.3146,8.0468,6.8467,10.6387,10.3235,13.9525,10.3298,10.5568,11.3219,12.4563,13.0667,7.3905,8.1184,6.3008,12.1581,1.5143,6.6225,8.6007,5.6691,"2"
11.5398,8.3329,8.1751,10.1268,7.7473,6.1272,7.3158,9.3156,8.8248,6.739,9.8581,11.9355,14.2246,11.366,13.7953,9.4749,10.6617,10.5457,7.4912,7.8746,5.8315,7.965,14.3467,3.1991,6.6681,2.0689,5.7238,2.2826,8.2451,7.6337,11.1446,7.1372,7.3274,9.6779,8.987,9.9522,5.2514,7.3879,6.3368,8.486,11.4254,10.0582,7.8693,7.5111,"1"
11.1113,8.3937,8.1448,11.3997,8.47,7.4128,8.6307,8.8531,9.5565,7.8326,8.1767,11.7692,13.9849,11.2501,13.5266,7.6379,14.2907,7.0868,9.6527,12.2552,9.8595,10.0893,3.4894,8.4026,10.1645,8.8679,9.045,7.7453,10.6249,10.7095,14.0451,11.7014,9.7278,10.1464,11.8962,13.1867,8.5655,9.1867,3.5299,12.3287,3.704,5.6712,10.8509,3.9283,"2"
11.4986,6.841,8.4572,11.3217,8.0053,7.4189,8.7391,8.8688,10.4589,5.4873,9.5363,11.53,13.442,10.878,12.5882,7.4714,13.6903,7.0359,8.4765,10.3641,8.5211,9.9929,6.3154,5.4559,8.2787,6.4155,8.3567,6.2733,10.7619,10.4716,14.2077,9.7647,9.0994,10.5601,10.9243,12.6923,6.5161,7.872,4.7914,11.2978,7.3658,5.7833,10.5148,2.193,"2"
12.2528,8.6071,7.4646,10.6053,7.104,6.149,7.2871,9.4115,9.2333,6.7707,9.4187,11.4843,12.5546,10.4889,13.2237,9.3609,11.6744,11.2047,5.8185,9.1563,7.4136,7.4085,11.8964,3.0225,5.9541,6.9568,7.5195,4.3705,8.8358,8.3591,11.8983,8.1442,6.7106,9.5001,9.2125,11.046,4.212,7.1052,9.2198,10.269,10.5576,13.9885,7.7375,6.3757,"2"
10.2911,5.7879,8.5336,11.6995,8.9861,7.5353,7.9248,9.0243,10.639,7.8199,10.5334,11.0756,14.2022,11.8452,12.4291,6.3052,12.6162,5.6587,6.7312,9.7647,5.8756,9.5758,4.4416,5.0968,6.9549,3.802,8.2209,5.7241,8.6016,8.3425,12.0589,9.129,9.5113,8.1169,10.6369,10.4459,5.6907,8.0167,3.1912,10.473,6.7874,6.4715,8.5004,3.5423,"2"
11.8509,8.7986,7.6671,10.6416,7.1824,6.0187,8.441,9.2792,9.3963,7.313,10.0799,12.2004,13.7371,11.1983,13.1206,11.2328,11.63,11.4899,6.5279,8.5081,3.5539,7.5143,11.3565,2.9244,4.5812,5.6521,4.8825,6.4954,8.2769,7.8074,11.6384,7.7571,7.2258,8.8201,8.2386,10.7341,6.7862,5.8928,8.1825,8.864,7.7905,10.9704,7.4437,5.7942,"2"
12.1978,8.8164,8.9842,10.5874,7.7544,6.9372,8.0925,9.1405,9.3907,7.1772,9.8427,12.5206,13.538,10.341,12.9284,9.2392,11.5562,11.831,7.3048,9.4466,5.0213,8.067,3.335,4.9403,5.7546,5.4735,8.0147,6.4645,7.8013,7.9237,11.3765,8.9674,8.336,11.8922,9.4741,9.7123,4.9857,4.8191,8.7423,9.9293,6.09,8.2077,7.2979,6.5989,"1"
