"1007_s_at","1053_at","117_at","121_at","1316_at","1431_at","1438_at","1487_at","160020_at","1773_at","200000_s_at","200001_at","200002_at","200005_at","200006_at","201983_s_at","202088_at","203256_at","203628_at","203963_at","204508_s_at","204863_s_at","205029_s_at","205472_s_at","205696_s_at","205862_at","206754_s_at","207626_s_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211000_s_at","212148_at","212195_at","212956_at","213201_s_at","215552_s_at","215729_s_at","215867_x_at","217528_at","220414_at","221765_at","39549_at","Class"
12.444,8.3774,6.7866,10.2851,8.0356,6.845,7.5774,9.308,9.2059,7.5473,10.5827,11.7948,12.7895,11.2388,13.0431,7.384,14.6123,6.3335,10.7755,12.0638,10.1763,9.9978,2.9025,9.4848,11.6168,8.6098,12.4854,7.476,11.1535,10.5793,14.3763,11.5638,9.7316,12.2299,12.0684,13.36,4.2884,8.9322,2.9565,12.6194,8.2541,5.8337,8.4652,3.1357,"2"
12.2005,7.8592,8.0963,10.4624,7.0581,5.8878,9.8562,8.8356,9.2157,7.3025,9.8278,12.3121,13.2616,11.5379,13.4008,5.7702,14.9213,4.136,9.841,11.3553,9.3275,11.6873,2.2747,7.7881,9.5737,8.0994,10.5188,3.5539,10.8437,10.5772,14.0214,10.8918,11.2882,11.132,13.0105,13.2925,4.8678,9.7896,1.5807,11.5534,4.1361,5.8261,9.1804,7.2846,"2"
12.6709,8.6762,7.4812,10.1887,8.6061,5.6843,7.4038,9.5398,8.897,7.0802,10.1965,12.0276,12.8911,11.0158,12.4927,4.1164,12.9683,5.8238,9.4169,12.3832,9.92,9.4441,0.9203,6.0649,7.26,7.6469,11.6232,7.2242,10.7019,11.1181,14.5222,11.6213,8.6531,12.655,10.6865,12.3582,8.3652,8.5444,5.6368,12.7285,5.7803,12.4045,9.9421,4.7775,"2"
11.6619,8.2557,7.9923,10.7705,8.4776,6.5169,7.4714,8.8494,9.4253,7.0293,10.1115,11.915,13.8565,11.1365,13.0773,5.9298,12.8995,6.2721,10.7668,10.9812,8.9128,10.0412,2.7532,6.2367,9.1864,9.0361,7.5591,4.4968,11.6447,12.3437,14.9144,9.7456,9.3832,11.6885,12.1357,13.1325,8.9668,9.1333,2.251,11.0454,5.6304,5.2269,11.6723,6.4645,"2"
11.8397,8.7971,7.8321,10.2869,7.3419,6.1708,6.7615,9.5443,8.5881,7.5938,9.3402,11.528,13.0948,10.5995,13.104,11.4353,12.502,6.0571,6.2417,8.7607,4.8606,7.8701,13.4003,1.0779,5.4854,7.6014,14.788,8.1799,7.3628,7.7225,10.8821,8.3891,7.4048,10.2655,9.282,10.8038,5.3777,6.9291,6.2959,9.8391,8.5026,12.7633,8.6269,5.8185,"1"
11.4081,8.3247,8.1169,10.8844,8.3028,6.4111,8.8939,8.716,9.9375,7.1387,9.9727,11.987,14,11.7665,12.7537,9.8128,11.1754,10.3489,8.1707,8.3969,4.5569,8.1947,3.9199,5.4226,6.2546,5.6895,7.6447,3.5565,8.1069,8.4591,12.2287,8.259,8.3427,9.3949,9.055,8.3545,8.2788,7.029,11.292,9.3945,6.5729,9.2574,6.9932,4.9743,"1"
12.5829,8.9015,6.6237,10.3222,7.3125,5.6377,9.0028,8.8596,9.1738,7.092,10.1032,11.7323,13.161,10.6551,12.3812,4.8425,14.1768,3.3557,11.3913,8.2397,6.4544,9.7687,2.6535,8.9719,8.9067,9.8265,10.5207,7.1557,10.3437,10.5914,13.3798,7.8738,9.8925,12.5682,12.0226,13.433,7.117,9.1485,0.0799,9.2365,2.8934,6.8805,9.4039,2.2151,"2"
12.1237,8.7101,7.8795,10.6651,7.7251,6.8468,9.4647,9.1667,9.5315,7.0234,9.5664,12.201,13.4131,11.4611,13.2822,8.9286,11.4306,11.2236,6.8459,9.4002,4.723,7.7218,6.6777,3.2246,5.6929,6.0514,7.3345,4.2114,7.5764,7.356,11.0112,8.6826,7.7882,10.2657,9.6723,10.0088,4.4904,7.7926,8.5529,10.1242,10.1369,12.8732,7.9864,6.3327,"1"
11.098,9.7493,6.7152,10.47,6.8715,5.4643,10.8205,9.3896,9.9715,7.257,10.8607,11.4069,14.2014,10.9129,12.3928,10.6618,11.5128,8.7885,8.0509,6.9433,3.7788,6.9864,5.414,2.6389,5.3717,0.6249,6.8551,3.9754,6.6175,6.6269,9.7734,7.3029,7.3019,9.8665,8.5528,8.9243,3.7225,4.9085,9.357,8.4811,5.399,11.7232,8.2455,2.184,"1"
12.4537,7.5118,8.2514,10.8806,8.1207,7.0132,8.4017,9.3634,10.0787,7.988,8.9271,11.739,12.3046,11.1113,12.3205,6.7225,12.9006,6.2689,10.2676,11.2113,8.4624,8.3642,7.2428,7.8754,7.3541,7.6694,12.5394,6.6261,10.1296,10.2397,14.1152,10.0083,8.0986,9.9578,9.6649,11.8889,6.3938,8.095,3.1103,11.8321,3.42,8.3138,9.2967,5.8494,"2"
