"205225_at","209603_at","209604_s_at"
13.8754,11.979,15.0625
11.7217,10.8744,14.4978
10.996,8.0211,12.4583
13.1709,12.1921,15.2538
11.3564,8.9641,12.94
8.2567,8.8958,13.0091
11.7448,8.8227,12.9271
8.4923,7.869,10.0815
8.22,5.384,10.4132
13.3314,10.6131,14.2407
7.3225,7.8765,11.5877
10.5792,9.942,13.5929
10.5622,4.1991,8.6007
13.3712,10.4073,13.8736
12.4182,10.3235,13.9525
8.3408,7.6337,11.1446
13.0582,10.7095,14.0451
11.1112,10.4716,14.2077
8.3414,8.3591,11.8983
10.9402,8.3425,12.0589
8.4434,7.8074,11.6384
8.7318,7.9237,11.3765
8.3963,8.2396,11.8763
12.5963,10.448,14.3791
11.8094,11.5412,14.6664
9.5325,8.5502,11.2533
13.2295,11.2723,14.6063
9.8211,8.0455,11.8927
8.0818,3.262,9.0602
8.2941,6.7032,9.8569
10.7936,9.9565,13.3907
10.5265,8.3648,11.6264
10.9363,9.4729,13.6854
12.3623,11.2154,14.3026
7.7249,6.819,10.0601
8.8049,8.2934,12.4318
10.9305,10.2029,14.2924
7.6342,8.1925,11.803
12.3505,11.2649,14.2572
5.6522,8.8613,11.6091
8.8267,8.69,12.2612
13.2534,10.7143,14.4516
8.2067,6.3456,9.323
11.2609,10.454,13.8873
13.2832,12.1875,15.0499
11.7827,9.8295,12.857
8.3335,6.7513,10.9505
8.3603,8.5707,12.9642
8.9474,7.8886,11.1661
7.5993,4.2335,8.4591
12.0116,10.985,14.4863
13.5384,10.4355,14.0091
10.3875,9.0036,12.7246
11.8833,10.3411,14.1508
12.7416,10.6374,13.903
8.3177,8.07,11.9822
7.5472,6.4117,10.0502
8.1155,6.8301,10.4376
7.6352,4.5568,8.647
12.7813,11.0723,14.6049
8.1508,6.0447,9.2359
13.5231,11.3949,14.6885
10.1043,9.5043,13.4794
12.7246,12.7051,14.8864
8.3319,9.3373,12.9919
10.8645,9.5157,14.0646
8.744,5.7116,10.9437
12.8959,12.5287,14.8459
9.0738,7.8664,11.9892
8.9677,7.5786,9.7365
12.9696,11.8311,14.639
12.6311,11.2871,14.6195
13.8544,10.8398,14.0292
13.5618,10.7851,14.4498
7.8646,5.5279,10.3847
11.5611,10.2249,13.9413
12.3547,10.4605,14.3246
7.3536,8.0759,11.2951
8.1917,5.7232,10.5017
13.2489,9.9662,13.7316
8.9833,8.1141,11.9141
13.0124,12.5177,15.222
8.5951,7.9319,11.3661
13.0147,10.8802,14.1921
12.4514,11.7911,14.4429
13.1648,11.4665,14.8381
7.2934,6.9991,10.9706
11.514,11.5206,14.6411
10.5752,9.374,13.0389
12.9474,11.0125,14.4864
12.5366,10.4784,13.9689
12.2221,10.0836,13.8432
13.6248,11.1768,14.191
11.4629,10.2244,13.8913
12.0708,9.932,13.8067
11.3971,10.9843,14.3569
13.2511,10.7429,14.808
12.1679,11.1496,14.0629
11.8665,10.415,14.0113
12.3368,9.9737,13.6365
