"205225_at","209603_at","209604_s_at"
13.0759,10.5793,14.3763
13.7616,10.5772,14.0214
12.736,11.1181,14.5222
13.8228,12.3437,14.9144
8.3607,7.7225,10.8821
8.9998,8.4591,12.2287
12.8445,10.5914,13.3798
8.974,7.356,11.0112
7.0561,6.6269,9.7734
11.8396,10.2397,14.1152
12.4562,10.0288,14.088
12.2024,10.9478,14.6333
7.987,8.886,13.2361
10.1026,10.1557,14.1058
8.0999,9.0275,12.722
8.5567,8.4549,12.5708
10.7157,8.9255,12.6522
8.5834,8.068,10.8359
12.8623,11.4367,14.664
13.764,10.3884,14.508
11.444,10.9906,14.3534
7.4728,10.4111,13.6927
8.4135,7.4519,10.2794
6.8669,7.9928,11.3702
14.2366,11.508,14.4045
13.7238,11.5596,14.3113
11.4232,11.7166,14.7897
11.3391,8.9839,13.169
8.4676,7.8222,12.1343
7.6136,7.5922,11.4554
8.4559,6.7856,10.1851
7.8963,7.3408,10.699
8.15,8.4789,12.1241
12.7341,11.1457,14.3155
12.9117,10.9915,14.9286
13.8611,11.4351,14.3454
11.6071,11.157,14.4465
12.9999,11.0987,14.404
14.1548,11.3986,14.3343
11.7896,10.7427,14.2872
13.1663,12.036,14.4551
7.4166,7.7591,11.528
8.6856,5.3853,9.4435
12.0832,10.4631,14.7315
8.1952,7.2157,11.3759
10.719,9.6384,14.1977
12.9374,12.2846,14.8685
12.5191,11.2264,14.8729
3.6784,7.164,11.1143
12.0389,11.0791,14.2505
8.2599,7.8118,11.6584
13.6226,10.6735,13.9018
10.8245,9.0168,12.9159
7.4097,8.0759,12.7958
13.5035,10.629,13.7334
12.0186,10.7869,14.2651
13.483,11.1849,14.5038
12.1408,10.725,14.5693
12.2749,10.7588,13.8295
7.7153,7.6964,11.0267
13.0559,10.9914,14.3148
14.0098,9.569,13.8379
14.0217,11.3047,14.4673
12.5402,11.802,14.3213
10.9442,11.272,14.8717
7.2509,7.3315,10.5023
7.895,8.0909,11.6816
7.4147,7.3256,9.708
12.2433,10.5622,14.9933
13.2485,11.2837,14.936
10.2287,10.0573,13.3445
6.2819,3.7156,8.305
5.8987,9.2016,12.8519
7.3404,5.1312,10.5326
11.8458,10.78,14.1947
7.8375,6.9875,9.724
14.1295,11.9385,14.996
7.9667,4.6863,7.3236
11.1843,10.4262,14.627
7.2503,10.7034,13.8973
12.9698,11.411,14.4276
11.7818,11.0567,14.5758
7.9329,7.2876,10.2403
10.8334,11.3628,14.2774
12.0949,11.0086,14.3484
12.9905,11.2769,14.4267
12.652,10.3587,13.9074
11.202,9.6543,13.6494
8.8311,8.9991,12.9684
8.0794,6.966,9.7665
8.1639,7.8156,12.6122
11.995,10.9685,14.3931
10.2914,9.8598,13.7352
10.0307,9.2359,12.7592
12.9166,12.0863,14.9263
12.2656,10.3972,14.1932
11.8145,10.003,13.2399
3.8104,7.1924,9.582
12.5353,11.7446,14.956
13.422,11.5473,14.674
12.5867,11.8294,14.9417
11.8206,9.5336,13.671
9.17,10.0765,13.839
7.0398,6.457,9.9527
9.6024,9.9781,14.0026
11.0475,9.5281,13.3156
12.7629,12.4544,15.2349
12.8106,11.9442,14.9183
6.3992,6.7758,10.0017
7.5145,4.6637,10.3415
12.3486,10.8329,14.0905
12.6635,12.2991,15.0195
14.0632,10.476,13.773
12.1359,9.3952,13.6573
10.2524,9.4884,13.186
12.9502,11.1543,14.7152
8.3734,7.668,11.7681
12.3648,10.2034,14.2836
12.4009,12.0558,15.0045
9.3602,8.2222,11.7642
12.5568,9.9061,14.0287
11.5745,10.3189,14.4412
11.3717,10.5788,14.1005
11.1494,10.5111,14.2047
12.1828,11.2168,14.7614
14.7744,11.4996,14.8724
13.3059,11.5555,15.1204
12.3296,9.9595,13.769
7.7434,8.1615,11.264
14.6833,11.4715,15.1746
