"201555_at","202683_s_at","203139_at","204825_at","205751_at","206401_s_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
9.9499,8.8732,8.814,7.9851,5.445,10.6463,8.8319,7.6049,9.2348,10.6963,"2"
9.6616,8.5511,8.7652,5.2744,6.3482,8.2532,9.8519,8.9154,10.1938,9.378,"1"
9.4638,8.5826,9.4426,5.9481,6.0619,7.4477,9.3521,9.1121,8.4931,9.384,"2"
9.6843,8.7651,8.3725,7.2743,6.4097,10.3491,9.0844,4.9278,10.5216,10.1166,"2"
9.5383,8.885,9.6763,7.7976,7.7306,8.0488,8.4021,9.1944,7.677,7.8887,"2"
10.1847,8.7421,7.9845,8.8661,4.4014,4.3977,9.681,8.9311,9.0195,9.1651,"1"
8.9335,9.1022,8.7043,7.4989,5.2843,10.9757,8.5916,4.5641,9.639,9.9279,"2"
10.8099,8.705,10.2643,10.8174,4.4349,5.6453,8.8679,5.9741,9.0955,7.631,"2"
10.6846,8.9567,9.741,11.3633,4.1782,4.8202,8.8598,7.3218,9.5613,9.2011,"2"
9.4622,7.9078,8.827,7.7172,6.0803,11.0537,9.2278,5.1121,8.5314,10.0632,"2"
10.2953,8.6115,9.2549,10.7267,4.5127,4.7161,8.1283,3.7827,9.1898,7.8574,"2"
9.9562,9.3272,9.5308,7.478,6.7532,7.238,9.931,7.6142,9.28,9.7508,"2"
10.168,8.635,8.9875,10.8804,3.0293,3.65,8.6945,4.7939,11.9445,7.9543,"2"
9.9726,8.1599,7.829,8.6607,3.9041,9.5991,9.2531,4.5708,9.2068,10.7211,"2"
10.065,8.3325,9.3678,6.766,5.8034,8.8056,9.4525,7.8242,10.4572,9.9597,"2"
10.1748,8.6214,9.5396,9.7675,3.5526,7.5217,8.6802,10.5707,8.9316,8.1195,"1"
10.1409,9.4828,9.124,9.8635,3.908,9.4601,9.5551,5.88,9.9049,9.8092,"2"
9.7696,9.2349,9.7394,5.131,6.9308,6.5679,8.6223,8.3351,9.39,9.7664,"2"
9.7629,9.5725,8.38,9.5011,4.1376,7.9526,9.0472,9.1135,9.2731,9.5203,"2"
10.3438,9.28,9.2906,7.7534,6.2246,5.6745,9.1214,5.9221,6.8246,8.4435,"2"
10.2161,8.2933,8.3442,10.4037,3.6381,7.6048,8.9399,9.6461,10.1455,8.2704,"2"
10.1697,9.1473,8.4578,10.9307,6.2403,6.7645,8.6684,5.7518,9.9033,8.8652,"2"
10.5388,8.0626,9.9106,9.8896,6.5406,7.6486,9.5982,5.6327,9.5125,10.2043,"2"
10.1804,8.5283,8.3011,7.5225,5.4808,10.4524,9.5689,6.4512,10.9302,10.5386,"2"
9.7414,8.8818,8.8134,8.6405,6.4894,10.3261,9.4933,6.6187,9.8738,9.5736,"2"
10.6784,8.8102,9.7061,9.3761,8.0514,5.5532,8.9333,6.1241,8.5828,7.1506,"1"
10.2872,8.8178,8.7764,7.913,2.8618,10.2809,10.044,4.9612,10.7663,9.7678,"2"
9.971,8.9657,9.7097,8.266,5.4719,5.4465,8.916,6.3888,8.312,8.9952,"2"
11.3858,9.5847,9.9307,10.5696,7.662,8.1006,9.2633,4.5178,6.6097,8.0624,"2"
11.2473,9.396,9.3468,9.7544,3.3061,6.1902,8.3582,5.5881,8.9915,8.2192,"1"
9.7646,8.2116,9.2267,7.4019,3.7318,7.7088,9.6738,9.344,10.5188,9.2433,"2"
9.3936,8.9714,8.8209,8.5758,5.6378,8.3359,9.0088,8.6112,9.2655,9.3554,"2"
9.8132,9.7897,9.3846,7.8682,6.7129,9.4683,9.1828,6.4709,9.6002,9.69,"2"
9.6172,9.2809,9.1584,3.7292,6.8895,10.4172,10.25,7.1348,10.1093,10.8367,"2"
9.7439,9.3533,9.9282,8.4215,6.4521,5.015,8.021,8.4683,9.0219,8.1451,"1"
11.7024,8.8077,9.5278,10.3916,6.8028,6.9606,8.2877,5.187,10.1222,8.4804,"2"
10.7528,8.5953,8.0395,9.3481,5.3719,10.2361,9.5458,5.0588,9.9928,10.34,"2"
10.5929,8.404,9.3293,10.0711,6.5476,6.6248,8.8484,4.7105,8.5897,7.9836,"2"
9.6352,9.0844,9.1309,7.7212,5.2005,7.4732,9.5123,4.5759,9.1775,10.6483,"2"
10.6535,8.7151,9.7226,10.9925,5.503,8.231,9.0311,6.5023,8.9805,8.5319,"1"
10.1827,9.1852,10.3948,8.9125,6.1203,8.695,8.425,9.0735,7.7709,8.5892,"2"
