"201555_at","202683_s_at","203139_at","204825_at","205751_at","206401_s_at","208670_s_at","208893_s_at","211864_s_at","216092_s_at","Class"
9.9323,8.8393,9.7965,8.9393,5.3569,9.9796,8.6539,4.0949,10.7931,10.4159,"2"
9.5628,8.403,8.3696,7.7652,3.7733,9.9498,9.5953,9.2703,9.0349,9.7648,"2"
10.3905,8.3998,9.0933,9.9136,2.5009,6.0807,9.8134,3.9487,10.4934,8.3641,"2"
9.9835,8.9744,8.9776,7.8512,5.2106,9.8246,10.038,4.3284,10.1385,9.238,"2"
9.5863,8.4538,8.5067,8.4941,6.0642,8.0434,8.4332,10.3095,8.6924,10.2053,"2"
10.3386,9.4016,9.3412,10.9794,3.4831,4.769,8.6756,5.8892,8.7365,8.1508,"2"
10.4524,9.7909,8.3459,9.8705,5.725,11.0283,9.5763,3.6371,8.2025,9.6239,"2"
10.5008,9.0328,9.5148,9.0508,4.3357,4.7644,8.9406,11.1258,9.548,8.5252,"1"
11.3817,10.4127,9.8273,10.8534,3.4105,5.1325,8.3964,4.7234,8.0328,7.1425,"1"
10.4359,9.4545,7.9941,9.4226,4.9076,8.4264,8.2917,4.1559,8.0146,9.8262,"2"
10.1897,8.5682,9.5816,8.2958,4.6883,8.618,9.253,9.3808,8.772,9.5618,"2"
11.135,8.6604,8.304,10.2055,2.1806,8.3769,8.1136,5.0468,7.9844,8.7275,"1"
10.5686,8.7974,7.9712,9.0139,3.8238,8.0774,8.6673,9.6696,9.2198,9.7697,"2"
10.2337,9.1983,9.0914,8.9473,4.0047,6.4595,8.5376,10.688,7.8811,8.8687,"1"
10.2255,8.9442,7.7525,9.3343,4.4955,4.9002,8.8444,11.2491,7.6334,8.2961,"1"
9.3428,8.9176,9.6027,10.0021,6.4841,8.9199,7.3558,4.9197,9.5882,9.0413,"2"
11.5675,9.0899,9.5148,11.4325,5.8432,8.3074,8.4846,4.5694,10.1424,8.8514,"1"
10.2344,9.248,9.5171,10.7551,6.6251,7.585,8.6838,6.339,9.6206,8.957,"2"
10.9565,8.7792,8.0143,10.1406,5.8076,9.7653,8.1874,4.4572,9.4938,8.8968,"2"
10.2032,8.5043,8.2271,7.9566,4.9222,10.7203,9.7715,7.7039,10.2837,10.1147,"2"
