"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	16	78.0602575779355	57.9316112223976	27.9848717669481	27.9848717669481	11	16	320
2	1	7	78.083280921485	57.9316112223976	38.6540153590522	38.6540153590522	9	7	7
3	1	9	83.442751378361	57.9315861584688	41.8949040614777	41.8949040614777	6	6	6
4	1	6	83.442751378361	57.9315861584688	42.1761540614777	42.1761540614777	6	6	12
5	1	6	83.442751378361	57.9315861584688	42.3449040614777	42.3449040614777	8	6	18
6	1	6	83.442751378361	57.9315861584688	42.4574040614777	42.4574040614777	6	6	12
7	1	6	83.442751378361	57.9315861584688	42.4574040614777	42.5377612043348	6	6	12
8	1	6	83.442751378361	57.9315861584688	42.5980290614777	42.5980290614777	6	6	12
9	1	6	83.442751378361	57.9315861584688	42.5980290614777	42.6449040614777	6	6	12
10	1	6	83.442751378361	57.9315861584688	42.5980290614777	42.6824040614777	6	6	12
11	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.7130858796595	6	6	12
12	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.7386540614777	6	6	18
13	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.7602886768623	6	6	24
14	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.7788326329063	6	6	24
15	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.7949040614777	7	6	24
16	1	6	83.442751378361	57.9315861584688	42.7130858796595	42.8089665614777	6	6	18
17	1	6	83.442751378361	57.9315861584688	42.821374649713	42.821374649713	6	6	30
18	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8324040614777	6	6	30
19	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8422724825303	6	6	30
20	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8511540614777	6	6	30
21	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8591897757634	6	6	30
22	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8664949705686	6	6	30
23	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8731649310429	6	6	30
24	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8792790614777	6	6	30
25	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8849040614777	6	6	30
26	1	6	83.442751378361	57.9315861584688	42.821374649713	42.89009636917	6	6	30
27	1	6	83.442751378361	57.9315861584688	42.821374649713	42.8949040614777	6	6	30
28	1	6	83.442751378361	57.9315861584688	42.821374649713	42.899368347192	6	6	30
29	1	6	83.442751378361	57.9315861584688	42.821374649713	42.9035247511329	6	6	24
30	1	6	83.442751378361	57.9315861584688	42.821374649713	42.9074040614777	6	6	30
31	1	6	83.442751378361	57.9315861584688	42.821374649713	42.9110330937358	6	6	30
32	1	6	83.442751378361	57.9315861584688	42.821374649713	42.9144353114777	6	6	30
33	1	6	83.442751378361	57.9315861584688	42.821374649713	42.917631334205	6	6	30
34	1	6	83.442751378361	57.9315861584688	42.821374649713	42.9206393555953	6	6	30
35	1	6	83.442751378361	57.9315861584688	42.9234754900491	42.9234754900491	6	6	30
36	1	6	83.442751378361	57.9315861584688	42.9234754900491	42.9261540614777	6	6	30
37	1	6	83.442751378361	57.9315861584688	42.9234754900491	42.9286878452615	6	6	30
