"1007_s_at","201508_at","201555_at","201798_s_at","202683_s_at","203139_at","203628_at","203928_x_at","203963_at","204508_s_at","204681_s_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206401_s_at","208670_s_at","208712_at","208893_s_at","209173_at","209560_s_at","209603_at","209942_x_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","214164_x_at","214612_x_at","215729_s_at","215867_x_at","216092_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","220034_at","220773_s_at","222256_s_at"
12.444,10.8379,9.9323,11.6423,8.8393,9.7965,10.7755,9.6578,12.0638,10.1763,7.5046,8.9393,6.9654,13.0759,6.8695,7.7184,7.9799,11.6168,10.0607,5.3569,9.0445,3.0575,9.9796,8.6539,10.9476,4.0949,12.9392,7.888,10.5793,4.7646,10.7931,9.2335,6.8476,5.1801,13.36,12.6474,6.0516,2.9565,12.6194,10.4159,11.712,6.2115,9.8843,8.5236,8.4788,5.4109,8.2917,5.0853
12.2005,8.8812,9.5628,10.3129,8.403,8.3696,9.841,9.998,11.3553,9.3275,8.7229,7.7652,4.0367,13.7616,5.4533,7.0526,6.0596,9.5737,5.6228,3.7733,9.6145,8.1651,9.9498,9.5953,11.4622,9.2703,14.1501,5.8444,10.5772,4.992,9.0349,7.4051,6.8369,1.3965,13.2925,11.7852,5.7915,1.5807,11.5534,9.7648,11.2932,8.805,10.0105,8.9626,7.7381,3.3392,7.47,7.4624
12.6709,12.8232,10.3905,11.6751,8.3998,9.0933,9.4169,6.2526,12.3832,9.92,6.9584,9.9136,3.6401,12.736,6.2767,7.7606,5.5057,7.26,6.8404,2.5009,7.0195,3.0944,6.0807,9.8134,10.4996,3.9487,14.5585,7.3689,11.1181,6.7492,10.4934,8.4941,7.3452,5.2458,12.3582,12.7464,3.4135,5.6368,12.7285,8.3641,10.2407,9.9478,9.0597,10.7458,7.3137,3.2968,7.3719,7.9588
11.6619,10.5551,9.9835,11.4294,8.9744,8.9776,10.7668,10.1436,10.9812,8.9128,8.1004,7.8512,6.2561,13.8228,9.4907,8.0866,4.0437,9.1864,8.2024,5.2106,6.7935,2.7374,9.8246,10.038,13.0262,4.3284,14.3163,5.7483,12.3437,5.134,10.1385,8.2723,7.2258,0.8747,13.1325,10.9562,6.2108,2.251,11.0454,9.238,8.7277,6.0579,10.6561,9.8755,10.0118,3.8404,7.4854,5.9324
11.8397,7.9346,9.5863,10.0032,8.4538,8.5067,6.2417,7.8644,8.7607,4.8606,7.1537,8.4941,8.0293,8.3607,6.0549,10.5395,3.3828,5.4854,6.8347,6.0642,8.8145,6.8369,8.0434,8.4332,9.7857,10.3095,11.0182,7.2409,7.7225,8.5934,8.6924,7.3325,6.2601,9.9741,10.8038,9.6913,8.1951,6.2959,9.8391,10.2053,9.431,5.4398,9.6055,9.1537,6.7178,5.6506,7.8986,5.9542
11.4081,8.9197,10.3386,10.5408,9.4016,9.3412,8.1707,6.6998,8.3969,4.5569,7.8137,10.9794,8.2476,8.9998,7.1627,8.4795,2.9933,6.2546,8.1942,3.4831,5.361,5.0534,4.769,8.6756,8.3613,5.8892,5.4825,7.694,8.4591,5.9776,8.7365,9.0612,7.3569,2.9265,8.3545,8.7343,3.5297,11.292,9.3945,8.1508,10.4322,6.6347,10.075,7.1071,7.3534,3.3179,7.3467,4.9756
12.5829,12.4373,10.4524,8.9924,9.7909,8.3459,11.3913,11.0839,8.2397,6.4544,7.1449,9.8705,3.0805,12.8445,8.8312,6.2612,2.1666,8.9067,7.0472,5.725,9.9543,3.889,11.0283,9.5763,13.6003,3.6371,13.7543,6.5865,10.5914,12.6739,8.2025,8.1248,6.8498,1.5405,13.433,9.2602,12.1038,0.0799,9.2365,9.6239,11.3518,5.2645,9.7821,10.1074,12.1594,4.0787,6.9885,4.1069
12.1237,7.8042,10.5008,10.8613,9.0328,9.5148,6.8459,6.0098,9.4002,4.723,8.9673,9.0508,10.0456,8.974,7.0314,8.9707,8.8755,5.6929,2.9658,4.3357,6.5688,5.3783,4.7644,8.9406,10.4494,11.1258,12.497,11.1824,7.356,10.5019,9.548,7.5213,7.4705,6.7479,10.0088,9.7714,9.6894,8.5529,10.1242,8.5252,10.2316,11.9841,9.391,8.0586,6.8391,7.2388,7.8647,4.5928
11.098,6.5621,11.3817,9.2545,10.4127,9.8273,8.0509,6.9479,6.9433,3.7788,7.8364,10.8534,6.54,7.0561,10.8857,8.8407,2.4194,5.3717,2.1007,3.4105,4.444,2.9118,5.1325,8.3964,11.8446,4.7234,3.0703,5.9145,6.6269,4.7209,8.0328,7.254,4.0685,4.6566,8.9243,7.4908,6.1379,9.357,8.4811,7.1425,10.6392,10.4158,9.1734,7.4415,5.2449,5.3598,7.4055,6.3504
12.4537,10.4527,10.4359,9.7191,9.4545,7.9941,10.2676,8.9228,11.2113,8.4624,7.2983,9.4226,5.494,11.8396,8.6015,7.2364,4.0462,7.3541,4.0569,4.9076,8.8458,4.8315,8.4264,8.2917,11.0309,4.1559,13.5102,7.8072,10.2397,14.254,8.0146,5.6426,8.1072,6.3089,11.8889,11.6491,13.2748,3.1103,11.8321,9.8262,10.3461,5.9183,9.557,9.5602,8.1442,4.3648,7.4124,5.1782
