"213201_s_at","1007_s_at","206378_at","206754_s_at","1053_at","209443_at","39549_at","207626_s_at","212956_at","215729_s_at","205440_s_at","205862_at","210735_s_at","209604_s_at","215867_x_at","217838_s_at","1255_g_at","1405_i_at","1487_at","204508_s_at","Class"
7.5478,12.3446,10.2362,11.4867,7.0781,9.7194,5.4232,8.5889,13.5201,1.9565,10.5785,10.0742,11.362,15.0625,12.5744,11.7325,6.4327,4.2718,8.9272,9.8038,"2"
5.0501,12.0376,13.2355,7.4297,7.6011,5.8991,5.8324,7.0887,12.548,5.3426,8.5134,7.3888,9.5434,14.4978,11.0575,10.1952,6.5568,8.454,8.8336,7.9689,"1"
5.0025,10.9684,9.5032,5.9013,7.4696,6.6629,5.1314,5.7342,11.2917,5.3609,9.3702,4.4202,9.231,12.4583,11.0769,9.5668,7.0579,9.9479,9.4868,7.6789,"2"
4.8609,12.1004,8.8903,10.7619,7.9643,10.6123,5.439,9.2872,13.9589,1.434,9.7985,8.284,10.5688,15.2538,12.1168,12.0414,6.8571,6.2971,8.6933,9.2192,"2"
5.5283,11.5133,5.6884,9.2022,7.6576,9.0275,3.3738,7.9937,11.3302,2.5211,9.2064,9.0296,9.789,12.94,11.4462,9.45,7.2523,9.5212,9.1698,6.5448,"2"
9.0893,12.2191,14.0282,5.4971,8.1655,5.4755,6.4937,4.3313,10.8964,11.8167,5.5985,1.8421,8.2569,13.0091,10.5644,8.2017,6.2725,8.2761,9.6704,7.6643,"1"
8.9715,11.4786,8.7553,5.5528,7.9101,9.926,2.7939,10.0349,13.9103,2.7961,7.0701,10.0255,11.2951,12.9271,13.0713,10.416,6.7398,7.4885,8.7352,10.5147,"2"
4.0818,10.7731,5.9833,5.2837,8.6648,4.9525,6.2997,3.8607,7.2301,2.2044,4.8947,5.6106,7.1807,10.0815,8.2609,9.1789,5.592,12.341,8.7834,3.1546,"2"
3.683,10.9787,1.5373,4.4171,8.1352,6.2653,7.8153,3.5282,9.6518,9.6897,1.9134,5.0621,8.1798,10.4132,8.1673,10.7007,5.4792,13.0767,9.2705,5.5439,"1"
8.5601,12.5782,13.2541,11.9617,7.6247,10.8171,6.2795,7.6756,12.8768,3.5314,8.0771,8.1858,9.9664,14.2407,11.8937,11.5475,6.1926,7.3931,8.8525,9.0901,"2"
