"213201_s_at","1007_s_at","206378_at","206754_s_at","1053_at","209443_at","39549_at","207626_s_at","212956_at","215729_s_at","205440_s_at","205862_at","210735_s_at","209604_s_at","215867_x_at","217838_s_at","1255_g_at","1405_i_at","1487_at","204508_s_at","Class"
4.2884,12.444,6.1826,12.4854,8.3774,5.0127,3.1357,7.476,13.36,2.9565,8.6216,8.6098,11.5638,14.3763,12.6194,11.8757,5.9064,6.2325,9.308,10.1763,"2"
4.8678,12.2005,15.2013,10.5188,7.8592,4.8988,7.2846,3.5539,13.2925,1.5807,10.7598,8.0994,10.8918,14.0214,11.5534,11.8462,4.9582,6.9047,8.8356,9.3275,"2"
8.3652,12.6709,12.9669,11.6232,8.6762,7.8027,4.7775,7.2242,12.3582,5.6368,7.7832,7.6469,11.6213,14.5222,12.7285,12.0364,5.2332,6.594,9.5398,9.92,"2"
8.9668,11.6619,5.8929,7.5591,8.2557,7.577,6.4645,4.4968,13.1325,2.251,7.4413,9.0361,9.7456,14.9144,11.0454,12.1382,6.3296,6.0877,8.8494,8.9128,"2"
5.3777,11.8397,5.7849,14.788,8.7971,6.6584,5.8185,8.1799,10.8038,6.2959,3.6891,7.6014,8.3891,10.8821,9.8391,7.6534,5.8389,6.3456,9.5443,4.8606,"1"
8.2788,11.4081,6.6871,7.6447,8.3247,5.4803,4.9743,3.5565,8.3545,11.292,6.7869,5.6895,8.259,12.2287,9.3945,9.5579,6.8532,9.7756,8.716,4.5569,"1"
7.117,12.5829,7.1346,10.5207,8.9015,9.3985,2.2151,7.1557,13.433,0.0799,8.8298,9.8265,7.8738,13.3798,9.2365,10.1702,6.313,7.9978,8.8596,6.4544,"2"
4.4904,12.1237,15.2771,7.3345,8.7101,5.1489,6.3327,4.2114,10.0088,8.5529,6.6494,6.0514,8.6826,11.0112,10.1242,8.2785,6.3526,7.767,9.1667,4.723,"1"
3.7225,11.098,2.3066,6.8551,9.7493,4.6434,2.184,3.9754,8.9243,9.357,7.2961,0.6249,7.3029,9.7734,8.4811,8.4605,6.1595,7.483,9.3896,3.7788,"1"
6.3938,12.4537,9.0507,12.5394,7.5118,10.0736,5.8494,6.6261,11.8889,3.1103,10.4505,7.6694,10.0083,14.1152,11.8321,10.7519,5.7161,9.2592,9.3634,8.4624,"2"
6.6855,11.1349,7.6646,7.9484,7.6111,7.439,3.8037,6.8438,12.4273,5.2469,7.4452,4.9057,10.7399,14.088,12.0586,11.1963,6.7063,10.7755,9.4504,9.0767,"2"
9.4616,11.8757,7.3443,9.1798,8.0035,8.8159,4.258,4.9164,12.4745,3.9259,12.6169,10.0934,9.7376,14.6333,11.2566,11.7824,5.7084,7.1722,9.4601,8.8618,"2"
10.8879,12.6326,10.9761,5.6576,8.3098,4.4313,6.6734,3.8961,10.9061,5.8684,2.4328,6.5143,9.0941,13.2361,9.8661,9.5908,6.2087,7.8135,9.147,7.2568,"1"
3.5288,12.5807,11.6957,7.2889,8.0104,5.789,6.7817,2.8542,10.9066,5.6927,3.6658,6.6643,9.6425,14.1058,10.931,9.714,6.7935,8.2889,9.2451,8.201,"1"
3.8446,12.4304,7.1321,7.9678,7.6919,5.2473,5.6251,4.2359,10.6692,2.1542,6.5555,6.7538,9.4931,12.722,10.7828,9.5206,5.2033,9.7141,8.6808,8.4555,"1"
10.1851,11.9454,15.5148,5.7934,7.4614,5.6199,6.7875,3.2843,10.2593,3.3872,2.5115,4.3118,8.8212,12.5708,10.5213,8.8303,4.7954,9.1354,9.644,5.8544,"1"
4.0985,12.1154,12.0641,7.5721,7.9201,9.5573,5.9577,5.5392,11.99,9.8497,9.3726,8.3615,10.0638,12.6522,10.7924,9.5858,5.2639,7.9468,8.368,7.7363,"1"
5.8045,11.9077,6.7285,7.9186,7.6548,9.2807,3.168,5.5657,8.9875,8.4034,7.9959,3.9198,8.9721,10.8359,9.3723,9.1748,7.6554,8.4765,8.6963,5.4881,"1"
9.3871,11.8592,15.0287,12.6914,8.7641,8.3941,2.4011,6.7468,11.6637,2.3699,8.8473,10.2367,11.9763,14.664,12.5183,10.4109,4.7912,4.2077,9.045,10.3608,"2"
4.9498,12.0612,15.4702,11.5871,8.3111,9.254,7.881,8.4885,13.9558,1.7151,12.6589,8.6706,12.0741,14.508,12.9994,11.8275,5.6633,8.3521,8.2427,10.4822,"2"
7.9428,12.7259,11.2528,10.4399,8.4282,11.6737,5.2643,4.9683,13.1016,4.4885,3.4679,10.0397,11.0802,14.3534,12.217,10.139,6.5928,8.7554,9.0271,9.5693,"2"
3.6708,12.3641,9.0831,7.1454,8.9391,4.8692,7.3757,4.0705,11.971,3.8248,6.0069,5.5229,8.6477,13.6927,9.5794,9.6102,5.9152,8.9847,9.2244,6.3788,"1"
4.3296,12.0602,6.0913,14.3442,8.6066,5.2307,4.9221,4.5808,9.7345,5.049,1.7375,7.8444,8.9561,10.2794,9.7829,8.1124,6.8988,7.5392,9.4301,6.2395,"1"
5.8475,11.281,5.5193,4.8695,8.6218,7.0025,5.2721,5.361,9.3805,7.03,5.9043,2.7226,7.6934,11.3702,9.5442,8.8584,6.4474,9.5239,8.9671,4.7333,"1"
6.4542,12.5553,6.1735,12.5693,7.4527,7.7317,6.0256,6.1054,13.1174,3.5265,6.9536,8.2397,10.4727,14.4045,11.9344,12.1268,6.174,6.6043,9.0767,9.3072,"2"
9.4534,12.2333,10.7462,10.1326,7.8985,11.2273,1.2808,5.7895,13.7972,1.9596,7.232,9.5064,10.7946,14.3113,11.8592,11.5888,5.0717,9.7605,8.4661,9.7793,"2"
8.4078,11.8859,6.5996,11.0953,7.5916,7.1301,6.4407,7.8673,13.2411,1.7007,10.0487,7.0217,9.9596,14.7897,10.5819,11.5862,6.5024,6.6208,8.5494,8.1056,"2"
9.2998,12.1708,15.1746,8.4029,7.8654,12.1653,3.7341,4.6189,12.5047,6.2134,8.7703,8.9754,10.3508,13.169,11.6647,10.318,6.3551,8.2851,6.4902,8.7031,"2"
5.4763,12.8908,9.9633,6.8341,8.094,5.6811,7.7487,4.1226,8.9354,10.3828,2.2866,2.612,8.6782,12.1343,9.0829,9.5531,3.5129,10.6763,8.8111,4.5763,"1"
4.8261,12.0125,6.5231,6.3841,8.3706,6.2502,7.137,4.8073,10.5317,1.8945,5.8714,6.982,7.4385,11.4554,8.7861,8.3891,6.609,6.6663,9.1538,4.1328,"1"
4.3345,11.1958,5.1079,6.7498,8.5326,4.6403,5.5392,6.7218,10.1753,10.5956,6.831,5.1907,7.6504,10.1851,8.1038,8.5696,4.7842,10.953,8.5791,4.7115,"1"
7.3113,11.5379,14.2867,5.48,8.6753,5.6468,6.805,4.3891,9.7544,8.0793,9.2353,6.9668,8.5991,10.699,9.7983,9.1637,2.4833,8.1448,8.5851,5.852,"1"
4.0866,12.2426,9.1909,7.1052,8.6863,7.9377,5.5615,4.7844,9.7492,10.2683,8.8528,5.7937,7.985,12.1241,9.3203,9.3707,3.8942,8.4125,8.3001,5.6595,"1"
8.9135,11.7422,8.2907,7.0218,8.3868,9.8304,5.9411,8.7955,12.6052,1.6071,11.7697,10.8913,11.5397,14.3155,12.3123,10.8835,6.3874,5.7107,8.5411,10.076,"2"
6.5507,12.1271,13.4582,8.3354,7.2132,8.6693,3.7556,7.3792,12.7904,3.94,7.0192,8.8619,11.2167,14.9286,12.1451,11.5948,6.1438,7.539,8.8522,8.0906,"2"
7.5989,11.9852,13.5604,8.2143,7.7999,10.0145,2.108,7.1047,13.3609,1.5849,3.2194,9.2879,12.572,14.3454,13.3377,11.375,6.0201,4.6252,8.6658,11.4458,"2"
8.3551,11.831,6.4024,12.9351,7.5973,10.0563,4.7677,7.656,12.8879,3.4418,14.3158,8.2527,11.2184,14.4465,12.4268,12.5505,3.9819,8.5723,8.3713,9.7068,"2"
5.1455,11.9298,3.2624,11.1861,6.9393,8.0852,3.5396,5.8981,11.3677,2.2721,9.9379,9.0777,11.1162,14.404,12.156,12.1861,7.2069,8.2054,9.4167,9.3395,"2"
8.8349,11.5563,13.8311,10.1335,8.5456,10.5088,1.6548,7.8581,13.2225,2.6906,12.9115,9.2368,11.73,14.3343,12.3598,10.7861,6.4049,4.3758,8.3581,9.8688,"2"
9.4362,12.3898,10.6391,8.3816,8.2476,5.299,4.2214,7.419,12.177,4.5106,9.6092,7.0331,10.7053,14.2872,11.7531,10.8032,5.3924,7.7394,8.7604,9.4071,"2"
9.4897,12.2223,12.2143,13.0941,8.2085,9.7109,5.6723,8.1493,13.0678,2.1948,10.9252,9.2656,11.1614,14.4551,12.4881,11.0543,6.4243,6.6306,9.0371,10.1436,"2"
7.8973,12.2161,8.935,5.3369,8.3784,6.1218,3.2293,4.4086,9.2101,10.8661,3.8593,5.7083,7.8961,11.528,7.8491,9.5212,6.3052,9.0395,9.2971,3.1318,"1"
3.9969,11.3958,5.5278,6.7483,9.0461,5.5584,6.1143,4.1337,8.8312,6.6686,10.7432,6.1798,8.7508,9.4435,8.7277,9.7588,5.9523,10.243,9.1636,4.7862,"1"
5.7185,11.9744,10.7941,9.9301,8.3758,10.6956,3.6365,8.4158,12.2257,2.6082,13.0675,8.8133,11.1342,14.7315,12.3237,13.0999,6.8361,8.2829,9.1713,9.3766,"2"
4.6241,11.7052,5.7888,4.486,8.1315,5.5753,5.5353,7.0917,8.6669,6.1628,5.6536,2.664,8.11,11.3759,8.8596,9.4687,3.8701,9.0597,8.8065,3.5843,"1"
8.756,12.7443,14.4826,5.5528,8.4647,8.4886,3.8283,4.7332,10.5998,3.5924,1.9116,5.3361,10.285,14.1977,11.3998,9.3471,5.4462,9.2264,8.6847,8.9374,"1"
9.4491,12.2154,8.5251,6.7119,8.3121,11.8487,2.9299,4.3627,13.022,1.6383,11.46,9.328,10.8788,14.8685,12.2942,12.9724,6.2535,6.798,8.7758,10.1122,"2"
10.0338,13.312,8.1157,13.6082,7.8254,5.6274,4.8006,7.4375,13.4395,2.9893,14.7333,6.7728,12.4535,14.8729,13.5062,9.9225,6.848,7.4278,8.5027,11.2929,"2"
5.5353,12.2111,15.0898,3.9488,9.0572,7.238,6.0841,3.4461,8.8364,1.7282,4.6527,6.0758,8.3163,11.1143,9.9496,8.6887,6.2139,7.8728,8.973,6.8452,"1"
7.0928,11.175,6.9035,10.7713,7.5085,10.944,3.6231,7.4713,13.5637,3.1802,10.6663,10.3847,9.8943,14.2505,11.2328,11.4232,5.1536,8.0259,8.5064,9.1324,"2"
4.0524,12.1514,11.8124,6.3018,8.1922,4.3705,6.6631,5.1242,11.359,9.8613,4.3719,2.6665,7.7867,11.6584,9.7074,9.5392,5.6407,8.3269,9.259,7.0044,"1"
4.1395,11.4223,12.0712,8.5557,7.4375,9.8154,4.1765,6.7751,12.5382,2.6362,11.5748,10.0776,10.7831,13.9018,11.5032,9.264,5.4157,7.6577,9.3501,9.7578,"2"
2.9514,12.0307,14.8774,4.495,8.4269,4.1741,2.2808,4.8009,11.1295,3.3684,2.8139,5.2106,8.5793,12.9159,11.2002,11.3047,4.8613,8.3368,9.6447,8.353,"2"
