"201555_at","202683_s_at","203139_at","203628_at","204825_at","205229_s_at","205713_s_at","205751_at","206401_s_at","208670_s_at","208893_s_at","209173_at","211864_s_at","214164_x_at","216092_s_at","219051_x_at"
9.9499,8.8732,8.814,9.4326,7.9851,5.2668,5.2933,5.445,10.6463,8.8319,7.6049,13.2041,9.2348,12.7392,10.6963,9.5138
9.6616,8.5511,8.7652,9.8046,5.2744,7.1769,4.3142,6.3482,8.2532,9.8519,8.9154,11.3631,10.1938,10.9092,9.378,5.3641
9.4638,8.5826,9.4426,7.9079,5.9481,6.9284,4.524,6.0619,7.4477,9.3521,9.1121,11.18,8.4931,10.6696,9.384,7.1097
9.6843,8.7651,8.3725,9.2162,7.2743,6.9055,5.6629,6.4097,10.3491,9.0844,4.9278,12.8009,10.5216,12.1329,10.1166,10.3564
9.5383,8.885,9.6763,13.8186,7.7976,4.8938,7.2584,7.7306,8.0488,8.4021,9.1944,11.2662,7.677,11.1382,7.8887,9.1484
10.1847,8.7421,7.9845,7.5056,8.8661,4.9654,8.1876,4.4014,4.3977,9.681,8.9311,11.7468,9.0195,10.6727,9.1651,9.4738
8.9335,9.1022,8.7043,9.906,7.4989,8.4151,7.1276,5.2843,10.9757,8.5916,4.5641,14.7718,9.639,13.092,9.9279,8.4837
10.8099,8.705,10.2643,6.8747,10.8174,4.5725,4.2758,4.4349,5.6453,8.8679,5.9741,7.3952,9.0955,7.929,7.631,6.9739
10.6846,8.9567,9.741,6.5804,11.3633,6.0865,4.8917,4.1782,4.8202,8.8598,7.3218,8.1262,9.5613,8.2914,9.2011,7.7903
9.4622,7.9078,8.827,9.7756,7.7172,6.9138,8.5642,6.0803,11.0537,9.2278,5.1121,13.6097,8.5314,11.749,10.0632,9.7552
10.2953,8.6115,9.2549,8.2839,10.7267,8.2921,6.9006,4.5127,4.7161,8.1283,3.7827,3.2267,9.1898,7.9435,7.8574,9.5693
9.9562,9.3272,9.5308,9.0017,7.478,7.3219,4.5409,6.7532,7.238,9.931,7.6142,12.0077,9.28,11.2051,9.7508,5.8086
10.168,8.635,8.9875,5.2418,10.8804,6.1828,1.7593,3.0293,3.65,8.6945,4.7939,9.6504,11.9445,8.3261,7.9543,8.6684
9.9726,8.1599,7.829,9.4664,8.6607,6.6325,6.0129,3.9041,9.5991,9.2531,4.5708,12.2897,9.2068,12.5048,10.7211,10.5102
10.065,8.3325,9.3678,9.48,6.766,5.9372,9.9627,5.8034,8.8056,9.4525,7.8242,11.8047,10.4572,12.3616,9.9597,9.4369
10.1748,8.6214,9.5396,7.4912,9.7675,6.3203,2.9505,3.5526,7.5217,8.6802,10.5707,11.8799,8.9316,8.8009,8.1195,8.5262
10.1409,9.4828,9.124,9.6527,9.8635,5.9751,7.1801,3.908,9.4601,9.5551,5.88,14.1781,9.9049,12.4874,9.8092,8.671
