"201555_at","202683_s_at","203139_at","203628_at","204825_at","205229_s_at","205713_s_at","205751_at","206401_s_at","208670_s_at","208893_s_at","209173_at","211864_s_at","214164_x_at","216092_s_at","219051_x_at"
9.9323,8.8393,9.7965,10.7755,8.9393,6.8695,10.0607,5.3569,9.9796,8.6539,4.0949,12.9392,10.7931,12.6474,10.4159,8.5236
9.5628,8.403,8.3696,9.841,7.7652,5.4533,5.6228,3.7733,9.9498,9.5953,9.2703,14.1501,9.0349,11.7852,9.7648,8.9626
10.3905,8.3998,9.0933,9.4169,9.9136,6.2767,6.8404,2.5009,6.0807,9.8134,3.9487,14.5585,10.4934,12.7464,8.3641,10.7458
9.9835,8.9744,8.9776,10.7668,7.8512,9.4907,8.2024,5.2106,9.8246,10.038,4.3284,14.3163,10.1385,10.9562,9.238,9.8755
9.5863,8.4538,8.5067,6.2417,8.4941,6.0549,6.8347,6.0642,8.0434,8.4332,10.3095,11.0182,8.6924,9.6913,10.2053,9.1537
10.3386,9.4016,9.3412,8.1707,10.9794,7.1627,8.1942,3.4831,4.769,8.6756,5.8892,5.4825,8.7365,8.7343,8.1508,7.1071
10.4524,9.7909,8.3459,11.3913,9.8705,8.8312,7.0472,5.725,11.0283,9.5763,3.6371,13.7543,8.2025,9.2602,9.6239,10.1074
10.5008,9.0328,9.5148,6.8459,9.0508,7.0314,2.9658,4.3357,4.7644,8.9406,11.1258,12.497,9.548,9.7714,8.5252,8.0586
11.3817,10.4127,9.8273,8.0509,10.8534,10.8857,2.1007,3.4105,5.1325,8.3964,4.7234,3.0703,8.0328,7.4908,7.1425,7.4415
10.4359,9.4545,7.9941,10.2676,9.4226,8.6015,4.0569,4.9076,8.4264,8.2917,4.1559,13.5102,8.0146,11.6491,9.8262,9.5602
10.1897,8.5682,9.5816,8.7482,8.2958,6.3837,7.5548,4.6883,8.618,9.253,9.3808,12.2194,8.772,11.9349,9.5618,8.3161
11.135,8.6604,8.304,11.4914,10.2055,10.5185,6.3082,2.1806,8.3769,8.1136,5.0468,12.7413,7.9844,11.1997,8.7275,9.5219
10.5686,8.7974,7.9712,7.6174,9.0139,5.8487,8.4364,3.8238,8.0774,8.6673,9.6696,11.9726,9.2198,9.802,9.7697,9.7687
10.2337,9.1983,9.0914,8.2848,8.9473,4.2645,9.5474,4.0047,6.4595,8.5376,10.688,12.5589,7.8811,10.9737,8.8687,9.7579
10.2255,8.9442,7.7525,6.3248,9.3343,6.9088,6.7426,4.4955,4.9002,8.8444,11.2491,12.1779,7.6334,10.8545,8.2961,8.348
