"215729_s_at","213201_s_at","1007_s_at","203963_at","205440_s_at","206754_s_at","212956_at","214164_x_at","1053_at","204508_s_at","205029_s_at","205225_at","212960_at","117_at","121_at","1316_at","209173_at","209603_at","1294_at","209604_s_at","1255_g_at","Class"
1.9565,7.5478,12.3446,12.4052,10.5785,11.4867,13.5201,12.7392,7.0781,9.8038,3.0068,13.8754,11.4301,7.5017,10.6764,8.1481,13.2041,11.979,9.2305,15.0625,6.4327,"2"
5.3426,5.0501,12.0376,10.4033,8.5134,7.4297,12.548,10.9092,7.6011,7.9689,3.3895,11.7217,10.2569,7.3458,10.5366,8.3105,11.3631,10.8744,9.118,14.4978,6.5568,"1"
5.3609,5.0025,10.9684,9.8307,9.3702,5.9013,11.2917,10.6696,7.4696,7.6789,4.9401,10.996,9.3181,8.3759,11.1175,8.1214,11.18,8.0211,9.3514,12.4583,7.0579,"2"
1.434,4.8609,12.1004,11.6533,9.7985,10.7619,13.9589,12.1329,7.9643,9.2192,5.2692,13.1709,11.865,6.7908,10.7172,7.6762,12.8009,12.1921,9.1938,15.2538,6.8571,"2"
2.5211,5.5283,11.5133,10.2096,9.2064,9.2022,11.3302,11.1382,7.6576,6.5448,3.3665,11.3564,9.6911,9.9053,11.3643,8.316,11.2662,8.9641,8.7346,12.94,7.2523,"2"
11.8167,9.0893,12.2191,9.851,5.5985,5.4971,10.8964,10.6727,8.1655,7.6643,4.4839,8.2567,9.2078,7.6081,10.1439,7.6478,11.7468,8.8958,8.9877,13.0091,6.2725,"1"
2.7961,8.9715,11.4786,12.3342,7.0701,5.5528,13.9103,13.092,7.9101,10.5147,3.0947,11.7448,11.51,8.9351,10.5833,8.1925,14.7718,8.8227,8.1581,12.9271,6.7398,"2"
2.2044,4.0818,10.7731,7.5858,4.8947,5.2837,7.2301,7.929,8.6648,3.1546,6.0434,8.4923,7.8274,7.8527,10.0992,7.2504,7.3952,7.869,9.4955,10.0815,5.592,"2"
9.6897,3.683,10.9787,7.0641,1.9134,4.4171,9.6518,8.2914,8.1352,5.5439,6.7591,8.22,7.7955,7.8096,10.0614,7.0821,8.1262,5.384,9.1926,10.4132,5.4792,"1"
3.5314,8.5601,12.5782,11.1123,8.0771,11.9617,12.8768,11.749,7.6247,9.0901,3.5545,13.3314,10.1426,7.1587,10.8885,7.8207,13.6097,10.6131,9.0735,14.2407,6.1926,"2"
8.876,8.568,11.8791,7.2156,11.6823,6.9641,9.5513,7.9435,8.9005,3.8022,9.7592,7.3225,7.8767,7.5754,10.3995,7.3417,3.2267,7.8765,8.3605,11.5877,6.27,"1"
8.288,5.7739,11.9716,9.9232,10.8164,8.3146,10.8375,11.2051,7.647,7.5111,6.1564,10.5792,9.2186,9.4074,11.1072,8.6529,12.0077,9.942,10.0372,13.5929,7.8584,"2"
8.7505,8.4083,11.961,7.5919,3.4729,5.2538,9.0847,8.3261,8.9507,3.9454,1.4616,10.5622,7.6056,7.8502,12.5159,7.2018,9.6504,4.1991,8.7011,8.6007,6.8427,"2"
2.9568,8.9007,12.3903,12.1442,6.1659,13.943,11.4833,12.5048,8.0982,9.7169,3.1684,13.3712,9.7444,8.3035,10.5475,7.1127,12.2897,10.4073,8.9163,13.8736,3.267,"2"
6.3008,7.3905,11.707,11.5607,11.0031,8.0468,13.0667,12.3616,7.8371,9.3821,2.8214,12.4182,10.2834,7.9844,10.1832,7.6083,11.8047,10.3235,9.4334,13.9525,6.1602,"2"
6.3368,5.2514,11.5398,7.8746,2.5738,5.7238,9.9522,8.8009,8.3329,5.8315,14.3467,8.3408,8.4886,8.1751,10.1268,7.7473,11.8799,7.6337,8.3766,11.1446,6.2704,"1"
3.5299,8.5655,11.1113,12.2552,11.9046,9.045,13.1867,12.4874,8.3937,9.8595,3.4894,13.0582,10.8359,8.1448,11.3997,8.47,14.1781,10.7095,9.1167,14.0451,7.7993,"2"
4.7914,6.5161,11.4986,10.3641,12.118,8.3567,12.6923,11.1489,6.841,8.5211,6.3154,11.1112,10.216,8.4572,11.3217,8.0053,12.1042,10.4716,9.351,14.2077,7.2697,"2"
9.2198,4.212,12.2528,9.1563,3.317,7.5195,11.046,10.4863,8.6071,7.4136,11.8964,8.3414,8.9584,7.4646,10.6053,7.104,12.4807,8.3591,8.3096,11.8983,6.1659,"2"
3.1912,5.6907,10.2911,9.7647,5.5166,8.2209,10.4459,10.2178,5.7879,5.8756,4.4416,10.9402,8.8066,8.5336,11.6995,8.9861,12.5537,8.3425,9.9601,12.0589,8.1639,"2"
8.1825,6.7862,11.8509,8.5081,5.0648,4.8825,10.7341,8.621,8.7986,3.5539,11.3565,8.4434,8.5333,7.6671,10.6416,7.1824,12.0414,7.8074,8.1251,11.6384,6.4239,"2"
8.7423,4.9857,12.1978,9.4466,3.8427,8.0147,9.7123,10.2349,8.8164,5.0213,3.335,8.7318,8.719,8.9842,10.5874,7.7544,9.9522,7.9237,8.95,11.3765,7.2049,"1"
7.9547,5.0668,11.4072,8.6174,9.5074,8.1672,9.4395,9.8033,8.1883,5.3555,9.0374,8.3963,9.1617,8.4065,10.7249,8.5075,4.5639,8.2396,9.2892,11.8763,6.6201,"1"
2.9889,4.6854,12.7367,12.3017,11.0595,8.4653,13.5241,12.7444,8.0052,9.9006,2.2825,12.5963,10.8224,7.2505,10.6778,7.74,14.0042,10.448,8.7399,14.3791,6.5738,"2"
2.149,5.834,11.9765,12.0313,13.1976,11.673,12.4003,12.8842,7.6044,10.1724,4.1053,11.8094,10.2197,7.7339,10.9484,8.1703,14.8256,11.5412,9.6752,14.6664,6.7136,"2"
4.9883,5.5338,11.3246,9.388,4.5438,8.523,9.5156,9.7176,8.2015,5.0777,6.9436,9.5325,9.0003,9.2606,11.486,8.933,8.8531,8.5502,9.6273,11.2533,8.4001,"1"
