"215729_s_at","213201_s_at","1007_s_at","203963_at","205440_s_at","206754_s_at","212956_at","214164_x_at","1053_at","204508_s_at","205029_s_at","205225_at","212960_at","117_at","121_at","1316_at","209173_at","209603_at","1294_at","209604_s_at","1255_g_at","Class"
2.9565,4.2884,12.444,12.0638,8.6216,12.4854,13.36,12.6474,8.3774,10.1763,2.9025,13.0759,10.8422,6.7866,10.2851,8.0356,12.9392,10.5793,8.3767,14.3763,5.9064,"2"
1.5807,4.8678,12.2005,11.3553,10.7598,10.5188,13.2925,11.7852,7.8592,9.3275,2.2747,13.7616,10.572,8.0963,10.4624,7.0581,14.1501,10.5772,9.2973,14.0214,4.9582,"2"
5.6368,8.3652,12.6709,12.3832,7.7832,11.6232,12.3582,12.7464,8.6762,9.92,0.9203,12.736,9.8482,7.4812,10.1887,8.6061,14.5585,11.1181,9.1721,14.5222,5.2332,"2"
2.251,8.9668,11.6619,10.9812,7.4413,7.5591,13.1325,10.9562,8.2557,8.9128,2.7532,13.8228,10.6942,7.9923,10.7705,8.4776,14.3163,12.3437,9.3777,14.9144,6.3296,"2"
6.2959,5.3777,11.8397,8.7607,3.6891,14.788,10.8038,9.6913,8.7971,4.8606,13.4003,8.3607,8.4035,7.8321,10.2869,7.3419,11.0182,7.7225,7.0841,10.8821,5.8389,"1"
11.292,8.2788,11.4081,8.3969,6.7869,7.6447,8.3545,8.7343,8.3247,4.5569,3.9199,8.9998,8.372,8.1169,10.8844,8.3028,5.4825,8.4591,9.4201,12.2287,6.8532,"1"
0.0799,7.117,12.5829,8.2397,8.8298,10.5207,13.433,9.2602,8.9015,6.4544,2.6535,12.8445,10.9367,6.6237,10.3222,7.3125,13.7543,10.5914,8.5314,13.3798,6.313,"2"
8.5529,4.4904,12.1237,9.4002,6.6494,7.3345,10.0088,9.7714,8.7101,4.723,6.6777,8.974,8.3818,7.8795,10.6651,7.7251,12.497,7.356,8.2374,11.0112,6.3526,"1"
9.357,3.7225,11.098,6.9433,7.2961,6.8551,8.9243,7.4908,9.7493,3.7788,5.414,7.0561,7.6843,6.7152,10.47,6.8715,3.0703,6.6269,8.0962,9.7734,6.1595,"1"
3.1103,6.3938,12.4537,11.2113,10.4505,12.5394,11.8889,11.6491,7.5118,8.4624,7.2428,11.8396,9.8482,8.2514,10.8806,8.1207,13.5102,10.2397,8.3944,14.1152,5.7161,"2"
5.2469,6.6855,11.1349,10.975,7.4452,7.9484,12.4273,11.9349,7.6111,9.0767,4.0579,12.4562,9.1346,8.7835,11.1829,8.0528,12.2194,10.0288,9.6152,14.088,6.7063,"2"
3.9259,9.4616,11.8757,10.7894,12.6169,9.1798,12.4745,11.1997,8.0035,8.8618,3.4555,12.2024,9.951,8.1103,10.6567,7.2557,12.7413,10.9478,8.7424,14.6333,5.7084,"2"
5.8684,10.8879,12.6326,9.2444,2.4328,5.6576,10.9061,9.802,8.3098,7.2568,4.3995,7.987,8.6924,7.4773,10.4499,8.2354,11.9726,8.886,8.9361,13.2361,6.2087,"1"
5.6927,3.5288,12.5807,10.8107,3.6658,7.2889,10.9066,10.9737,8.0104,8.201,3.5527,10.1026,8.57,7.5885,10.1383,8.0392,12.5589,10.1557,9.2063,14.1058,6.7935,"1"
2.1542,3.8446,12.4304,10.3061,6.5555,7.9678,10.6692,10.8545,7.6919,8.4555,6.2372,8.0999,8.664,8.0937,10.1545,8.6325,12.1779,9.0275,8.8423,12.722,5.2033,"1"
3.3872,10.1851,11.9454,9.284,2.5115,5.7934,10.2593,10.1915,7.4614,5.8544,2.8189,8.5567,8.0576,8.4695,10.7476,7.9473,13.0221,8.4549,8.6858,12.5708,4.7954,"1"
9.8497,4.0985,12.1154,10.3446,9.3726,7.5721,11.99,10.8192,7.9201,7.7363,7.2878,10.7157,9.418,6.207,10.5313,7.6032,11.9956,8.9255,8.59,12.6522,5.2639,"1"
8.4034,5.8045,11.9077,8.508,7.9959,7.9186,8.9875,8.7484,7.6548,5.4881,5.4765,8.5834,9.2876,9.1468,11.5483,8.4888,4.7856,8.068,7.8311,10.8359,7.6554,"1"
2.3699,9.3871,11.8592,12.0857,8.8473,12.6914,11.6637,12.8061,8.7641,10.3608,4.905,12.8623,9.3393,6.7698,10.6987,6.656,12.4992,11.4367,8.5815,14.664,4.7912,"2"
1.7151,4.9498,12.0612,12.6455,12.6589,11.5871,13.9558,13.1942,8.3111,10.4822,3.6396,13.764,11.7924,8.0799,10.6865,7.5659,12.7371,10.3884,9.3624,14.508,5.6633,"2"
4.4885,7.9428,12.7259,11.916,3.4679,10.4399,13.1016,11.9813,8.4282,9.5693,6.3044,11.444,10.4734,8.3729,10.7377,7.8665,14.6533,10.9906,8.8756,14.3534,6.5928,"2"
3.8248,3.6708,12.3641,8.6398,6.0069,7.1454,11.971,9.5298,8.9391,6.3788,1.2731,7.4728,9.4486,7.882,10.1676,6.9513,12.0081,10.4111,8.0743,13.6927,5.9152,"1"
5.049,4.3296,12.0602,8.8253,1.7375,14.3442,9.7345,9.7979,8.6066,6.2395,10.658,8.4135,8.2824,7.6073,10.6249,7.7108,10.4745,7.4519,7.933,10.2794,6.8988,"1"
7.03,5.8475,11.281,8.6587,5.9043,4.8695,9.3805,9.1679,8.6218,4.7333,7.271,6.8669,8.1298,8.3951,10.6988,7.8661,3.8255,7.9928,8.9903,11.3702,6.4474,"1"
3.5265,6.4542,12.5553,11.7422,6.9536,12.5693,13.1174,11.8014,7.4527,9.3072,10.7932,14.2366,10.643,8.5629,10.3224,7.4899,12.5434,11.508,8.7361,14.4045,6.174,"2"
1.9596,9.4534,12.2333,11.728,7.232,10.1326,13.7972,12.0271,7.8985,9.7793,2.5779,13.7238,12.27,7.4182,10.2844,6.6916,14.0505,11.5596,8.3558,14.3113,5.0717,"2"
1.7007,8.4078,11.8859,10.3171,10.0487,11.0953,13.2411,10.4683,7.5916,8.1056,4.9048,11.4232,10.8471,7.0778,10.6391,7.797,12.0435,11.7166,9.3544,14.7897,6.5024,"2"
6.2134,9.2998,12.1708,11.356,8.7703,8.4029,12.5047,11.6847,7.8654,8.7031,3.4077,11.3391,10.4006,8.1378,10.9722,8.5748,13.3049,8.9839,8.1934,13.169,6.3551,"2"
10.3828,5.4763,12.8908,8.3462,2.2866,6.8341,8.9354,8.8358,8.094,4.5763,3.8579,8.4676,8.0405,9.3695,10.7094,7.1841,2.7363,7.8222,9.282,12.1343,3.5129,"1"
