"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	40	93.5967974791369	58.7597389672006	51.1282808323123	51.1282808323123	15	40	800
2	1	24	93.0870276331576	51.75065891566	57.4007469839062	57.4007469839062	14	16	16
3	1	15	97.4113679249283	51.614861329015	59.0265605133857	59.0265605133857	26	27	27
4	1	26	96.7436337488415	50.5690004620256	59.2828624882132	59.2828624882132	27	26	26
5	1	26	96.7436337488415	50.5690004620256	59.2828624882132	59.0265605133857	26	26	26
6	1	26	96.7436337488415	50.5690004620256	59.2828624882132	58.64027229136	23	26	23
7	1	26	97.3177912803746	49.4423200091553	59.7771569538722	59.7771569538722	25	25	25
8	1	26	97.3177912803746	49.4423200091553	59.7771569538722	59.7771569538722	25	25	25
9	1	23	96.7524844809986	48.5817742131567	60.9821214115393	60.9821214115393	23	23	23
10	1	23	97.3177912803746	49.057264548368	61.1357582764233	61.1357582764233	23	23	23
11	1	23	97.3177912803746	49.057264548368	61.1357582764233	58.5027338015245	18	23	18
12	1	23	97.3177912803746	49.057264548368	61.1357582764233	60.5780276631021	24	23	22
13	1	23	97.3177912803746	49.057264548368	61.1357582764233	59.7883574398781	28	23	29
14	1	23	97.3177912803746	49.057264548368	61.1357582764233	60.953131869928	25	23	28
15	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.2322239256943	25	24	24
16	1	24	97.3177912803746	48.8837421922666	61.2322239256943	60.8300294690733	22	24	24
17	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.1357582764233	23	24	23
18	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.1357582764233	23	24	46
19	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.2322239256943	24	24	24
20	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.2322239256943	22	24	24
21	1	24	97.3177912803746	48.8837421922666	61.2322239256943	61.1357582764233	23	24	23
22	1	22	97.995660407313	51.362268535716	61.2556573304836	61.2556573304836	11	19	19
23	1	20	97.3177912803746	50.2800247228888	61.2923261542587	61.2923261542587	20	20	20
24	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.782340046178	15	14	14
25	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.1357582764233	23	14	46
26	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.2322239256943	24	14	48
27	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.493634537536	21	14	19
28	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.2322239256943	24	14	72
29	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.6778676373514	22	14	23
30	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.2322239256943	24	14	72
31	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.6778676373514	22	14	23
32	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.2322239256943	24	14	72
33	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.493634537536	21	14	19
34	1	23	95.7126866076949	47.6281070137045	61.782340046178	61.2322239256943	24	14	72
35	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	19	15	15
36	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.7571605130964	18	15	19
37	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.6778676373514	22	15	23
38	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.7658035595472	18	15	19
39	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.6778676373514	22	15	23
40	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	15	15	15
41	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	15	15	15
42	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	15	15	30
43	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	15	15	30
44	1	15	96.1928487683921	49.3304621697459	61.9258130574719	61.9258130574719	15	15	30
