"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","201983_s_at","202088_at","202089_s_at","203256_at","203628_at","203963_at","204508_s_at","204623_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206754_s_at","206799_at","207038_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211233_x_at","212148_at","212496_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217528_at","217838_s_at","39549_at"
12.3446,7.0781,7.5017,10.6764,6.4327,9.2305,8.1481,6.1196,4.2718,7.1375,8.5984,8.9272,9.0705,10.3643,10.1083,8.8569,7.8693,6.8644,14.9541,14.0631,5.4864,9.4326,12.4052,9.8038,12.6644,14.3747,3.0068,13.8754,10.5785,10.0742,11.4867,7.931,10.1496,8.5889,13.2041,9.7194,11.9413,11.979,15.0625,11.362,8.7804,12.0773,10.6425,13.5201,11.4301,7.5478,12.7392,14.4201,1.9565,12.5744,3.5263,11.7325,5.4232
12.0376,7.6011,7.3458,10.5366,6.5568,9.118,8.3105,7.1575,8.454,6.6935,8.5378,8.8336,8.7718,11.4333,9.9977,9.2162,7.8673,9.584,13.8916,12.7077,8.4929,9.8046,10.4033,7.9689,10.0711,11.2149,3.3895,11.7217,8.5134,7.3888,7.4297,10.6196,7.1306,7.0887,11.3631,5.8991,11.0319,10.8744,14.4978,9.5434,5.7693,10.7194,9.8266,12.548,10.2569,5.0501,10.9092,9.4904,5.3426,11.0575,4.7839,10.1952,5.8324
10.9684,7.4696,8.3759,11.1175,7.0579,9.3514,8.1214,7.7247,9.9479,7.7319,8.289,9.4868,9.9207,11.6336,10.142,7.0177,7.5146,9.0904,11.1969,10.1126,5.7603,7.9079,9.8307,7.6789,8.6975,9.8209,4.9401,10.996,9.3702,4.4202,5.9013,6.2148,5.5464,5.7342,11.18,6.6629,8.8487,8.0211,12.4583,9.231,5.6723,10.55,9.0531,11.2917,9.3181,5.0025,10.6696,9.912,5.3609,11.0769,7.2725,9.5668,5.1314
12.1004,7.9643,6.7908,10.7172,6.8571,9.1938,7.6762,6.6899,6.2971,4.7757,8.1686,8.6933,8.9694,10.3949,9.8092,8.6942,7.9492,6.0889,15.0357,14.4526,6.3701,9.2162,11.6533,9.2192,10.6827,11.943,5.2692,13.1709,9.7985,8.284,10.7619,4.1386,7.9322,9.2872,12.8009,10.6123,12.0444,12.1921,15.2538,10.5688,8.0329,11.3882,10.2619,13.9589,11.865,4.8609,12.1329,14.8715,1.434,12.1168,6.2067,12.0414,5.439
11.5133,7.6576,9.9053,11.3643,7.2523,8.7346,8.316,6.9291,9.5212,6.8443,6.5189,9.1698,9.279,10.7918,10.5011,8.9555,7.7428,5.4924,12.8315,11.3177,5.6569,13.8186,10.2096,6.5448,11.8085,13.4882,3.3665,11.3564,9.2064,9.0296,9.2022,4.0249,6.9374,7.9937,11.2662,9.0275,9.6551,8.9641,12.94,9.789,7.2533,10.2009,10.54,11.3302,9.6911,5.5283,11.1382,11.4963,2.5211,11.4462,3.6833,9.45,3.3738
12.2191,8.1655,7.6081,10.1439,6.2725,8.9877,7.6478,7.4646,8.2761,4.1776,8.1477,9.6704,8.9129,9.925,8.9134,8.0277,7.21,6.1861,12.7376,11.8003,8.0484,7.5056,9.851,7.6643,12.4722,12.2014,4.4839,8.2567,5.5985,1.8421,5.4971,12.0994,9.6693,4.3313,11.7468,5.4755,9.7173,8.8958,13.0091,8.2569,5.6195,10.9797,9.1279,10.8964,9.2078,9.0893,10.6727,7.9294,11.8167,10.5644,7.466,8.2017,6.4937
11.4786,7.9101,8.9351,10.5833,6.7398,8.1581,8.1925,7.9064,7.4885,6.0111,7.1637,8.7352,8.8678,10.8993,9.2541,8.7806,7.4859,4.8935,14.0802,13.3404,5.1003,9.906,12.3342,10.5147,14.0857,12.4125,3.0947,11.7448,7.0701,10.0255,5.5528,9.5527,8.6258,10.0349,14.7718,9.926,9.7274,8.8227,12.9271,11.2951,6.9468,12.7867,10.2576,13.9103,11.51,8.9715,13.092,13.4434,2.7961,13.0713,5.1135,10.416,2.7939
10.7731,8.6648,7.8527,10.0992,5.592,9.4955,7.2504,7.2142,12.341,6.034,9.5541,8.7834,8.3108,10.9514,8.8478,8.6398,7.392,8.4771,10.6644,9.4315,10.6783,6.8747,7.5858,3.1546,7.605,6.8619,6.0434,8.4923,4.8947,5.6106,5.2837,4.2954,5.9481,3.8607,7.3952,4.9525,6.8793,7.869,10.0815,7.1807,7.2343,8.7776,8.815,7.2301,7.8274,4.0818,7.929,7.8756,2.2044,8.2609,5.8366,9.1789,6.2997
10.9787,8.1352,7.8096,10.0614,5.4792,9.1926,7.0821,6.9506,13.0767,5.8335,5.8828,9.2705,8.3342,11.6859,8.9216,8.9966,6.8688,7.8121,11.4217,9.539,11.7952,6.5804,7.0641,5.5439,7.1114,6.217,6.7591,8.22,1.9134,5.0621,4.4171,2.9022,6.5189,3.5282,8.1262,6.2653,6.5994,5.384,10.4132,8.1798,7.259,8.9666,8.7528,9.6518,7.7955,3.683,8.2914,8.436,9.6897,8.1673,1.8787,10.7007,7.8153
12.5782,7.6247,7.1587,10.8885,6.1926,9.0735,7.8207,7.23,7.3931,7.4102,8.1545,8.8525,9.4197,10.6699,9.8627,8.7943,7.9888,7.8336,12.411,11.3787,7.0378,9.7756,11.1123,9.0901,12.6655,11.2898,3.5545,13.3314,8.0771,8.1858,11.9617,11.0936,8.5697,7.6756,13.6097,10.8171,10.212,10.6131,14.2407,9.9664,7.4607,12.1988,10.7602,12.8768,10.1426,8.5601,11.749,11.9719,3.5314,11.8937,4.3564,11.5475,6.2795
