"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","201983_s_at","202088_at","202089_s_at","203256_at","203628_at","203963_at","204508_s_at","204623_at","205009_at","205029_s_at","205225_at","205440_s_at","205862_at","206754_s_at","206799_at","207038_at","207626_s_at","209173_at","209443_at","209602_s_at","209603_at","209604_s_at","210735_s_at","211233_x_at","212148_at","212496_s_at","212956_at","212960_at","213201_s_at","214164_x_at","214440_at","215729_s_at","215867_x_at","217528_at","217838_s_at","39549_at"
12.444,8.3774,6.7866,10.2851,5.9064,8.3767,8.0356,6.6745,6.2325,6.845,7.5774,9.308,8.5992,10.6707,9.2059,9.3933,7.5473,7.384,14.6123,14.1629,6.3335,10.7755,12.0638,10.1763,12.6711,13.285,2.9025,13.0759,8.6216,8.6098,12.4854,3.149,8.6291,7.476,12.9392,5.0127,11.1535,10.5793,14.3763,11.5638,8.6243,12.2299,11.2178,13.36,10.8422,4.2884,12.6474,12.6295,2.9565,12.6194,8.2541,11.8757,3.1357
12.2005,7.8592,8.0963,10.4624,4.9582,9.2973,7.0581,6.4607,6.9047,5.8878,9.8562,8.8356,8.3173,10.0085,9.2157,9.2443,7.3025,5.7702,14.9213,14.5094,4.136,9.841,11.3553,9.3275,14.7081,14.4107,2.2747,13.7616,10.7598,8.0994,10.5188,14.9688,9.5709,3.5539,14.1501,4.8988,10.8437,10.5772,14.0214,10.8918,9.8059,11.132,11.4706,13.2925,10.572,4.8678,11.7852,13.4492,1.5807,11.5534,4.1361,11.8462,7.2846
12.6709,8.6762,7.4812,10.1887,5.2332,9.1721,8.6061,7.0932,6.594,5.6843,7.4038,9.5398,8.7748,9.9406,8.897,9.0806,7.0802,4.1164,12.9683,11.7586,5.8238,9.4169,12.3832,9.92,15.3238,14.7836,0.9203,12.736,7.7832,7.6469,11.6232,11.6974,9.3182,7.2242,14.5585,7.8027,10.7019,11.1181,14.5222,11.6213,8.8004,12.655,9.5889,12.3582,9.8482,8.3652,12.7464,12.3205,5.6368,12.7285,5.7803,12.0364,4.7775
11.6619,8.2557,7.9923,10.7705,6.3296,9.3777,8.4776,6.5878,6.0877,6.5169,7.4714,8.8494,8.8505,10.512,9.4253,9.414,7.0293,5.9298,12.8995,10.9894,6.2721,10.7668,10.9812,8.9128,14.0116,12.0603,2.7532,13.8228,7.4413,9.0361,7.5591,3.9515,10.1055,4.4968,14.3163,7.577,11.6447,12.3437,14.9144,9.7456,9.1397,11.6885,11.1413,13.1325,10.6942,8.9668,10.9562,8.7672,2.251,11.0454,5.6304,12.1382,6.4645
11.8397,8.7971,7.8321,10.2869,5.8389,7.0841,7.3419,7.3167,6.3456,6.1708,6.7615,9.5443,8.5802,9.4923,8.5881,8.5444,7.5938,11.4353,12.502,11.5502,6.0571,6.2417,8.7607,4.8606,11.1875,6.9898,13.4003,8.3607,3.6891,7.6014,14.788,3.4244,6.1483,8.1799,11.0182,6.6584,7.3628,7.7225,10.8821,8.3891,6.7178,10.2655,10.7317,10.8038,8.4035,5.3777,9.6913,9.8562,6.2959,9.8391,8.5026,7.6534,5.8185
11.4081,8.3247,8.1169,10.8844,6.8532,9.4201,8.3028,6.8949,9.7756,6.4111,8.8939,8.716,8.9548,10.4357,9.9375,8.4872,7.1387,9.8128,11.1754,9.8817,10.3489,8.1707,8.3969,4.5569,8.0023,7.1037,3.9199,8.9998,6.7869,5.6895,7.6447,3.9217,4.4582,3.5565,5.4825,5.4803,8.1069,8.4591,12.2287,8.259,6.0146,9.3949,8.9381,8.3545,8.372,8.2788,8.7343,8.1629,11.292,9.3945,6.5729,9.5579,4.9743
12.5829,8.9015,6.6237,10.3222,6.313,8.5314,7.3125,4.1054,7.9978,5.6377,9.0028,8.8596,8.1327,9.9233,9.1738,8.4804,7.092,4.8425,14.1768,13.4754,3.3557,11.3913,8.2397,6.4544,10.4338,13.5421,2.6535,12.8445,8.8298,9.8265,10.5207,6.8241,9.5136,7.1557,13.7543,9.3985,10.3437,10.5914,13.3798,7.8738,9.3044,12.5682,11.4085,13.433,10.9367,7.117,9.2602,9.6743,0.0799,9.2365,2.8934,10.1702,2.2151
12.1237,8.7101,7.8795,10.6651,6.3526,8.2374,7.7251,5.5228,7.767,6.8468,9.4647,9.1667,8.7768,10.673,9.5315,9.9043,7.0234,8.9286,11.4306,10.4048,11.2236,6.8459,9.4002,4.723,11.5747,7.5852,6.6777,8.974,6.6494,6.0514,7.3345,12.6968,7.1903,4.2114,12.497,5.1489,7.5764,7.356,11.0112,8.6826,5.2078,10.2657,9.0794,10.0088,8.3818,4.4904,9.7714,8.5573,8.5529,10.1242,10.1369,8.2785,6.3327
11.098,9.7493,6.7152,10.47,6.1595,8.0962,6.8715,6.9222,7.483,5.4643,10.8205,9.3896,8.0811,9.6419,9.9715,8.5169,7.257,10.6618,11.5128,10.5191,8.7885,8.0509,6.9433,3.7788,5.195,7.5176,5.414,7.0561,7.2961,0.6249,6.8551,2.9032,6.7795,3.9754,3.0703,4.6434,6.6175,6.6269,9.7734,7.3029,5.1401,9.8665,8.9966,8.9243,7.6843,3.7225,7.4908,7.1961,9.357,8.4811,5.399,8.4605,2.184
12.4537,7.5118,8.2514,10.8806,5.7161,8.3944,8.1207,7.2478,9.2592,7.0132,8.4017,9.3634,9.8401,10.3967,10.0787,6.9976,7.988,6.7225,12.9006,11.262,6.2689,10.2676,11.2113,8.4624,12.4901,13.5271,7.2428,11.8396,10.4505,7.6694,12.5394,7.5681,8.3767,6.6261,13.5102,10.0736,10.1296,10.2397,14.1152,10.0083,6.4765,9.9578,10.1429,11.8889,9.8482,6.3938,11.6491,13.2828,3.1103,11.8321,3.42,10.7519,5.8494
