"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	48	82.0615443524956	57.9316112223976	42.2193051339681	42.2193051339681	20	48	960
2	1	48	82.0615443524956	57.9316112223976	42.2193051339681	27.1838442240671	46	48	864
3	1	48	82.0615443524956	57.9316112223976	42.2193051339681	42.2193051339681	47	48	96
4	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
5	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
6	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
7	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
8	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
9	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
10	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
11	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
12	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
13	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
14	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
15	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	94
16	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
17	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
18	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
19	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
20	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
21	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
22	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
23	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
24	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
25	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
26	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
27	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
28	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
29	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
30	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
31	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
32	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
33	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
34	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
35	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
36	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
37	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
38	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
39	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
40	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
41	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
42	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
43	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
44	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
45	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
46	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
47	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
48	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
49	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
50	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
51	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
52	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
53	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
54	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
55	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
56	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
57	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
58	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
59	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
60	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
61	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
62	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
63	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
64	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
65	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
66	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
67	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
68	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
69	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
70	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
71	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
72	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
73	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
74	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
75	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
76	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
77	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
78	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
79	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
80	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
81	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
82	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
83	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
84	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
85	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
86	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
87	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
88	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
89	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
90	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
91	1	47	82.0615443524956	57.9316112223976	42.2721897493527	42.2721897493527	47	47	47
