"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","201508_at","201555_at","201930_at","202683_s_at","203139_at","203625_x_at","203628_at","203928_x_at","203963_at","204508_s_at","204667_at","204681_s_at","204822_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206391_at","206401_s_at","206509_at","206793_at","208582_s_at","208670_s_at","208712_at","208893_s_at","209173_at","209366_x_at","209560_s_at","209603_at","209604_s_at","209942_x_at","210735_s_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","213527_s_at","214164_x_at","214612_x_at","215304_at","215432_at","215609_at","215729_s_at","215867_x_at","216092_s_at","217257_at","218002_s_at","218211_s_at","218483_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","219919_s_at","220034_at","220773_s_at","221704_s_at","222256_s_at"
12.3446,7.0781,7.5017,10.6764,6.4327,9.2305,8.1481,6.1196,4.2718,7.1375,8.5984,10.2358,9.9499,9.377,8.8732,8.814,8.6829,9.4326,10.986,12.4052,9.8038,11.062,8.7098,7.3928,7.9851,4.5686,13.8754,5.2668,8.3232,4.8386,9.0616,5.2933,5.445,8.7696,4.5925,3.5486,10.6463,14.4421,7.6737,3.5125,8.8319,10.8225,7.6049,13.2041,13.4022,7.6698,11.979,15.0625,7.0897,11.362,9.2348,11.6005,7.5912,1.8475,13.5201,8.9791,12.7392,6.2012,9.3983,3.0102,6.4929,1.9565,12.5744,10.6963,3.9491,9.628,13.6513,10.3258,12.5435,6.8392,10.4625,9.5138,8.4629,9.0418,6.6028,8.3954,7.872,5.7322
12.0376,7.6011,7.3458,10.5366,6.5568,9.118,8.3105,7.1575,8.454,6.6935,8.5378,10.4887,9.6616,9.0588,8.5511,8.7652,8.3696,9.8046,8.1054,10.4033,7.9689,10.2405,8.1223,6.167,5.2744,6.6256,11.7217,7.1769,7.4873,11.9784,7.7288,4.3142,6.3482,7.055,4.2491,8.0025,8.2532,14.165,6.6669,2.8295,9.8519,9.8721,8.9154,11.3631,12.8488,11.5012,10.8744,14.4978,5.3364,9.5434,10.1938,8.1512,7.5112,3.5364,12.548,8.8632,10.9092,7.0485,8.3854,4.0525,4.7387,5.3426,11.0575,9.378,6.3079,9.5576,12.5416,9.4904,10.8753,10.2503,9.8143,5.3641,6.6613,8.294,5.8614,8.2496,7.9795,5.6664
10.9684,7.4696,8.3759,11.1175,7.0579,9.3514,8.1214,7.7247,9.9479,7.7319,8.289,9.3978,9.4638,9.3094,8.5826,9.4426,8.5685,7.9079,8.3152,9.8307,7.6789,9.8094,7.5006,6.6156,5.9481,6.1259,10.996,6.9284,8.2573,12.5884,7.156,4.524,6.0619,6.8984,5.1713,7.6557,7.4477,14.5826,5.7248,3.4439,9.3521,10.2362,9.1121,11.18,12.4402,7.7658,8.0211,12.4583,8.2446,9.231,8.4931,8.0329,4.692,4.678,11.2917,9.0826,10.6696,5.5564,7.6606,5.151,6.3879,5.3609,11.0769,9.384,4.0241,9.6352,12.4526,9.4157,10.182,10.6432,9.3484,7.1097,6.9982,5.7412,7.916,8.0706,7.5452,5.9861
12.1004,7.9643,6.7908,10.7172,6.8571,9.1938,7.6762,6.6899,6.2971,4.7757,8.1686,8.4554,9.6843,8.6977,8.7651,8.3725,8.6258,9.2162,10.3776,11.6533,9.2192,10.984,8.4397,6.3597,7.2743,3.8915,13.1709,6.9055,7.4642,7.4246,10.4775,5.6629,6.4097,10.1242,3.435,4.2705,10.3491,15.8624,7.5486,2.1221,9.0844,10.4438,4.9278,12.8009,12.9486,7.3802,12.1921,15.2538,5.3106,10.5688,10.5216,10.2223,7.4438,3.296,13.9589,8.7767,12.1329,3.9435,7.9256,5.0238,5.5953,1.434,12.1168,10.1166,6.3907,8.2091,13.0435,10.1,12.3157,6.51,9.9697,10.3564,7.7132,8.3221,3.0669,8.1375,8.5243,4.6524
11.5133,7.6576,9.9053,11.3643,7.2523,8.7346,8.316,6.9291,9.5212,6.8443,6.5189,9.0598,9.5383,9.2745,8.885,9.6763,7.5755,13.8186,7.0525,10.2096,6.5448,9.4871,6.8744,7.3335,7.7976,4.8553,11.3564,4.8938,8.1481,3.8018,8.6446,7.2584,7.7306,7.6511,4.008,5.1405,8.0488,7.7328,5.7523,5.8577,8.4021,9.8693,9.1944,11.2662,10.2401,7.8564,8.9641,12.94,7.819,9.789,7.677,8.1494,7.005,6.8001,11.3302,8.4336,11.1382,8.2632,8.5126,5.2589,6.7469,2.5211,11.4462,7.8887,6.3383,3.9965,11.7128,9.3273,10.5136,6.3863,9.1053,9.1484,7.6315,5.9479,7.0706,7.2451,9.2504,4.6944
12.2191,8.1655,7.6081,10.1439,6.2725,8.9877,7.6478,7.4646,8.2761,4.1776,8.1477,9.5958,10.1847,10.3654,8.7421,7.9845,7.8873,7.5056,7.6079,9.851,7.6643,10.3396,6.9657,8.4144,8.8661,7.7365,8.2567,4.9654,8.4326,8.5915,6.6745,8.1876,4.4014,7.4822,3.8436,8.8694,4.3977,14.78,14.4,3.3851,9.681,10.6871,8.9311,11.7468,13.0224,6.3209,8.8958,13.0091,5.7826,8.2569,9.0195,8.1958,6.4889,1.8547,10.8964,8.3002,10.6727,4.3995,6.9311,4.0902,4.1096,11.8167,10.5644,9.1651,5.8236,8.0155,12.2878,8.7523,10.0884,9.2757,9.3359,9.4738,7.1848,8.9332,6.2262,7.2789,6.1414,5.4838
11.4786,7.9101,8.9351,10.5833,6.7398,8.1581,8.1925,7.9064,7.4885,6.0111,7.1637,10.9359,8.9335,9.1013,9.1022,8.7043,6.8007,9.906,11.2617,12.3342,10.5147,10.1829,6.3186,3.4526,7.4989,5.0691,11.7448,8.4151,7.368,2.7006,8.0934,7.1276,5.2843,9.5151,2.56,3.7521,10.9757,9.7023,10.4487,1.6282,8.5916,11.5095,4.5641,14.7718,11.6973,7.4178,8.8227,12.9271,7.2314,11.2951,9.639,9.3505,7.2498,3.2724,13.9103,9.3439,13.092,7.1582,7.8304,3.641,5.9119,2.7961,13.0713,9.9279,5.7075,6.6966,12.8565,9.0917,8.2837,6.3468,10.8368,8.4837,10.0236,5.901,3.6442,8.3559,8.4071,5.7147
10.7731,8.6648,7.8527,10.0992,5.592,9.4955,7.2504,7.2142,12.341,6.034,9.5541,7.9615,10.8099,11.5047,8.705,10.2643,11.1812,6.8747,7.0836,7.5858,3.1546,7.2282,7.128,9.1076,10.8174,7.8055,8.4923,4.5725,9.4141,3.8043,6.2711,4.2758,4.4349,1.6942,5.1417,11.4385,5.6453,7.2423,6.722,6.0098,8.8679,11.2323,5.9741,7.3952,9.7144,6.4118,7.869,10.0815,6.301,7.1807,9.0955,6.7431,3.837,4.2675,7.2301,8.4112,7.929,4.3282,7.6692,4.0017,5.168,2.2044,8.2609,7.631,4.0633,10.1721,8.7384,8.7531,9.1848,5.5129,8.5617,6.9739,5.6862,6.3636,6.1997,6.6357,8.5593,8.3319
10.9787,8.1352,7.8096,10.0614,5.4792,9.1926,7.0821,6.9506,13.0767,5.8335,5.8828,9.899,10.6846,10.6052,8.9567,9.741,10.3012,6.5804,4.9445,7.0641,5.5439,6.5052,5.7255,9.1149,11.3633,3.6418,8.22,6.0865,6.9553,2.6793,6.0501,4.8917,4.1782,5.2208,8.3495,12.6605,4.8202,6.151,6.8581,3.4568,8.8598,10.552,7.3218,8.1262,11.6162,6.7974,5.384,10.4132,5.4756,8.1798,9.5613,5.9878,3.8535,1.4457,9.6518,8.2755,8.2914,4.9114,4.0354,3.922,6.0119,9.6897,8.1673,9.2011,6.0637,11.4103,8.8497,8.4371,8.2488,8.8579,8.7449,7.7903,6.5194,6.6051,3.9349,6.6124,7.8763,4.9369
12.5782,7.6247,7.1587,10.8885,6.1926,9.0735,7.8207,7.23,7.3931,7.4102,8.1545,10.3873,9.4622,9.7025,7.9078,8.827,8.3443,9.7756,11.2567,11.1123,9.0901,10.9336,8.0388,6.9735,7.7172,4.17,13.3314,6.9138,8.2267,6.4989,8.5107,8.5642,6.0803,7.3974,5.0985,7.5844,11.0537,8.0084,6.0097,6.0416,9.2278,9.4446,5.1121,13.6097,11.4019,8.2175,10.6131,14.2407,12.2058,9.9664,8.5314,9.0371,8.4906,7.6811,12.8768,9.0906,11.749,11.7263,9.6402,5.1046,6.9133,3.5314,11.8937,10.0632,3.8405,6.8175,13.3725,9.8846,12.4292,8.2055,10.5702,9.7552,8.6258,5.9664,6.3171,7.9569,8.3233,4.4214
