"117_at","121_at","1320_at","1405_i_at","1438_at","201930_at","202683_s_at","203139_at","203625_x_at","203928_x_at","204681_s_at","204825_at","205225_at","205713_s_at","205751_at","206793_at","208582_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","209604_s_at","210735_s_at","211864_s_at","212344_at","212583_at","215432_at","215609_at","216092_s_at","217257_at","218002_s_at","218856_at","219438_at","219919_s_at","220034_at","221704_s_at","222256_s_at","Class"
6.7866,10.2851,6.6745,6.2325,7.5774,9.8857,8.8393,9.7965,8.978,9.6578,7.5046,8.9393,13.0759,10.0607,5.3569,7.7686,4.6231,8.6539,4.0949,7.888,10.5793,14.3763,11.5638,10.7931,9.2335,6.8476,3.3346,4.8571,10.4159,5.3651,9.8229,6.2115,8.4788,8.9219,5.4109,8.2502,5.0853,"2"
8.0963,10.4624,6.4607,6.9047,9.8562,9.4271,8.403,8.3696,8.1801,9.998,8.7229,7.7652,13.7616,5.6228,3.7733,5.2974,2.7015,9.5953,9.2703,5.8444,10.5772,14.0214,10.8918,9.0349,7.4051,6.8369,4.2016,5.2737,9.7648,5.9946,10.0727,8.805,7.7381,8.169,3.3392,8.0569,7.4624,"2"
7.4812,10.1887,7.0932,6.594,7.4038,9.6504,8.3998,9.0933,7.7719,6.2526,6.9584,9.9136,12.736,6.8404,2.5009,7.158,3.2545,9.8134,3.9487,7.3689,11.1181,14.5222,11.6213,10.4934,8.4941,7.3452,3.6819,6.5944,8.3641,1.234,8.387,9.9478,7.3137,8.1282,3.2968,8.5453,7.9588,"2"
7.9923,10.7705,6.5878,6.0877,7.4714,8.8559,8.9744,8.9776,8.4412,10.1436,8.1004,7.8512,13.8228,8.2024,5.2106,9.0595,2.1551,10.038,4.3284,5.7483,12.3437,14.9144,9.7456,10.1385,8.2723,7.2258,4.661,5.6016,9.238,6.0939,7.9075,6.0579,10.0118,8.5044,3.8404,7.6952,5.9324,"2"
7.8321,10.2869,7.3167,6.3456,6.7615,10.9964,8.4538,8.5067,8.136,7.8644,7.1537,8.4941,8.3607,6.8347,6.0642,10.2123,1.4372,8.4332,10.3095,7.2409,7.7225,10.8821,8.3891,8.6924,7.3325,6.2601,12.005,4.0585,10.2053,5.602,7.5005,5.4398,6.7178,6.2719,5.6506,8.3716,5.9542,"2"
8.1169,10.8844,6.8949,9.7756,8.8939,11.2995,9.4016,9.3412,8.5175,6.6998,7.8137,10.9794,8.9998,8.1942,3.4831,7.8013,4.3184,8.6756,5.8892,7.694,8.4591,12.2287,8.259,8.7365,9.0612,7.3569,3.3851,7.0738,8.1508,3.4003,8.1569,6.6347,7.3534,7.3538,3.3179,8.1797,4.9756,"2"
6.6237,10.3222,4.1054,7.9978,9.0028,10.8565,9.7909,8.3459,9.3637,11.0839,7.1449,9.8705,12.8445,7.0472,5.725,5.9606,4.2,9.5763,3.6371,6.5865,10.5914,13.3798,7.8738,8.2025,8.1248,6.8498,2.4001,6.1899,9.6239,6.4132,6.9447,5.2645,12.1594,8.4711,4.0787,7.5861,4.1069,"2"
7.8795,10.6651,5.5228,7.767,9.4647,9.8182,9.0328,9.5148,8.6077,6.0098,8.9673,9.0508,8.974,2.9658,4.3357,9.3103,4.4018,8.9406,11.1258,11.1824,7.356,11.0112,8.6826,9.548,7.5213,7.4705,3.6935,4.854,8.5252,6.1533,7.1667,11.9841,6.8391,6.0987,7.2388,9.0109,4.5928,"1"
6.7152,10.47,6.9222,7.483,10.8205,10.8303,10.4127,9.8273,10.804,6.9479,7.8364,10.8534,7.0561,2.1007,3.4105,7.384,3.1947,8.3964,4.7234,5.9145,6.6269,9.7734,7.3029,8.0328,7.254,4.0685,3.2262,4.5934,7.1425,4.7046,2.9553,10.4158,5.2449,7.0287,5.3598,7.6458,6.3504,"1"
8.2514,10.8806,7.2478,9.2592,8.4017,9.9759,9.4545,7.9941,8.6317,8.9228,7.2983,9.4226,11.8396,4.0569,4.9076,6.3022,7.4582,8.2917,4.1559,7.8072,10.2397,14.1152,10.0083,8.0146,5.6426,8.1072,5.3204,4.0908,9.8262,4.8641,6.942,5.9183,8.1442,8.2923,4.3648,8.4306,5.1782,"2"
8.7835,11.1829,7.6256,10.7755,7.1327,9.4536,8.5682,9.5816,8.5672,8.6564,5.6522,8.2958,12.4562,7.5548,4.6883,5.6507,6.1498,9.253,9.3808,6.9034,10.0288,14.088,10.7399,8.772,8.612,6.9287,8.0266,4.0814,9.5618,2.9182,5.0167,9.1809,9.1717,5.4659,6.5528,8.0248,5.1925,"2"
8.1103,10.6567,5.0792,7.1722,8.1523,10.7635,8.6604,8.304,10.0612,8.5152,8.1933,10.2055,12.2024,6.3082,2.1806,6.9576,2.6039,8.1136,5.0468,6.4177,10.9478,14.6333,9.7376,7.9844,8.1047,4.4384,3.722,5.5159,8.7275,5.5625,6.8409,7.9257,8.4103,5.1989,6.1829,9.0127,4.3361,"1"
7.4773,10.4499,6.9086,7.8135,9.0223,10.571,8.7974,7.9712,8.8118,8.3645,9.3327,9.0139,7.987,8.4364,3.8238,8.5624,2.1249,8.6673,9.6696,7.0161,8.886,13.2361,9.0941,9.2198,9.495,7.7082,4.0008,2.6519,9.7697,6.3706,7.4941,10.5549,6.1511,5.8517,6.5667,9.5533,5.0226,"2"
7.5885,10.1383,5.0627,8.2889,8.3341,10.1043,9.1983,9.0914,8.8104,7.677,8.3981,8.9473,10.1026,9.5474,4.0047,13.2007,1.7843,8.5376,10.688,6.4264,10.1557,14.1058,9.6425,7.8811,8.5059,5.3406,3.8138,6.7197,8.8687,6.7925,11.2714,9.6717,7.4243,9.4181,3.5997,8.8195,4.9062,"1"
8.0937,10.1545,6.1289,9.7141,9.7055,10.5798,8.9442,7.7525,8.6502,6.5244,7.525,9.3343,8.0999,6.7426,4.4955,8.7889,3.6173,8.8444,11.2491,6.0344,9.0275,12.722,9.4931,7.6334,8.2585,5.9449,3.1495,6.3237,8.2961,5.9431,9.0542,6.7234,6.6081,4.8793,4.0618,9.8511,6.3075,"1"
8.4695,10.7476,4.9733,9.1354,7.0581,9.6344,8.9176,9.6027,9.0222,9.3462,8.3388,10.0021,8.5567,9.596,6.4841,7.2615,6.9299,7.3558,4.9197,5.9522,8.4549,12.5708,8.8212,9.5882,9.5647,7.2319,5.1367,3.8667,9.0413,7.2064,4.1986,9.6038,8.3101,7.2068,6.7558,5.3254,5.6486,"2"
6.207,10.5313,4.6133,7.9468,9.6857,11.6979,9.0899,9.5148,9.7029,8.1382,9.0957,11.4325,10.7157,3.8133,5.8432,7.1318,3.0675,8.4846,4.5694,7.4149,8.9255,12.6522,10.0638,10.1424,8.0389,7.547,3.7694,6.5189,8.8514,5.4597,7.6005,10.0903,5.6502,7.5781,5.9786,7.843,4.8064,"1"
