"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","201508_at","201555_at","201798_s_at","201930_at","202683_s_at","203139_at","203625_x_at","203628_at","203928_x_at","203963_at","204508_s_at","204667_at","204681_s_at","204822_at","204825_at","204914_s_at","205225_at","205229_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","205997_at","206391_at","206401_s_at","206793_at","208670_s_at","208712_at","208893_s_at","209173_at","209560_s_at","209603_at","209604_s_at","209942_x_at","210735_s_at","211864_s_at","212344_at","212583_at","212768_s_at","212956_at","214164_x_at","214612_x_at","215432_at","215609_at","215729_s_at","215867_x_at","216092_s_at","217257_at","218211_s_at","218807_at","218856_at","218862_at","219051_x_at","219438_at","220034_at","220773_s_at","221704_s_at","222256_s_at"
12.444,8.3774,6.7866,10.2851,5.9064,8.3767,10.8379,9.9323,11.6423,9.8857,8.8393,9.7965,8.978,10.7755,9.6578,12.0638,10.1763,10.7544,7.5046,7.2891,8.9393,6.9654,13.0759,6.8695,7.7184,7.9799,11.6168,10.0607,5.3569,9.0445,3.0575,3.4701,9.9796,7.7686,8.6539,10.9476,4.0949,12.9392,7.888,10.5793,14.3763,4.7646,11.5638,10.7931,9.2335,6.8476,5.1801,13.36,12.6474,6.0516,3.3346,4.8571,2.9565,12.6194,10.4159,5.3651,13.9035,11.712,6.2115,9.8843,8.5236,8.4788,5.4109,8.2917,8.2502,5.0853
12.2005,7.8592,8.0963,10.4624,4.9582,9.2973,8.8812,9.5628,10.3129,9.4271,8.403,8.3696,8.1801,9.841,9.998,11.3553,9.3275,11.4451,8.7229,6.4251,7.7652,4.0367,13.7616,5.4533,7.0526,6.0596,9.5737,5.6228,3.7733,9.6145,8.1651,3.0224,9.9498,5.2974,9.5953,11.4622,9.2703,14.1501,5.8444,10.5772,14.0214,4.992,10.8918,9.0349,7.4051,6.8369,1.3965,13.2925,11.7852,5.7915,4.2016,5.2737,1.5807,11.5534,9.7648,5.9946,13.6867,11.2932,8.805,10.0105,8.9626,7.7381,3.3392,7.47,8.0569,7.4624
12.6709,8.6762,7.4812,10.1887,5.2332,9.1721,12.8232,10.3905,11.6751,9.6504,8.3998,9.0933,7.7719,9.4169,6.2526,12.3832,9.92,10.7541,6.9584,8.4023,9.9136,3.6401,12.736,6.2767,7.7606,5.5057,7.26,6.8404,2.5009,7.0195,3.0944,5.6946,6.0807,7.158,9.8134,10.4996,3.9487,14.5585,7.3689,11.1181,14.5222,6.7492,11.6213,10.4934,8.4941,7.3452,5.2458,12.3582,12.7464,3.4135,3.6819,6.5944,5.6368,12.7285,8.3641,1.234,13.2749,10.2407,9.9478,9.0597,10.7458,7.3137,3.2968,7.3719,8.5453,7.9588
11.6619,8.2557,7.9923,10.7705,6.3296,9.3777,10.5551,9.9835,11.4294,8.8559,8.9744,8.9776,8.4412,10.7668,10.1436,10.9812,8.9128,11.7258,8.1004,6.4163,7.8512,6.2561,13.8228,9.4907,8.0866,4.0437,9.1864,8.2024,5.2106,6.7935,2.7374,4.3076,9.8246,9.0595,10.038,13.0262,4.3284,14.3163,5.7483,12.3437,14.9144,5.134,9.7456,10.1385,8.2723,7.2258,0.8747,13.1325,10.9562,6.2108,4.661,5.6016,2.251,11.0454,9.238,6.0939,13.3888,8.7277,6.0579,10.6561,9.8755,10.0118,3.8404,7.4854,7.6952,5.9324
11.8397,8.7971,7.8321,10.2869,5.8389,7.0841,7.9346,9.5863,10.0032,10.9964,8.4538,8.5067,8.136,6.2417,7.8644,8.7607,4.8606,10.4327,7.1537,7.0534,8.4941,8.0293,8.3607,6.0549,10.5395,3.3828,5.4854,6.8347,6.0642,8.8145,6.8369,2.9711,8.0434,10.2123,8.4332,9.7857,10.3095,11.0182,7.2409,7.7225,10.8821,8.5934,8.3891,8.6924,7.3325,6.2601,9.9741,10.8038,9.6913,8.1951,12.005,4.0585,6.2959,9.8391,10.2053,5.602,12.4027,9.431,5.4398,9.6055,9.1537,6.7178,5.6506,7.8986,8.3716,5.9542
11.4081,8.3247,8.1169,10.8844,6.8532,9.4201,8.9197,10.3386,10.5408,11.2995,9.4016,9.3412,8.5175,8.1707,6.6998,8.3969,4.5569,8.1274,7.8137,9.0136,10.9794,8.2476,8.9998,7.1627,8.4795,2.9933,6.2546,8.1942,3.4831,5.361,5.0534,11.9411,4.769,7.8013,8.6756,8.3613,5.8892,5.4825,7.694,8.4591,12.2287,5.9776,8.259,8.7365,9.0612,7.3569,2.9265,8.3545,8.7343,3.5297,3.3851,7.0738,11.292,9.3945,8.1508,3.4003,9.3378,10.4322,6.6347,10.075,7.1071,7.3534,3.3179,7.3467,8.1797,4.9756
12.5829,8.9015,6.6237,10.3222,6.313,8.5314,12.4373,10.4524,8.9924,10.8565,9.7909,8.3459,9.3637,11.3913,11.0839,8.2397,6.4544,11.3383,7.1449,8.7015,9.8705,3.0805,12.8445,8.8312,6.2612,2.1666,8.9067,7.0472,5.725,9.9543,3.889,5.9511,11.0283,5.9606,9.5763,13.6003,3.6371,13.7543,6.5865,10.5914,13.3798,12.6739,7.8738,8.2025,8.1248,6.8498,1.5405,13.433,9.2602,12.1038,2.4001,6.1899,0.0799,9.2365,9.6239,6.4132,13.3322,11.3518,5.2645,9.7821,10.1074,12.1594,4.0787,6.9885,7.5861,4.1069
12.1237,8.7101,7.8795,10.6651,6.3526,8.2374,7.8042,10.5008,10.8613,9.8182,9.0328,9.5148,8.6077,6.8459,6.0098,9.4002,4.723,10.3575,8.9673,8.6389,9.0508,10.0456,8.974,7.0314,8.9707,8.8755,5.6929,2.9658,4.3357,6.5688,5.3783,11.1244,4.7644,9.3103,8.9406,10.4494,11.1258,12.497,11.1824,7.356,11.0112,10.5019,8.6826,9.548,7.5213,7.4705,6.7479,10.0088,9.7714,9.6894,3.6935,4.854,8.5529,10.1242,8.5252,6.1533,11.7647,10.2316,11.9841,9.391,8.0586,6.8391,7.2388,7.8647,9.0109,4.5928
11.098,9.7493,6.7152,10.47,6.1595,8.0962,6.5621,11.3817,9.2545,10.8303,10.4127,9.8273,10.804,8.0509,6.9479,6.9433,3.7788,6.2656,7.8364,10.555,10.8534,6.54,7.0561,10.8857,8.8407,2.4194,5.3717,2.1007,3.4105,4.444,2.9118,9.5109,5.1325,7.384,8.3964,11.8446,4.7234,3.0703,5.9145,6.6269,9.7734,4.7209,7.3029,8.0328,7.254,4.0685,4.6566,8.9243,7.4908,6.1379,3.2262,4.5934,9.357,8.4811,7.1425,4.7046,8.9838,10.6392,10.4158,9.1734,7.4415,5.2449,5.3598,7.4055,7.6458,6.3504
12.4537,7.5118,8.2514,10.8806,5.7161,8.3944,10.4527,10.4359,9.7191,9.9759,9.4545,7.9941,8.6317,10.2676,8.9228,11.2113,8.4624,10.8874,7.2983,8.9728,9.4226,5.494,11.8396,8.6015,7.2364,4.0462,7.3541,4.0569,4.9076,8.8458,4.8315,7.6838,8.4264,6.3022,8.2917,11.0309,4.1559,13.5102,7.8072,10.2397,14.1152,14.254,10.0083,8.0146,5.6426,8.1072,6.3089,11.8889,11.6491,13.2748,5.3204,4.0908,3.1103,11.8321,9.8262,4.8641,13.6512,10.3461,5.9183,9.557,9.5602,8.1442,4.3648,7.4124,8.4306,5.1782
