"201555_at","201798_s_at","202683_s_at","203139_at","203928_x_at","203963_at","204681_s_at","204825_at","204914_s_at","205347_s_at","205478_at","205696_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208893_s_at","209560_s_at","209603_at","211864_s_at","212344_at","212583_at","214164_x_at","214612_x_at","215867_x_at","216092_s_at","218856_at","218862_at","220034_at","Class"
9.9323,11.6423,8.8393,9.7965,9.6578,12.0638,7.5046,8.9393,6.9654,7.7184,7.9799,11.6168,10.0607,5.3569,9.0445,9.9796,8.6539,4.0949,7.888,10.5793,10.7931,9.2335,6.8476,12.6474,6.0516,12.6194,10.4159,6.2115,9.8843,5.4109,"2"
9.5628,10.3129,8.403,8.3696,9.998,11.3553,8.7229,7.7652,4.0367,7.0526,6.0596,9.5737,5.6228,3.7733,9.6145,9.9498,9.5953,9.2703,5.8444,10.5772,9.0349,7.4051,6.8369,11.7852,5.7915,11.5534,9.7648,8.805,10.0105,3.3392,"2"
10.3905,11.6751,8.3998,9.0933,6.2526,12.3832,6.9584,9.9136,3.6401,7.7606,5.5057,7.26,6.8404,2.5009,7.0195,6.0807,9.8134,3.9487,7.3689,11.1181,10.4934,8.4941,7.3452,12.7464,3.4135,12.7285,8.3641,9.9478,9.0597,3.2968,"2"
9.9835,11.4294,8.9744,8.9776,10.1436,10.9812,8.1004,7.8512,6.2561,8.0866,4.0437,9.1864,8.2024,5.2106,6.7935,9.8246,10.038,4.3284,5.7483,12.3437,10.1385,8.2723,7.2258,10.9562,6.2108,11.0454,9.238,6.0579,10.6561,3.8404,"2"
9.5863,10.0032,8.4538,8.5067,7.8644,8.7607,7.1537,8.4941,8.0293,10.5395,3.3828,5.4854,6.8347,6.0642,8.8145,8.0434,8.4332,10.3095,7.2409,7.7225,8.6924,7.3325,6.2601,9.6913,8.1951,9.8391,10.2053,5.4398,9.6055,5.6506,"2"
10.3386,10.5408,9.4016,9.3412,6.6998,8.3969,7.8137,10.9794,8.2476,8.4795,2.9933,6.2546,8.1942,3.4831,5.361,4.769,8.6756,5.8892,7.694,8.4591,8.7365,9.0612,7.3569,8.7343,3.5297,9.3945,8.1508,6.6347,10.075,3.3179,"2"
10.4524,8.9924,9.7909,8.3459,11.0839,8.2397,7.1449,9.8705,3.0805,6.2612,2.1666,8.9067,7.0472,5.725,9.9543,11.0283,9.5763,3.6371,6.5865,10.5914,8.2025,8.1248,6.8498,9.2602,12.1038,9.2365,9.6239,5.2645,9.7821,4.0787,"2"
10.5008,10.8613,9.0328,9.5148,6.0098,9.4002,8.9673,9.0508,10.0456,8.9707,8.8755,5.6929,2.9658,4.3357,6.5688,4.7644,8.9406,11.1258,11.1824,7.356,9.548,7.5213,7.4705,9.7714,9.6894,10.1242,8.5252,11.9841,9.391,7.2388,"1"
11.3817,9.2545,10.4127,9.8273,6.9479,6.9433,7.8364,10.8534,6.54,8.8407,2.4194,5.3717,2.1007,3.4105,4.444,5.1325,8.3964,4.7234,5.9145,6.6269,8.0328,7.254,4.0685,7.4908,6.1379,8.4811,7.1425,10.4158,9.1734,5.3598,"1"
10.4359,9.7191,9.4545,7.9941,8.9228,11.2113,7.2983,9.4226,5.494,7.2364,4.0462,7.3541,4.0569,4.9076,8.8458,8.4264,8.2917,4.1559,7.8072,10.2397,8.0146,5.6426,8.1072,11.6491,13.2748,11.8321,9.8262,5.9183,9.557,4.3648,"2"
10.1897,9.9683,8.5682,9.5816,8.6564,10.975,5.6522,8.2958,5.0531,7.4083,8.7115,6.3237,7.5548,4.6883,3.2755,8.618,9.253,9.3808,6.9034,10.0288,8.772,8.612,6.9287,11.9349,6.9196,12.0586,9.5618,9.1809,8.7606,6.5528,"2"
11.135,9.3501,8.6604,8.304,8.5152,10.7894,8.1933,10.2055,9.7108,10.0071,4.0478,9.9414,6.3082,2.1806,6.2579,8.3769,8.1136,5.0468,6.4177,10.9478,7.9844,8.1047,4.4384,11.1997,7.3174,11.2566,8.7275,7.9257,10.035,6.1829,"1"
10.5686,10.704,8.7974,7.9712,8.3645,9.2444,9.3327,9.0139,10.5103,9.2506,10.9115,6.4253,8.4364,3.8238,7.3116,8.0774,8.6673,9.6696,7.0161,8.886,9.2198,9.495,7.7082,9.802,5.4143,9.8661,9.7697,10.5549,8.6279,6.5667,"2"
10.2337,9.4685,9.1983,9.0914,7.677,10.8107,8.3981,8.9473,4.9466,6.3837,7.9034,5.1879,9.5474,4.0047,6.9799,6.4595,8.5376,10.688,6.4264,10.1557,7.8811,8.5059,5.3406,10.9737,3.3469,10.931,8.8687,9.6717,7.9186,3.5997,"1"
10.2255,9.6554,8.9442,7.7525,6.5244,10.3061,7.525,9.3343,4.9721,7.2145,7.2613,6.1162,6.7426,4.4955,7.261,4.9002,8.8444,11.2491,6.0344,9.0275,7.6334,8.2585,5.9449,10.8545,5.501,10.7828,8.2961,6.7234,6.1713,4.0618,"1"
9.3428,10.9245,8.9176,9.6027,9.3462,9.284,8.3388,10.0021,10.4273,8.9599,9.6388,2.4784,9.596,6.4841,4.9777,8.9199,7.3558,4.9197,5.9522,8.4549,9.5882,9.5647,7.2319,10.1915,4.4655,10.5213,9.0413,9.6038,9.0809,6.7558,"2"
11.5675,11.1908,9.0899,9.5148,8.1382,10.3446,9.0957,11.4325,8.1355,8.1346,6.7973,5.6437,3.8133,5.8432,8.7999,8.3074,8.4846,4.5694,7.4149,8.9255,10.1424,8.0389,7.547,10.8192,5.9304,10.7924,8.8514,10.0903,9.3209,5.9786,"1"
10.2344,10.4369,9.248,9.5171,7.7369,8.508,6.7644,10.7551,8.1079,9.6133,4.3896,6.4871,3.6812,6.6251,6.9349,7.585,8.6838,6.339,8.4058,8.068,9.6206,9.074,7.5022,8.7484,7.2942,9.3723,8.957,8.2963,9.8252,4.4349,"2"
10.9565,10.8567,8.7792,8.0143,10.0494,12.0857,6.3047,10.1406,6.2449,7.3622,3.1396,10.0839,2.9578,5.8076,6.0788,9.7653,8.1874,4.4572,7.0201,11.4367,9.4938,11.4288,4.6239,12.8061,5.1278,12.5183,8.8968,9.1022,11.6778,2.6589,"2"
10.2032,11.7043,8.5043,8.2271,10.4272,12.6455,8.2889,7.9566,2.6181,7.5825,5.9173,10.2329,4.1856,4.9222,8.0772,10.7203,9.7715,7.7039,7.5959,10.3884,10.2837,8.7721,7.6018,13.1942,5.3933,12.9994,10.1147,8.0118,9.5801,4.052,"2"
