"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","177_at","179_at","200670_at","200711_s_at","200810_s_at","201231_s_at","201413_at","201508_at","201826_s_at","201983_s_at","202088_at","202089_s_at","202504_at","202641_at","203144_s_at","203256_at","203628_at","203963_at","204497_at","204508_s_at","204667_at","204798_at","204863_s_at","204881_s_at","205009_at","205066_s_at","205186_at","205225_at","205471_s_at","205696_s_at","205862_at","206754_s_at","207038_at","208615_s_at","208682_s_at","209602_s_at"
12.3446,7.0781,7.5017,10.6764,6.4327,9.2305,8.1481,6.1196,4.2718,7.1375,8.5984,8.9272,9.0705,10.3643,10.1083,8.8569,7.8693,7.1569,10.5507,14.4481,11.6623,12.0629,12.3806,11.1588,10.2358,10.3931,6.8644,14.9541,14.0631,7.6253,10.5707,10.1543,5.4864,9.4326,12.4052,9.0374,9.8038,11.062,11.9536,10.5781,11.7106,14.3747,9.3784,9.6998,13.8754,8.5065,9.0616,10.0742,11.4867,10.1496,11.0056,11.6815,11.9413
12.0376,7.6011,7.3458,10.5366,6.5568,9.118,8.3105,7.1575,8.454,6.6935,8.5378,8.8336,8.7718,11.4333,9.9977,9.2162,7.8673,7.3035,9.9391,12.9502,11.5301,12.2673,12.2088,10.7649,10.4887,8.586,9.584,13.8916,12.7077,9.9958,9.1721,6.9663,8.4929,9.8046,10.4033,8.4032,7.9689,10.2405,10.5509,9.9332,10.1653,11.2149,8.4724,8.2066,11.7217,8.1419,7.7288,7.3888,7.4297,7.1306,10.8788,11.6162,11.0319
10.9684,7.4696,8.3759,11.1175,7.0579,9.3514,8.1214,7.7247,9.9479,7.7319,8.289,9.4868,9.9207,11.6336,10.142,7.0177,7.5146,7.1741,11.1995,11.7332,11.4169,11.2106,11.8742,10.3559,9.3978,8.7636,9.0904,11.1969,10.1126,9.0808,9.1238,8.6431,5.7603,7.9079,9.8307,3.8503,7.6789,9.8094,9.7903,10.1938,9.677,9.8209,9.103,4.7684,10.996,6.4824,7.156,4.4202,5.9013,5.5464,9.695,9.9698,8.8487
12.1004,7.9643,6.7908,10.7172,6.8571,9.1938,7.6762,6.6899,6.2971,4.7757,8.1686,8.6933,8.9694,10.3949,9.8092,8.6942,7.9492,7.8058,10.108,13.6656,11.774,12.1583,12.3329,11.7622,8.4554,9.762,6.0889,15.0357,14.4526,8.4546,10.2541,9.5276,6.3701,9.2162,11.6533,9.2205,9.2192,10.984,11.8053,10.8436,10.6884,11.943,8.6031,9.2408,13.1709,8.1368,10.4775,8.284,10.7619,7.9322,10.852,12.2407,12.0444
11.5133,7.6576,9.9053,11.3643,7.2523,8.7346,8.316,6.9291,9.5212,6.8443,6.5189,9.1698,9.279,10.7918,10.5011,8.9555,7.7428,7.0722,10.9548,11.4777,10.5326,9.9619,12.0948,8.9713,9.0598,8.5879,5.4924,12.8315,11.3177,8.1553,9.4721,8.5213,5.6569,13.8186,10.2096,8.4643,6.5448,9.4871,9.339,8.8359,9.8036,13.4882,8.2769,5.4841,11.3564,7.8565,8.6446,9.0296,9.2022,6.9374,9.7589,9.881,9.6551
12.2191,8.1655,7.6081,10.1439,6.2725,8.9877,7.6478,7.4646,8.2761,4.1776,8.1477,9.6704,8.9129,9.925,8.9134,8.0277,7.21,7.1466,9.8718,13.6637,11.8204,10.0841,13.018,9.0777,9.5958,8.2854,6.1861,12.7376,11.8003,7.8708,9.9784,7.518,8.0484,7.5056,9.851,6.5234,7.6643,10.3396,8.7209,8.8422,9.3429,12.2014,7.4671,4.2374,8.2567,6.3782,6.6745,1.8421,5.4971,9.6693,9.3633,10.9016,9.7173
11.4786,7.9101,8.9351,10.5833,6.7398,8.1581,8.1925,7.9064,7.4885,6.0111,7.1637,8.7352,8.8678,10.8993,9.2541,8.7806,7.4859,6.9034,10.2146,13.2662,11.3601,11.3026,12.3433,10.0671,10.9359,8.982,4.8935,14.0802,13.3404,7.8636,9.1027,8.5365,5.1003,9.906,12.3342,9.6371,10.5147,10.1829,9.055,11.2715,10.0844,12.4125,9.7032,9.1451,11.7448,6.7194,8.0934,10.0255,5.5528,8.6258,10.7118,12.0692,9.7274
10.7731,8.6648,7.8527,10.0992,5.592,9.4955,7.2504,7.2142,12.341,6.034,9.5541,8.7834,8.3108,10.9514,8.8478,8.6398,7.392,7.1291,9.9922,10.6195,11.0777,10.2477,13.5153,10.9361,7.9615,8.5786,8.4771,10.6644,9.4315,10.1163,8.6981,7.3146,10.6783,6.8747,7.5858,6.029,3.1546,7.2282,8.7989,8.3762,10.2423,6.8619,7.9811,3.8925,8.4923,6.1701,6.2711,5.6106,5.2837,5.9481,9.299,8.8596,6.8793
10.9787,8.1352,7.8096,10.0614,5.4792,9.1926,7.0821,6.9506,13.0767,5.8335,5.8828,9.2705,8.3342,11.6859,8.9216,8.9966,6.8688,6.8647,10.0147,11.7132,10.4735,10.1976,13.3726,10.333,9.899,8.0447,7.8121,11.4217,9.539,9.0019,9.3583,7.5196,11.7952,6.5804,7.0641,6.7405,5.5439,6.5052,7.1828,8.6036,9.3598,6.217,6.867,3.7312,8.22,4.6058,6.0501,5.0621,4.4171,6.5189,9.6463,8.6828,6.5994
12.5782,7.6247,7.1587,10.8885,6.1926,9.0735,7.8207,7.23,7.3931,7.4102,8.1545,8.8525,9.4197,10.6699,9.8627,8.7943,7.9888,7.1933,11.1425,13.0063,11.5861,11.5775,11.3669,10.5225,10.3873,9.6816,7.8336,12.411,11.3787,8.9152,9.0961,8.7743,7.0378,9.7756,11.1123,8.0483,9.0901,10.9336,9.978,9.2162,10.11,11.2898,8.1721,7.6376,13.3314,9.3984,8.5107,8.1858,11.9617,8.5697,9.3585,12.1942,10.212
11.8791,8.9005,7.5754,10.3995,6.27,8.3605,7.3417,6.8264,9.6931,5.5575,10.8538,8.305,8.4217,9.755,9.835,9.221,6.9497,7.0719,9.4082,10.428,10.9957,10.6982,12.8863,8.6709,7.0344,7.8338,8.139,12.2204,11.5809,9.5289,10.282,7.0562,12.4415,8.2839,7.2156,8.3798,3.8022,6.4307,7.2523,8.2396,8.8143,5.9648,8.2863,3.7464,7.3225,2.2507,6.0438,5.431,6.9641,2.9392,9.7248,9.2396,8.4469
11.9716,7.647,9.4074,11.1072,7.8584,10.0372,8.6529,5.6754,10.1236,7.2111,8.4535,9.0212,9.657,11.445,10.3179,8.495,7.6994,5.2677,10.8444,11.2912,11.2813,11.6452,12.2212,9.7593,9.2956,8.7399,8.7474,11.2508,10.2638,9.8925,9.0171,8.3233,6.1568,9.0017,9.9232,6.2931,7.5111,9.4184,8.6313,8.802,10.0304,8.7497,7.1648,6.457,10.5792,5.9966,7.6756,6.793,8.3146,5.4483,10.2172,10.1429,9.7867
11.961,8.9507,7.8502,12.5159,6.8427,8.7011,7.2018,6.7969,8.0565,5.867,7.289,9.6682,8.5469,10.5609,9.6969,8.2461,7.5652,6.7941,11.5675,11.5047,11.2105,10.1303,13.542,9.7007,7.1646,7.5162,8.7562,9.719,8.8827,8.4593,8.8319,7.3315,5.8173,5.2418,7.5919,5.7733,3.9454,7.7385,7.1329,8.6059,9.1006,6.6686,5.1143,6.5628,10.5622,2.4688,6.6799,5.0019,5.2538,4.0047,10.5012,9.4143,3.0358
12.3903,8.0982,8.3035,10.5475,3.267,8.9163,7.1127,5.5099,7.2098,5.9611,7.6954,8.6572,14.4446,10.208,8.1342,8.8574,6.6137,7.282,10.4794,14.3078,11.8553,10.9535,11.9602,11.1047,10.4797,9.6068,4.4243,13.7908,12.8368,7.9099,10.2563,9.4372,6.4084,9.4664,12.1442,6.2115,9.7169,10.9757,10.4806,10.2234,9.5747,9.5026,9.6022,9.4199,13.3712,7.2051,8.9283,5.8828,13.943,8.165,11.0881,12.3608,10.2949
11.707,7.8371,7.9844,10.1832,6.1602,9.4334,7.6083,5.839,7.765,7.2809,8.6306,8.6682,8.651,11.149,9.9483,9.2835,8.4686,7.8181,9.9275,12.9236,11.9883,12.4019,11.8369,10.4204,10.9438,9.2426,8.8351,13.0917,12.3645,9.1637,9.5085,8.1219,4.3859,9.48,11.5607,9.0474,9.3821,10.2059,10.628,10.4944,10.3465,10.1274,8.4626,7.9289,12.4182,7.8909,7.9204,8.3146,8.0468,8.2388,10.547,12.1114,10.6387
11.5398,8.3329,8.1751,10.1268,6.2704,8.3766,7.7473,6.7413,8.3489,6.1272,7.3158,9.3156,8.3208,9.873,8.8248,8.9852,6.739,7.739,10.3139,12.2899,11.2715,10.039,13.7583,9.5136,5.578,6.9417,9.4749,10.6617,8.9872,8.086,8.5669,8.1144,10.5457,7.4912,7.8746,7.8522,5.8315,9.9867,9.6687,7.965,9.4691,6.2929,8.7793,3.6711,8.3408,5.8188,6.6681,2.0689,5.7238,5.0325,9.4037,10.6952,8.2451
11.1113,8.3937,8.1448,11.3997,7.7993,9.1167,8.47,7.2533,7.2821,7.4128,8.6307,8.8531,9.7617,10.7954,9.5565,8.1191,7.8326,7.8359,10.8947,13.2015,12.2416,11.2957,12.0644,9.7636,11.0139,9.0084,7.6379,14.2907,13.512,7.2337,10.7851,8.9457,7.0868,9.6527,12.2552,8.3212,9.8595,10.2334,9.7002,10.0893,11.9842,10.4731,8.9764,8.6474,13.0582,8.9948,10.1645,8.8679,9.045,8.6235,10.487,11.0808,10.6249
11.4986,6.841,8.4572,11.3217,7.2697,9.351,8.0053,6.741,10.0948,7.4189,8.7391,8.8688,9.6551,10.8396,10.4589,8.5804,5.4873,6.9995,10.934,12.3626,11.1352,11.0057,12.0928,10.4924,8.3513,9.2706,7.4714,13.6903,12.7045,9.0122,8.7793,8.6699,7.0359,8.4765,10.3641,6.2106,8.5211,10.3027,8.9246,9.9929,11.2409,9.3566,7.8837,5.7811,11.1112,8.1741,8.2787,6.4155,8.3567,8.0783,10.0907,9.8396,10.7619
12.2528,8.6071,7.4646,10.6053,6.1659,8.3096,7.104,4.9369,7.4585,6.149,7.2871,9.4115,8.7185,9.407,9.2333,9.5082,6.7707,6.7566,10.3034,11.6612,11.177,10.1938,12.9282,9.4196,7.1072,10.3837,9.3609,11.6744,10.3277,10.5242,10.0982,7.911,11.2047,5.8185,9.1563,2.4708,7.4136,9.975,8.583,7.4085,8.8561,7.2945,7.418,4.2532,8.3414,5.9647,5.9541,6.9568,7.5195,3.4455,8.5153,10.7358,8.8358
10.2911,5.7879,8.5336,11.6995,8.1639,9.9601,8.9861,7.162,9.558,7.5353,7.9248,9.0243,9.7136,11.0381,10.639,9.5838,7.8199,7.4914,10.7512,11.3673,10.1866,10.8344,12.4192,9.1315,6.0122,8.2665,6.3052,12.6162,11.8285,8.1441,8.7827,7.9464,5.6587,6.7312,9.7647,4.5705,5.8756,9.2547,8.3567,9.5758,9.6644,12.8889,7.9788,5.4566,10.9402,7.3742,6.9549,3.802,8.2209,7.8202,10.181,9.8405,8.6016
11.8509,8.7986,7.6671,10.6416,6.4239,8.1251,7.1824,6.529,8.5529,6.0187,8.441,9.2792,8.5001,10.046,9.3963,8.941,7.313,7.0272,10.1394,12.299,11.491,10.2419,13.6875,9.1319,6.3782,8.5315,11.2328,11.63,10.3873,10.1723,9.6582,7.4179,11.4899,6.5279,8.5081,7.1864,3.5539,9.6513,7.9826,7.5143,9.5999,4.5465,7.3558,4.11,8.4434,3.399,4.5812,5.6521,4.8825,5.4548,9.8422,9.7634,8.2769
12.1978,8.8164,8.9842,10.5874,7.2049,8.95,7.7544,7.2877,6.4243,6.9372,8.0925,9.1405,9.2357,11.8148,9.3907,9.5181,7.1772,7.4319,10.3669,11.8005,11.9154,10.6888,13.4563,10.4193,9.0884,7.4079,9.2392,11.5562,10.5635,11.3607,10.0581,7.1186,11.831,7.3048,9.4466,7.4829,5.0213,10.2026,9.096,8.067,9.8999,7.8511,7.7706,5.1604,8.7318,6.3807,5.7546,5.4735,8.0147,7.8656,9.9112,9.6488,7.8013
11.4072,8.1883,8.4065,10.7249,6.6201,9.2892,8.5075,6.2735,7.2973,6.6559,10.2841,9.1494,9.304,10.4739,9.5436,9.2246,8.126,7.4715,10.8227,10.1528,10.5277,9.2945,13.2007,10.2788,7.8273,8.3287,8.1637,10.1381,9.7386,9.9617,8.7113,6.9124,9.0139,6.0125,8.6174,5.834,5.3555,6.1804,7.4831,7.8179,9.1096,6.4334,7.4145,3.2461,8.3963,6.5692,4.8185,4.8994,8.1672,6.9003,9.2989,10.061,8.7655
12.7367,8.0052,7.2505,10.6778,6.5738,8.7399,7.74,5.6843,8.5646,6.0655,8.639,8.9123,9.1296,10.8055,9.2998,7.2355,7.5879,7.2002,10.9175,13.8435,11.9755,11.7399,12.0137,10.7708,11.0597,9.9417,7.7882,14.587,13.8794,9.7424,10.4324,9.1377,7.162,10.1825,12.3017,8.4498,9.9006,11.2498,11.3458,11.4973,11.4976,12.8536,9.7095,9.1777,12.5963,8.4187,8.9338,9.7226,8.4653,8.529,10.8312,12.2772,10.9173
11.9765,7.6044,7.7339,10.9484,6.7136,9.6752,8.1703,7.3857,5.3547,7.4749,7.7381,9.0538,11.5037,10.6595,9.4525,9.2517,7.619,7.3297,10.5561,13.8845,11.738,12.3564,12.2182,11.3534,9.7576,9.8801,7.4735,13.8645,13.1479,7.9278,10.3375,8.5529,5.5588,10.3907,12.0313,10.1086,10.1724,10.7664,10.6332,11.6142,10.927,15.2081,9.3725,8.8371,11.8094,8.1081,9.6278,10.2337,11.673,7.8639,10.6774,11.8742,11.2801
11.3246,8.2015,9.2606,11.486,8.4001,9.6273,8.933,5.7281,8.1677,7.9294,8.5019,8.6831,9.5009,11.0306,10.8174,8.3336,7.7293,7.6573,10.8152,12.0122,10.3845,9.5775,12.1972,9.785,5.6339,8.2457,7.8049,10.4833,9.5786,8.5334,9.9963,9.1532,7.6968,5.1206,9.388,4.5813,5.0777,9.0133,8.8985,9.2735,9.9592,7.9403,9.044,5.7009,9.5325,4.2361,8.2068,5.026,8.523,5.134,9.7042,9.3643,7.2842
12.0941,7.8253,8.07,11.1146,6.5496,9.0196,8.194,7.2592,7.8971,7.0046,8.252,8.6259,12.9323,10.2277,9.7601,8.4235,7.6115,6.4083,10.8732,14.1764,11.8431,11.6707,11.8475,10.3989,11.0073,9.5089,6.3678,14.3957,13.7431,8.0439,10.7387,9.0042,5.1315,10.3884,12.2924,9.2857,9.9225,11.3348,11.2489,12.2371,12.0662,14.2037,9.5963,9.4536,13.2295,8.83,10.6705,10.7522,10.6489,8.797,10.7754,11.9748,11.4294
10.7466,4.913,8.4845,11.3563,7.8941,10.443,8.911,7.9951,11.3123,7.5872,8.9707,9.0271,9.9302,11.4727,10.8446,9.4984,6.816,8.1,10.4361,11.4594,10.3044,9.9881,12.3334,9.4565,9.7997,7.4358,8.4665,10.3433,9.5884,9.241,9.0068,7.7332,6.5442,7.9524,9.3836,5.556,4.9111,8.9635,9.459,9.4011,9.9784,8.2241,8.2308,5.1367,9.8211,6.3869,7.1302,5.0579,6.9457,6.4254,10.3609,9.6326,8.0979
11.0495,9.2408,8.9309,10.4922,7.2295,8.6119,7.8846,7.1852,7.4827,6.5649,8.3315,9.3238,9.194,10.2669,9.5775,7.9829,7.5449,7.9255,10.2949,9.6548,10.6158,9.5682,12.5196,9.5565,7.1037,8.3613,8.694,11.2105,10.5122,8.3265,10.0708,5.5264,7.1631,7.0103,8.1414,4.0477,4.8718,9.469,11.1346,8.0041,9.8635,7.9279,7.8702,7.0419,8.0818,6.3063,6.9497,4.8091,6.3319,4.9202,9.6698,10.0169,3.1345
11.7385,8.1488,8.3088,10.7651,8.2121,9.5151,8.5127,4.8171,9.2808,6.7311,10.2199,9.0383,9.3126,10.9788,9.4329,9.2649,7.6719,7.3451,10.3231,10.9036,10.4356,9.1258,12.7944,9.7706,9.2937,8.1964,8.9503,11.0056,10.1565,10.1563,9.1616,7.7336,10.7207,8.861,8.6106,6.2983,4.6842,7.8444,8.1884,8.3295,9.1377,7.2515,8.4254,5.0257,8.2941,5.183,6.7366,3.1729,5.8694,7.5116,10.1861,9.7864,7.0294
11.5092,8.145,7.5542,10.0921,6.0793,9.1847,7.1954,6.792,9.2349,5.7371,8.4388,8.5486,8.5658,11.7082,9.3615,8.8179,7.8923,7.2192,9.8233,13.0648,11.5714,11.6484,12.2427,10.89,12.5116,8.7395,9.1788,12.9367,11.5638,10.6804,9.425,8.0817,10.2098,9.0276,10.4926,8.6003,8.6045,8.9512,9.4964,10.1953,10.6539,7.8954,7.7792,7.9736,10.7936,7.3966,6.6943,6.7335,7.308,6.019,10.5693,10.5823,9.9289
11.7728,8.6772,8.4128,10.8636,6.835,8.9426,7.9112,7.9824,8.8552,6.5393,8.2452,9.1476,9.0064,10.2042,9.9367,8.5273,6.7979,7.1722,10.9252,12.1699,11.0698,10.4893,13.7471,8.8705,8.9315,8.8405,10.5122,12.5052,11.1767,11.2737,8.9088,8.1129,11.0462,7.4228,10.5662,8.9658,7.9291,9.3727,8.9876,8.2316,9.9908,7.8215,7.621,3.8495,10.5265,7.1226,6.7143,6.8044,5.7323,7.2752,9.7169,10.2916,8.5997
12.1022,7.6784,9.1484,11.4147,7.6491,9.1721,8.5591,8.296,9.9587,7.0013,7.7727,8.9601,9.9262,10.9382,10.7747,8.8623,7.3482,7.9989,11.466,12.9223,11.1536,10.5521,12.1262,10.2956,9.6636,8.714,7.8957,13.4201,12.0921,8.2037,8.9905,8.1312,7.1319,9.437,10.9169,8.1088,6.8564,10.1356,9.5714,10.23,10.1688,13.5663,8.7447,5.6416,10.9363,7.3701,7.9986,9.3554,11.8804,6.8156,10.3893,10.0786,10.4971
12.0736,7.816,6.7201,10.5351,6.5638,9.1324,7.7879,5.097,6.1205,6.0041,8.295,8.7101,8.6505,12.5122,9.6375,9.0232,6.7673,7.26,10.0559,13.3737,12.5031,12.8083,11.4425,11.0308,11.3164,8.8482,4.5402,13.3529,12.1649,8.0249,10.022,9.8524,4.1626,8.6975,12.0188,8.6553,10.2253,10.3652,9.9172,10.5736,11.0389,7.801,8.8438,8.669,12.3623,9.7011,7.1989,6.6352,10.0473,8.5677,11.1111,11.3558,10.9421
11.2111,7.323,8.6958,11.0041,7.2929,8.7116,8.2641,4.9723,9.7755,7.1016,10.1784,8.3054,9.2548,10.883,10.4238,8.2898,6.8555,7.5286,10.9024,11.1768,10.1493,9.407,13.1101,9.4605,8.8474,7.9708,7.9263,10.4181,9.7698,10.697,8.375,8.0159,8.8794,7.9236,8.4605,5.5145,4.3686,7.8196,6.0978,8.2498,8.9903,7.7838,7.9015,3.7038,7.7249,6.0816,6.5774,2.5537,7.1169,6.5536,9.0621,9.4302,3.3417
11.8962,8.1039,8.2509,10.5824,6.6114,8.8225,7.8663,6.7729,7.3316,6.05,9.7116,8.5927,8.8717,11.9473,11.0428,9.1392,6.8688,6.7936,10.5564,10.8107,10.6405,9.2448,12.2113,9.8923,10.3529,8.0329,10.1251,11.6431,10.3947,9.9477,8.7498,7.0354,12.1983,7.8752,8.1379,7.2033,3.8683,7.8515,7.8922,8.9572,9.7123,6.9274,8.4638,3.796,8.8049,6.5569,5.7465,5.8338,6.8085,5.9281,9.818,10.92,9.2261
12.124,8.588,8.1537,10.6233,6.2107,8.8171,7.6919,6.1139,9.5459,6.4074,7.2379,8.4107,8.7631,10.0755,10.1582,7.7017,7.7225,7.1762,10.774,13.3116,11.8754,11.3354,12.6123,10.8978,10.009,7.8302,6.434,11.6854,10.8984,8.4765,10.3781,8.486,6.9553,8.7981,11.6258,7.6169,9.0213,10.4876,8.9485,10.0994,11.3322,9.5738,12.1718,6.2482,10.9305,8.6328,8.4959,7.8691,6.4077,7.8484,10.819,11.746,10.8712
10.9237,8.298,10.4419,10.07,6.5363,8.9755,7.5397,4.0967,12.5265,6.3483,6.6811,9.3462,8.2442,11.1963,9.1708,8.5547,7.21,8.2796,9.6279,11.4935,11.6219,9.7673,12.7417,9.2378,8.0042,7.7872,7.5548,10.4844,9.3246,10.8739,9.5913,7.7405,8.5272,4.4798,6.7377,7.5563,4.3544,6.973,7.9394,8.2676,9.6884,6.7644,5.206,4.3153,7.6342,5.4907,4.968,5.1665,5.1583,6.6924,10.0559,9.2172,8.666
12.236,7.4006,7.7955,10.547,6.97,9.5377,8.112,6.9437,10.07,6.2059,8.6469,8.4169,8.6426,11.4679,10.2023,10.1865,6.7217,7.386,9.4973,12.1488,11.7843,11.6125,11.835,10.7937,10.7336,8.7991,7.972,14.8134,14.0599,8.7949,8.561,9.3575,7.6882,10.4302,12.0679,8.8728,10.3597,9.9525,9.4935,9.3982,11.2288,9.7428,7.8392,8.5968,12.3505,9.3099,6.7808,6.0367,6.9298,7.8299,11.5049,11.7375,10.8978
10.7914,8.6287,6.9254,10.3318,7.0566,8.5738,7.6991,7.0096,6.7997,7.2502,9.0154,8.8014,8.7219,10.4506,9.8213,9.6642,5.2918,7.4636,9.9771,10.6289,10.7031,10.0094,12.5208,9.5448,7.2536,7.5477,8.8592,11.6542,10.5307,10.157,9.3184,7.6207,10.4046,4.6028,8.3612,5.9053,4.4654,6.186,7.5646,8.8727,10.2665,5.6988,7.8626,3.8745,5.6522,3.7984,5.4711,2.3261,7.3472,8.0063,10.7381,11.1164,8.2167
12.2148,7.8514,6.9006,11.031,7.705,8.9139,8.6755,7.7324,7.2788,7.3908,8.7886,9.4431,9.2287,10.591,9.9841,7.2756,7.817,5.2392,11.0912,13.4127,11.4205,11.0309,13.3677,9.6798,5.4207,8.0323,7.9835,9.9053,9.8291,9.924,9.1594,8.4185,8.579,8.7041,11.0286,4.3817,7.6664,10.9297,9.4844,9.3775,10.1735,11.1445,9.5217,6.451,8.8267,7.6883,7.8373,4.6947,8.6548,8.9328,9.9887,11.3612,9.2572
