"1007_s_at","1053_at","117_at","121_at","1255_g_at","1294_at","1316_at","1320_at","1405_i_at","1431_at","1438_at","1487_at","1494_f_at","1598_g_at","160020_at","1729_at","1773_at","177_at","179_at","200670_at","200711_s_at","200810_s_at","201231_s_at","201413_at","201508_at","201826_s_at","201983_s_at","202088_at","202089_s_at","202504_at","202641_at","203144_s_at","203256_at","203628_at","203963_at","204497_at","204508_s_at","204667_at","204798_at","204863_s_at","204881_s_at","205009_at","205066_s_at","205186_at","205225_at","205471_s_at","205696_s_at","205862_at","206754_s_at","207038_at","208615_s_at","208682_s_at","209602_s_at"
12.444,8.3774,6.7866,10.2851,5.9064,8.3767,8.0356,6.6745,6.2325,6.845,7.5774,9.308,8.5992,10.6707,9.2059,9.3933,7.5473,6.7956,10.0408,13.743,11.7183,11.3835,12.0096,11.7633,10.8379,9.5482,7.384,14.6123,14.1629,8.529,10.1932,8.2782,6.3335,10.7755,12.0638,9.511,10.1763,10.7544,10.6744,9.9978,10.5478,13.285,11.4135,8.4455,13.0759,10.0126,11.6168,8.6098,12.4854,8.6291,10.2986,12.3746,11.1535
12.2005,7.8592,8.0963,10.4624,4.9582,9.2973,7.0581,6.4607,6.9047,5.8878,9.8562,8.8356,8.3173,10.0085,9.2157,9.2443,7.3025,6.684,10.4239,14.3317,11.5833,11.6389,12.1479,10.974,8.8812,10.1227,5.7702,14.9213,14.5094,7.7484,9.7208,9.3791,4.136,9.841,11.3553,8.667,9.3275,11.4451,10.9593,11.6873,10.7098,14.4107,10.7974,8.7276,13.7616,8.2965,9.5737,8.0994,10.5188,9.5709,11.7025,13.0787,10.8437
12.6709,8.6762,7.4812,10.1887,5.2332,9.1721,8.6061,7.0932,6.594,5.6843,7.4038,9.5398,8.7748,9.9406,8.897,9.0806,7.0802,6.4462,9.9977,13.0244,12.075,10.4619,11.5763,10.6308,12.8232,10.5279,4.1164,12.9683,11.7586,8.3929,10.1136,7.1955,5.8238,9.4169,12.3832,10.3678,9.92,10.7541,9.6387,9.4441,11.3727,14.7836,10.1259,9.0776,12.736,7.572,7.26,7.6469,11.6232,9.3182,10.063,11.2795,10.7019
11.6619,8.2557,7.9923,10.7705,6.3296,9.3777,8.4776,6.5878,6.0877,6.5169,7.4714,8.8494,8.8505,10.512,9.4253,9.414,7.0293,6.9435,10.127,13.2671,12.5628,11.0806,11.9737,10.312,10.5551,8.6672,5.9298,12.8995,10.9894,7.298,10.0578,8.0277,6.2721,10.7668,10.9812,9.777,8.9128,11.7258,10.0923,10.0412,12.5652,12.0603,8.628,8.8498,13.8228,7.8209,9.1864,9.0361,7.5591,10.1055,11.1455,11.8144,11.6447
11.8397,8.7971,7.8321,10.2869,5.8389,7.0841,7.3419,7.3167,6.3456,6.1708,6.7615,9.5443,8.5802,9.4923,8.5881,8.5444,7.5938,6.3481,10.3105,12.3837,11.4768,11.4206,13.1727,10.0372,7.9346,7.4529,11.4353,12.502,11.5502,8.3122,8.5456,7.4613,6.0571,6.2417,8.7607,7.4353,4.8606,10.4327,6.7612,7.8701,10.5552,6.9898,6.9272,3.9807,8.3607,3.2426,5.4854,7.6014,14.788,6.1483,9.6248,9.7605,7.3628
11.4081,8.3247,8.1169,10.8844,6.8532,9.4201,8.3028,6.8949,9.7756,6.4111,8.8939,8.716,8.9548,10.4357,9.9375,8.4872,7.1387,7.1142,10.1789,11.1781,10.1212,10.1562,13.8519,9.8207,8.9197,8.0211,9.8128,11.1754,9.8817,9.342,8.7381,8.2302,10.3489,8.1707,8.3969,4.0924,4.5569,8.1274,8.4969,8.1947,9.4855,7.1037,5.9141,4.8543,8.9998,6.506,6.2546,5.6895,7.6447,4.4582,10.2771,8.3875,8.1069
12.5829,8.9015,6.6237,10.3222,6.313,8.5314,7.3125,4.1054,7.9978,5.6377,9.0028,8.8596,8.1327,9.9233,9.1738,8.4804,7.092,5.7688,9.7673,13.0751,11.593,10.6599,11.5745,11.0842,12.4373,9.1485,4.8425,14.1768,13.4754,7.3216,9.3674,8.5942,3.3557,11.3913,8.2397,9.738,6.4544,11.3383,8.7497,9.7687,11.0751,13.5421,10.3102,8.2436,12.8445,9.8705,8.9067,9.8265,10.5207,9.5136,12.6674,12.0966,10.3437
12.1237,8.7101,7.8795,10.6651,6.3526,8.2374,7.7251,5.5228,7.767,6.8468,9.4647,9.1667,8.7768,10.673,9.5315,9.9043,7.0234,7.5547,10.1812,13.2455,10.6656,10.6078,13.7265,9.6725,7.8042,7.2985,8.9286,11.4306,10.4048,8.7719,8.7973,7.97,11.2236,6.8459,9.4002,7.8257,4.723,10.3575,8.8655,7.7218,9.6288,7.5852,7.921,3.7817,8.974,1.9733,5.6929,6.0514,7.3345,7.1903,10.6369,11.1263,7.5764
11.098,9.7493,6.7152,10.47,6.1595,8.0962,6.8715,6.9222,7.483,5.4643,10.8205,9.3896,8.0811,9.6419,9.9715,8.5169,7.257,6.4663,9.9543,11.2333,9.4162,8.6671,12.7234,9.3934,6.5621,8.0858,10.6618,11.5128,10.5191,11.1594,9.0609,5.9551,8.7885,8.0509,6.9433,2.6283,3.7788,6.2656,8.5885,6.9864,9.7419,7.5176,6.031,4.5827,7.0561,2.5314,5.3717,0.6249,6.8551,6.7795,8.9061,9.1876,6.6175
12.4537,7.5118,8.2514,10.8806,5.7161,8.3944,8.1207,7.2478,9.2592,7.0132,8.4017,9.3634,9.8401,10.3967,10.0787,6.9976,7.988,5.7626,11.9394,13.3596,11.1588,10.3807,12.5452,10.7038,10.4527,8.5378,6.7225,12.9006,11.262,7.8599,9.0482,8.6326,6.2689,10.2676,11.2113,9.2042,8.4624,10.8874,9.079,8.3642,9.6794,13.5271,9.9437,9.1483,11.8396,8.2579,7.3541,7.6694,12.5394,8.3767,10.132,10.3644,10.1296
11.1349,7.6111,8.7835,11.1829,6.7063,9.6152,8.0528,7.6256,10.7755,6.8954,7.1327,9.4504,9.6148,10.2857,9.7649,8.603,7.4258,7.6221,11.1939,12.3825,10.9213,10.4137,12.4348,10.7947,7.6511,8.0289,6.5064,13.8576,12.7289,7.696,10.1751,7.1356,5.298,8.7482,10.975,6.6208,9.0767,10.4686,10.143,8.8275,10.2045,11.8091,10.5457,5.0897,12.4562,7.3443,6.3237,4.9057,7.9484,8.5858,10.6066,10.1621,9.9895
11.8757,8.0035,8.1103,10.6567,5.7084,8.7424,7.2557,5.0792,7.1722,5.6942,8.1523,9.4601,8.8981,11.1904,9.5604,8.5714,6.9379,7.3482,10.9024,12.4868,10.9101,11.411,13.2441,9.3608,10.7154,8.4006,8.0534,14.5652,13.5852,8.3898,8.2598,8.4113,5.3675,11.4914,10.7894,8.0519,8.8618,10.6073,10.2502,7.4494,10.518,14.9576,9.8027,9.6047,12.2024,9.3403,9.9414,10.0934,9.1798,6.5963,10.286,10.0764,10.9835
12.6326,8.3098,7.4773,10.4499,6.2087,8.9361,8.2354,6.9086,7.8135,6.3751,9.0223,9.147,8.7184,9.9515,9.6527,9.3843,5.7332,7.7427,10.439,11.8229,10.6279,10.6014,13.6562,9.8636,7.5828,6.547,9.9087,11.6836,10.383,9.3058,8.8785,8.6762,11.2289,7.6174,9.2444,5.0599,7.2568,10.4597,10.4383,8.1566,9.7463,7.2508,9.9454,7.7007,7.987,6.3103,6.4253,6.5143,5.6576,7.9957,10.1399,10.0106,9.1959
12.5807,8.0104,7.5885,10.1383,6.7935,9.2063,8.0392,5.0627,8.2889,6.2767,8.3341,9.2451,8.7851,10.0506,9.734,9.7469,5.4319,6.6881,9.9532,13.4083,11.5194,11.4166,12.496,10.7594,9.3184,8.707,7.1925,12.932,11.4773,8.34,10.3316,7.038,6.5259,8.2848,10.8107,8.1686,8.201,10.0623,9.267,9.0422,9.4684,12.0302,9.4017,7.1989,10.1026,8.0246,5.1879,6.6643,7.2889,8.1231,11.9404,10.27,10.1162
12.4304,7.6919,8.0937,10.1545,5.2033,8.8423,8.6325,6.1289,9.7141,6.2651,9.7055,8.6808,8.6243,9.7571,8.9612,9.7308,7.7353,6.1512,10.5991,12.7,11.2241,11.0955,12.7404,10.115,8.6862,7.8528,7.5673,11.4543,10.0365,8.0755,9.0481,8.8872,7.4434,6.3248,10.3061,7.9966,8.4555,10.4928,9.2567,8.9011,10.1392,11.2714,7.9378,5.4326,8.0999,7.9268,6.1162,6.7538,7.9678,9.2714,10.1571,11.0808,9.2392
11.9454,7.4614,8.4695,10.7476,4.7954,8.6858,7.9473,4.9733,9.1354,7.0174,7.0581,9.644,8.919,10.5439,10.0771,9.5098,7.1117,7.8706,10.2799,12.9337,10.6132,10.8907,12.7571,9.074,8.6876,6.2288,8.2242,11.3805,10.3296,9.0314,9.0765,7.8435,11.1149,7.8213,9.284,6.8246,5.8544,10.0668,6.3344,7.5339,9.2502,4.2927,8.9509,4.9106,8.5567,6.5562,2.4784,4.3118,5.7934,7.2436,9.8009,10.3881,8.8079
