"1053_at","117_at","201555_at","201798_s_at","202683_s_at","202752_x_at","204681_s_at","204825_at","205225_at","205347_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208712_at","208893_s_at","212583_at","216092_s_at","218862_at","220034_at","Class"
7.0781,7.5017,9.9499,10.8345,8.8732,10.5848,8.7098,7.9851,13.8754,8.3232,5.2933,5.445,8.7696,10.6463,8.8319,10.8225,7.6049,7.5912,10.6963,10.4625,6.6028,"2"
7.6011,7.3458,9.6616,11.4169,8.5511,9.6482,8.1223,5.2744,11.7217,7.4873,4.3142,6.3482,7.055,8.2532,9.8519,9.8721,8.9154,7.5112,9.378,9.8143,5.8614,"1"
7.4696,8.3759,9.4638,10.0144,8.5826,8.3822,7.5006,5.9481,10.996,8.2573,4.524,6.0619,6.8984,7.4477,9.3521,10.2362,9.1121,4.692,9.384,9.3484,7.916,"2"
7.9643,6.7908,9.6843,11.7944,8.7651,9.1937,8.4397,7.2743,13.1709,7.4642,5.6629,6.4097,10.1242,10.3491,9.0844,10.4438,4.9278,7.4438,10.1166,9.9697,3.0669,"2"
7.6576,9.9053,9.5383,9.7407,8.885,7.4536,6.8744,7.7976,11.3564,8.1481,7.2584,7.7306,7.6511,8.0488,8.4021,9.8693,9.1944,7.005,7.8887,9.1053,7.0706,"2"
8.1655,7.6081,10.1847,10.0696,8.7421,8.8991,6.9657,8.8661,8.2567,8.4326,8.1876,4.4014,7.4822,4.3977,9.681,10.6871,8.9311,6.4889,9.1651,9.3359,6.2262,"1"
7.9101,8.9351,8.9335,10.6966,9.1022,10.1328,6.3186,7.4989,11.7448,7.368,7.1276,5.2843,9.5151,10.9757,8.5916,11.5095,4.5641,7.2498,9.9279,10.8368,3.6442,"2"
8.6648,7.8527,10.8099,10.3963,8.705,7.5,7.128,10.8174,8.4923,9.4141,4.2758,4.4349,1.6942,5.6453,8.8679,11.2323,5.9741,3.837,7.631,8.5617,6.1997,"2"
8.1352,7.8096,10.6846,11.4664,8.9567,8.6182,5.7255,11.3633,8.22,6.9553,4.8917,4.1782,5.2208,4.8202,8.8598,10.552,7.3218,3.8535,9.2011,8.7449,3.9349,"2"
7.6247,7.1587,9.4622,10.2514,7.9078,9.8436,8.0388,7.7172,13.3314,8.2267,8.5642,6.0803,7.3974,11.0537,9.2278,9.4446,5.1121,8.4906,10.0632,10.5702,6.3171,"2"
8.9005,7.5754,10.2953,10.0933,8.6115,7.0567,6.9664,10.7267,7.3225,9.4939,6.9006,4.5127,4.42,4.7161,8.1283,9.0662,3.7827,6.0959,7.8574,9.988,6.3385,"2"
7.647,9.4074,9.9562,10.2031,9.3272,8.3089,6.1453,7.478,10.5792,8.1364,4.5409,6.7532,7.0115,7.238,9.931,9.2055,7.6142,5.6577,9.7508,9.6389,4.8138,"2"
8.9507,7.8502,10.168,12.7426,8.635,7.0159,8.5195,10.8804,10.5622,7.5671,1.7593,3.0293,9.8675,3.65,8.6945,8.4912,4.7939,4.2233,7.9543,7.1632,3.2631,"2"
8.0982,8.3035,9.9726,9.716,8.1599,10.5986,7.4677,8.6607,13.3712,8.323,6.0129,3.9041,5.8204,9.5991,9.2531,9.9347,4.5708,7.179,10.7211,10.185,3.5877,"2"
7.8371,7.9844,10.065,11.3602,8.3325,9.4481,7.9681,6.766,12.4182,7.0496,9.9627,5.8034,7.5517,8.8056,9.4525,9.726,7.8242,7.4363,9.9597,9.5749,6.3822,"2"
8.3329,8.1751,10.1748,10.8728,8.6214,7.3301,9.7549,9.7675,8.3408,11.4922,2.9505,3.5526,6.7371,7.5217,8.6802,9.9102,10.5707,6.4616,8.1195,8.5396,7.9476,"1"
8.3937,8.1448,10.1409,11.3515,9.4828,8.6561,6.7336,9.8635,13.0582,9.0497,7.1801,3.908,6.849,9.4601,9.5551,10.4318,5.88,5.8374,9.8092,10.3279,6.3279,"2"
6.841,8.4572,9.7696,10.615,9.2349,9.949,6.5078,5.131,11.1112,8.4444,7.0996,6.9308,7.1388,6.5679,8.6223,9.2862,8.3351,7.48,9.7664,8.9251,5.6253,"2"
8.6071,7.4646,9.7629,11.1479,9.5725,9.729,8.1432,9.5011,8.3414,11.7702,7.302,4.1376,7.2829,7.9526,9.0472,9.9431,9.1135,6.5584,9.5203,10.1516,3.8067,"2"
5.7879,8.5336,10.3438,8.4884,9.28,7.408,8.2574,7.7534,10.9402,8.6552,3.7231,6.2246,6.8361,5.6745,9.1214,8.0228,5.9221,8.2812,8.4435,8.4966,4.7716,"2"
8.7986,7.6671,10.2161,11.61,8.2933,7.8698,8.8303,10.4037,8.4434,9.4055,7.4311,3.6381,6.3994,7.6048,8.9399,9.8512,9.6461,6.5729,8.2704,9.5559,7.2052,"2"
8.8164,8.9842,10.1697,11.0205,9.1473,8.3975,7.9567,10.9307,8.7318,8.6184,2.7854,6.2403,6.8826,6.7645,8.6684,10.7242,5.7518,5.4214,8.8652,9.3135,5.5839,"2"
8.1883,8.4065,10.5388,10.036,8.0626,10.0704,6.5332,9.8896,8.3963,11.1825,3.0531,6.5406,4.4021,7.6486,9.5982,7.8191,5.6327,6.5685,10.2043,9.5703,3.9087,"2"
8.0052,7.2505,10.1804,11.8889,8.5283,10.6588,7.121,7.5225,12.5963,7.5318,8.4969,5.4808,8.0925,10.4524,9.5689,11.0693,6.4512,6.3768,10.5386,10.1788,3.7542,"2"
7.6044,7.7339,9.7414,12.2816,8.8818,9.9604,6.2496,8.6405,11.8094,8.4553,8.0966,6.4894,9.7937,10.3261,9.4933,10.5058,6.6187,7.135,9.5736,9.9468,5.4664,"2"
8.2015,9.2606,10.6784,9.7424,8.8102,8.029,6.5775,9.3761,9.5325,10.6108,3.6195,8.0514,7.7493,5.5532,8.9333,7.8496,6.1241,8.618,7.1506,8.5661,6.3491,"1"
7.8253,8.07,10.2872,11.9984,8.8178,10.3167,7.3132,7.913,13.2295,7.2527,3.0033,2.8618,7.851,10.2809,10.044,10.2195,4.9612,7.9168,9.7678,11.0592,4.9938,"2"
4.913,8.4845,9.971,9.8081,8.9657,7.5655,5.7637,8.266,9.8211,9.2081,6.3255,5.4719,7.4201,5.4465,8.916,9.4998,6.3888,6.9489,8.9952,9.8295,5.7662,"2"
9.2408,8.9309,11.3858,7.0468,9.5847,7.3833,8.0617,10.5696,8.0818,13.0719,3.4543,7.662,9.2661,8.1006,9.2633,4.815,4.5178,6.4832,8.0624,9.2716,6.4577,"2"
8.1488,8.3088,11.2473,10.0082,9.396,6.5974,7.4295,9.7544,8.2941,11.7092,10.6102,3.3061,6.3116,6.1902,8.3582,10.0978,5.5881,6.6063,8.2192,8.9443,3.0671,"1"
8.145,7.5542,9.7646,11.5924,8.2116,8.9494,7.7176,7.4019,10.7936,7.812,8.0656,3.7318,5.4072,7.7088,9.6738,9.5612,9.344,6.6527,9.2433,9.2129,3.1203,"2"
8.6772,8.4128,9.3936,10.8719,8.9714,9.8494,9.6798,8.5758,10.5265,10.1821,4.8122,5.6378,7.8192,8.3359,9.0088,9.8615,8.6112,6.9528,9.3554,9.1257,7.8498,"2"
7.6784,9.1484,9.8132,10.3543,9.7897,9.335,5.8246,7.8682,10.9363,8.918,5.0795,6.7129,8.0249,9.4683,9.1828,9.5833,6.4709,7.0073,9.69,8.6907,5.7527,"2"
7.816,6.7201,9.6172,11.5754,9.2809,11.0494,7.9062,3.7292,12.3623,7.8133,11.213,6.8895,6.2977,10.4172,10.25,10.5873,7.1348,6.671,10.8367,10.3078,2.8298,"2"
7.323,8.6958,9.7439,10.1174,9.3533,7.2836,4.5705,8.4215,7.7249,8.8313,8.0019,6.4521,6.2541,5.015,8.021,8.9647,8.4683,4.685,8.1451,8.8767,9.6403,"1"
8.1039,8.2509,11.7024,11.3508,8.8077,8.3719,7.9715,10.3916,8.8049,10.1961,9.4825,6.8028,5.4322,6.9606,8.2877,10.0783,5.187,4.5616,8.4804,9.2949,3.2815,"2"
8.588,8.1537,10.7528,10.9393,8.5953,10.3289,7.3964,9.3481,10.9305,7.482,8.415,5.3719,6.4746,10.2361,9.5458,10.7438,5.0588,5.7282,10.34,8.0836,6.4394,"2"
8.298,10.4419,10.5929,9.6336,8.404,8.4993,6.3313,10.0711,7.6342,8.039,6.111,6.5476,5.4014,6.6248,8.8484,8.554,4.7105,4.8408,7.9836,10.5588,3.5253,"2"
7.4006,7.7955,9.6352,10.8833,9.0844,10.8201,7.7688,7.7212,12.3505,7.4232,9.9134,5.2005,6.1665,7.4732,9.5123,10.5869,4.5759,7.3189,10.6483,10.2965,5.8261,"2"
8.6287,6.9254,10.6535,10.3727,8.7151,9.3299,8.6893,10.9925,5.6522,11.9017,4.6767,5.503,6.4517,8.231,9.0311,8.3566,6.5023,6.1067,8.5319,10.0204,6.1252,"1"
