"1053_at","117_at","201555_at","201798_s_at","202683_s_at","202752_x_at","204681_s_at","204825_at","205225_at","205347_s_at","205713_s_at","205751_at","205830_at","206401_s_at","208670_s_at","208712_at","208893_s_at","212583_at","216092_s_at","218862_at","220034_at","Class"
8.3774,6.7866,9.9323,11.6423,8.8393,10.4999,7.5046,8.9393,13.0759,7.7184,10.0607,5.3569,9.0445,9.9796,8.6539,10.9476,4.0949,6.8476,10.4159,9.8843,5.4109,"2"
7.8592,8.0963,9.5628,10.3129,8.403,9.5892,8.7229,7.7652,13.7616,7.0526,5.6228,3.7733,9.6145,9.9498,9.5953,11.4622,9.2703,6.8369,9.7648,10.0105,3.3392,"2"
8.6762,7.4812,10.3905,11.6751,8.3998,7.9944,6.9584,9.9136,12.736,7.7606,6.8404,2.5009,7.0195,6.0807,9.8134,10.4996,3.9487,7.3452,8.3641,9.0597,3.2968,"2"
8.2557,7.9923,9.9835,11.4294,8.9744,9.3002,8.1004,7.8512,13.8228,8.0866,8.2024,5.2106,6.7935,9.8246,10.038,13.0262,4.3284,7.2258,9.238,10.6561,3.8404,"2"
8.7971,7.8321,9.5863,10.0032,8.4538,10.0062,7.1537,8.4941,8.3607,10.5395,6.8347,6.0642,8.8145,8.0434,8.4332,9.7857,10.3095,6.2601,10.2053,9.6055,5.6506,"2"
8.3247,8.1169,10.3386,10.5408,9.4016,6.3413,7.8137,10.9794,8.9998,8.4795,8.1942,3.4831,5.361,4.769,8.6756,8.3613,5.8892,7.3569,8.1508,10.075,3.3179,"2"
8.9015,6.6237,10.4524,8.9924,9.7909,9.9831,7.1449,9.8705,12.8445,6.2612,7.0472,5.725,9.9543,11.0283,9.5763,13.6003,3.6371,6.8498,9.6239,9.7821,4.0787,"2"
8.7101,7.8795,10.5008,10.8613,9.0328,7.0448,8.9673,9.0508,8.974,8.9707,2.9658,4.3357,6.5688,4.7644,8.9406,10.4494,11.1258,7.4705,8.5252,9.391,7.2388,"1"
9.7493,6.7152,11.3817,9.2545,10.4127,5.6576,7.8364,10.8534,7.0561,8.8407,2.1007,3.4105,4.444,5.1325,8.3964,11.8446,4.7234,4.0685,7.1425,9.1734,5.3598,"1"
7.5118,8.2514,10.4359,9.7191,9.4545,9.366,7.2983,9.4226,11.8396,7.2364,4.0569,4.9076,8.8458,8.4264,8.2917,11.0309,4.1559,8.1072,9.8262,9.557,4.3648,"2"
7.6111,8.7835,10.1897,9.9683,8.5682,9.6143,5.6522,8.2958,12.4562,7.4083,7.5548,4.6883,3.2755,8.618,9.253,9.5579,9.3808,6.9287,9.5618,8.7606,6.5528,"2"
8.0035,8.1103,11.135,9.3501,8.6604,7.8453,8.1933,10.2055,12.2024,10.0071,6.3082,2.1806,6.2579,8.3769,8.1136,12.6188,5.0468,4.4384,8.7275,10.035,6.1829,"1"
8.3098,7.4773,10.5686,10.704,8.7974,9.5588,9.3327,9.0139,7.987,9.2506,8.4364,3.8238,7.3116,8.0774,8.6673,10.7266,9.6696,7.7082,9.7697,8.6279,6.5667,"2"
8.0104,7.5885,10.2337,9.4685,9.1983,8.6227,8.3981,8.9473,10.1026,6.3837,9.5474,4.0047,6.9799,6.4595,8.5376,12.8134,10.688,5.3406,8.8687,7.9186,3.5997,"1"
7.6919,8.0937,10.2255,9.6554,8.9442,7.3543,7.525,9.3343,8.0999,7.2145,6.7426,4.4955,7.261,4.9002,8.8444,10.8236,11.2491,5.9449,8.2961,6.1713,4.0618,"1"
7.4614,8.4695,9.3428,10.9245,8.9176,8.44,8.3388,10.0021,8.5567,8.9599,9.596,6.4841,4.9777,8.9199,7.3558,8.7205,4.9197,7.2319,9.0413,9.0809,6.7558,"2"
7.9201,6.207,11.5675,11.1908,9.0899,8.2057,9.0957,11.4325,10.7157,8.1346,3.8133,5.8432,8.7999,8.3074,8.4846,8.0605,4.5694,7.547,8.8514,9.3209,5.9786,"1"
7.6548,9.1468,10.2344,10.4369,9.248,7.6628,6.7644,10.7551,8.5834,9.6133,3.6812,6.6251,6.9349,7.585,8.6838,9.8031,6.339,7.5022,8.957,9.8252,4.4349,"2"
8.7641,6.7698,10.9565,10.8567,8.7792,8.83,6.3047,10.1406,12.8623,7.3622,2.9578,5.8076,6.0788,9.7653,8.1874,10.8215,4.4572,4.6239,8.8968,11.6778,2.6589,"2"
8.3111,8.0799,10.2032,11.7043,8.5043,10.1393,8.2889,7.9566,13.764,7.5825,4.1856,4.9222,8.0772,10.7203,9.7715,9.6503,7.7039,7.6018,10.1147,9.5801,4.052,"2"
8.4282,8.3729,10.6043,12.4564,8.8928,10.5295,8.6237,9.0227,11.444,7.7381,2.8687,6.6194,5.3742,7.6448,9.7065,12.2449,4.5745,6.5478,10.1453,10.3149,5.8878,"2"
8.9391,7.882,10.179,10.3349,9.0843,9.5933,8.0483,10.1624,7.4728,10.6476,1.9372,3.4495,6.0438,5.5551,7.9681,9.5906,11.3159,6.2444,9.2462,8.7312,3.401,"1"
