"205225_at","209603_at","209604_s_at","212956_at","Class"
13.8754,11.979,15.0625,13.5201,"2"
11.7217,10.8744,14.4978,12.548,"1"
10.996,8.0211,12.4583,11.2917,"2"
13.1709,12.1921,15.2538,13.9589,"2"
11.3564,8.9641,12.94,11.3302,"2"
8.2567,8.8958,13.0091,10.8964,"1"
11.7448,8.8227,12.9271,13.9103,"2"
8.4923,7.869,10.0815,7.2301,"2"
8.22,5.384,10.4132,9.6518,"1"
13.3314,10.6131,14.2407,12.8768,"2"
7.3225,7.8765,11.5877,9.5513,"1"
10.5792,9.942,13.5929,10.8375,"2"
10.5622,4.1991,8.6007,9.0847,"2"
13.3712,10.4073,13.8736,11.4833,"2"
12.4182,10.3235,13.9525,13.0667,"2"
8.3408,7.6337,11.1446,9.9522,"1"
13.0582,10.7095,14.0451,13.1867,"2"
11.1112,10.4716,14.2077,12.6923,"2"
8.3414,8.3591,11.8983,11.046,"2"
10.9402,8.3425,12.0589,10.4459,"2"
8.4434,7.8074,11.6384,10.7341,"2"
8.7318,7.9237,11.3765,9.7123,"1"
8.3963,8.2396,11.8763,9.4395,"1"
12.5963,10.448,14.3791,13.5241,"2"
11.8094,11.5412,14.6664,12.4003,"2"
9.5325,8.5502,11.2533,9.5156,"1"
13.2295,11.2723,14.6063,13.3231,"2"
9.8211,8.0455,11.8927,9.7818,"1"
8.0818,3.262,9.0602,10.2891,"2"
8.2941,6.7032,9.8569,9.4854,"1"
10.7936,9.9565,13.3907,12.3283,"1"
10.5265,8.3648,11.6264,10.6652,"1"
10.9363,9.4729,13.6854,11.7619,"2"
12.3623,11.2154,14.3026,13.7027,"2"
7.7249,6.819,10.0601,8.6748,"1"
8.8049,8.2934,12.4318,9.8927,"1"
10.9305,10.2029,14.2924,13.6215,"2"
7.6342,8.1925,11.803,9.1482,"1"
12.3505,11.2649,14.2572,13.7271,"2"
5.6522,8.8613,11.6091,9.7463,"1"
8.8267,8.69,12.2612,11.4818,"1"
13.2534,10.7143,14.4516,12.0823,"2"
8.2067,6.3456,9.323,8.2743,"1"
11.2609,10.454,13.8873,12.12,"2"
13.2832,12.1875,15.0499,12.9248,"2"
11.7827,9.8295,12.857,11.1322,"2"
8.3335,6.7513,10.9505,9.0008,"1"
8.3603,8.5707,12.9642,9.5846,"1"
8.9474,7.8886,11.1661,10.3331,"1"
7.5993,4.2335,8.4591,8.2055,"1"
12.0116,10.985,14.4863,13.3762,"2"
13.5384,10.4355,14.0091,13.0526,"2"
10.3875,9.0036,12.7246,10.7508,"1"
11.8833,10.3411,14.1508,11.8967,"2"
12.7416,10.6374,13.903,12.0272,"2"
8.3177,8.07,11.9822,9.3578,"1"
7.5472,6.4117,10.0502,8.7783,"1"
8.1155,6.8301,10.4376,9.5652,"1"
7.6352,4.5568,8.647,8.6382,"1"
12.7813,11.0723,14.6049,12.9626,"2"
8.1508,6.0447,9.2359,8.4697,"1"
13.5231,11.3949,14.6885,12.9057,"2"
10.1043,9.5043,13.4794,10.9192,"2"
12.7246,12.7051,14.8864,14.0948,"2"
8.3319,9.3373,12.9919,10.3159,"1"
10.8645,9.5157,14.0646,11.6761,"2"
8.744,5.7116,10.9437,8.8847,"1"
12.8959,12.5287,14.8459,12.6705,"1"
9.0738,7.8664,11.9892,9.2594,"1"
8.9677,7.5786,9.7365,9.6087,"1"
12.9696,11.8311,14.639,13.312,"2"
12.6311,11.2871,14.6195,12.2282,"1"
13.8544,10.8398,14.0292,13.6781,"2"
13.5618,10.7851,14.4498,12.3461,"2"
7.8646,5.5279,10.3847,9.0089,"1"
11.5611,10.2249,13.9413,12.0361,"2"
12.3547,10.4605,14.3246,12.7646,"2"
7.3536,8.0759,11.2951,8.1965,"1"
8.1917,5.7232,10.5017,8.736,"1"
13.2489,9.9662,13.7316,11.845,"2"
8.9833,8.1141,11.9141,10.8705,"2"
13.0124,12.5177,15.222,13.3811,"2"
8.5951,7.9319,11.3661,10.0212,"1"
13.0147,10.8802,14.1921,13.1573,"2"
12.4514,11.7911,14.4429,13.6726,"2"
13.1648,11.4665,14.8381,12.805,"2"
7.2934,6.9991,10.9706,8.1995,"1"
11.514,11.5206,14.6411,13.3285,"2"
10.5752,9.374,13.0389,12.0188,"2"
12.9474,11.0125,14.4864,12.5319,"2"
12.5366,10.4784,13.9689,12.3395,"2"
12.2221,10.0836,13.8432,12.829,"2"
13.6248,11.1768,14.191,13.6042,"2"
11.4629,10.2244,13.8913,11.8887,"2"
12.0708,9.932,13.8067,11.2556,"2"
11.3971,10.9843,14.3569,12.8832,"2"
13.2511,10.7429,14.808,11.7287,"2"
12.1679,11.1496,14.0629,12.2949,"2"
11.8665,10.415,14.0113,13.1773,"2"
12.3368,9.9737,13.6365,12.7605,"2"
