"205225_at","209603_at","209604_s_at","212956_at","Class"
13.0759,10.5793,14.3763,13.36,"2"
13.7616,10.5772,14.0214,13.2925,"2"
12.736,11.1181,14.5222,12.3582,"2"
13.8228,12.3437,14.9144,13.1325,"2"
8.3607,7.7225,10.8821,10.8038,"1"
8.9998,8.4591,12.2287,8.3545,"1"
12.8445,10.5914,13.3798,13.433,"2"
8.974,7.356,11.0112,10.0088,"1"
7.0561,6.6269,9.7734,8.9243,"1"
11.8396,10.2397,14.1152,11.8889,"2"
12.4562,10.0288,14.088,12.4273,"2"
12.2024,10.9478,14.6333,12.4745,"2"
7.987,8.886,13.2361,10.9061,"1"
10.1026,10.1557,14.1058,10.9066,"1"
8.0999,9.0275,12.722,10.6692,"1"
8.5567,8.4549,12.5708,10.2593,"1"
10.7157,8.9255,12.6522,11.99,"1"
8.5834,8.068,10.8359,8.9875,"1"
12.8623,11.4367,14.664,11.6637,"2"
13.764,10.3884,14.508,13.9558,"2"
11.444,10.9906,14.3534,13.1016,"2"
7.4728,10.4111,13.6927,11.971,"1"
8.4135,7.4519,10.2794,9.7345,"1"
6.8669,7.9928,11.3702,9.3805,"1"
14.2366,11.508,14.4045,13.1174,"2"
13.7238,11.5596,14.3113,13.7972,"2"
11.4232,11.7166,14.7897,13.2411,"2"
11.3391,8.9839,13.169,12.5047,"2"
8.4676,7.8222,12.1343,8.9354,"1"
7.6136,7.5922,11.4554,10.5317,"1"
8.4559,6.7856,10.1851,10.1753,"1"
7.8963,7.3408,10.699,9.7544,"1"
8.15,8.4789,12.1241,9.7492,"1"
12.7341,11.1457,14.3155,12.6052,"2"
12.9117,10.9915,14.9286,12.7904,"2"
13.8611,11.4351,14.3454,13.3609,"2"
11.6071,11.157,14.4465,12.8879,"2"
12.9999,11.0987,14.404,11.3677,"2"
14.1548,11.3986,14.3343,13.2225,"2"
11.7896,10.7427,14.2872,12.177,"2"
13.1663,12.036,14.4551,13.0678,"2"
7.4166,7.7591,11.528,9.2101,"1"
8.6856,5.3853,9.4435,8.8312,"1"
12.0832,10.4631,14.7315,12.2257,"2"
8.1952,7.2157,11.3759,8.6669,"1"
10.719,9.6384,14.1977,10.5998,"1"
12.9374,12.2846,14.8685,13.022,"2"
12.5191,11.2264,14.8729,13.4395,"2"
3.6784,7.164,11.1143,8.8364,"1"
12.0389,11.0791,14.2505,13.5637,"2"
8.2599,7.8118,11.6584,11.359,"1"
13.6226,10.6735,13.9018,12.5382,"2"
10.8245,9.0168,12.9159,11.1295,"2"
7.4097,8.0759,12.7958,9.6608,"1"
13.5035,10.629,13.7334,12.2744,"2"
12.0186,10.7869,14.2651,10.9664,"2"
13.483,11.1849,14.5038,12.3577,"2"
12.1408,10.725,14.5693,11.6939,"2"
12.2749,10.7588,13.8295,12.2083,"2"
7.7153,7.6964,11.0267,9.8368,"1"
13.0559,10.9914,14.3148,12.9762,"2"
14.0098,9.569,13.8379,10.3379,"2"
14.0217,11.3047,14.4673,12.5246,"2"
12.5402,11.802,14.3213,12.7891,"2"
10.9442,11.272,14.8717,9.9531,"2"
7.2509,7.3315,10.5023,7.9427,"1"
7.895,8.0909,11.6816,11.4561,"2"
7.4147,7.3256,9.708,9.2672,"1"
12.2433,10.5622,14.9933,12.6507,"2"
13.2485,11.2837,14.936,12.2621,"2"
10.2287,10.0573,13.3445,11.265,"1"
6.2819,3.7156,8.305,8.7523,"1"
5.8987,9.2016,12.8519,10.4149,"1"
7.3404,5.1312,10.5326,8.948,"1"
11.8458,10.78,14.1947,12.7044,"2"
7.8375,6.9875,9.724,7.7249,"1"
14.1295,11.9385,14.996,13.929,"2"
7.9667,4.6863,7.3236,7.9109,"1"
11.1843,10.4262,14.627,12.7331,"2"
7.2503,10.7034,13.8973,11.2042,"1"
12.9698,11.411,14.4276,12.2626,"2"
11.7818,11.0567,14.5758,11.2163,"2"
7.9329,7.2876,10.2403,9.4619,"1"
10.8334,11.3628,14.2774,12.8769,"2"
12.0949,11.0086,14.3484,11.248,"2"
12.9905,11.2769,14.4267,13.3934,"2"
12.652,10.3587,13.9074,11.6239,"1"
11.202,9.6543,13.6494,12.1265,"2"
8.8311,8.9991,12.9684,9.5934,"1"
8.0794,6.966,9.7665,10.9837,"1"
8.1639,7.8156,12.6122,10.5981,"1"
11.995,10.9685,14.3931,12.9209,"2"
10.2914,9.8598,13.7352,12.2946,"2"
10.0307,9.2359,12.7592,10.3561,"1"
12.9166,12.0863,14.9263,13.6283,"2"
12.2656,10.3972,14.1932,12.3058,"2"
11.8145,10.003,13.2399,11.3646,"2"
3.8104,7.1924,9.582,7.2423,"1"
12.5353,11.7446,14.956,12.9655,"2"
13.422,11.5473,14.674,12.9782,"2"
12.5867,11.8294,14.9417,13.6062,"2"
11.8206,9.5336,13.671,12.5998,"2"
9.17,10.0765,13.839,11.6962,"1"
7.0398,6.457,9.9527,8.976,"1"
9.6024,9.9781,14.0026,13.0948,"2"
11.0475,9.5281,13.3156,10.866,"2"
12.7629,12.4544,15.2349,14.3211,"2"
12.8106,11.9442,14.9183,13.7081,"2"
6.3992,6.7758,10.0017,7.6085,"1"
7.5145,4.6637,10.3415,7.8995,"1"
12.3486,10.8329,14.0905,12.346,"2"
