"201555_at","202683_s_at","203628_at","205229_s_at","205713_s_at","206401_s_at","208893_s_at","214164_x_at","216092_s_at","219051_x_at","Class"
9.9499,8.8732,9.4326,5.2668,5.2933,10.6463,7.6049,12.7392,10.6963,9.5138,"2"
9.6616,8.5511,9.8046,7.1769,4.3142,8.2532,8.9154,10.9092,9.378,5.3641,"1"
9.4638,8.5826,7.9079,6.9284,4.524,7.4477,9.1121,10.6696,9.384,7.1097,"2"
9.6843,8.7651,9.2162,6.9055,5.6629,10.3491,4.9278,12.1329,10.1166,10.3564,"2"
9.5383,8.885,13.8186,4.8938,7.2584,8.0488,9.1944,11.1382,7.8887,9.1484,"2"
10.1847,8.7421,7.5056,4.9654,8.1876,4.3977,8.9311,10.6727,9.1651,9.4738,"1"
8.9335,9.1022,9.906,8.4151,7.1276,10.9757,4.5641,13.092,9.9279,8.4837,"2"
10.8099,8.705,6.8747,4.5725,4.2758,5.6453,5.9741,7.929,7.631,6.9739,"2"
10.6846,8.9567,6.5804,6.0865,4.8917,4.8202,7.3218,8.2914,9.2011,7.7903,"2"
9.4622,7.9078,9.7756,6.9138,8.5642,11.0537,5.1121,11.749,10.0632,9.7552,"2"
10.2953,8.6115,8.2839,8.2921,6.9006,4.7161,3.7827,7.9435,7.8574,9.5693,"2"
9.9562,9.3272,9.0017,7.3219,4.5409,7.238,7.6142,11.2051,9.7508,5.8086,"2"
10.168,8.635,5.2418,6.1828,1.7593,3.65,4.7939,8.3261,7.9543,8.6684,"2"
9.9726,8.1599,9.4664,6.6325,6.0129,9.5991,4.5708,12.5048,10.7211,10.5102,"2"
10.065,8.3325,9.48,5.9372,9.9627,8.8056,7.8242,12.3616,9.9597,9.4369,"2"
10.1748,8.6214,7.4912,6.3203,2.9505,7.5217,10.5707,8.8009,8.1195,8.5262,"1"
10.1409,9.4828,9.6527,5.9751,7.1801,9.4601,5.88,12.4874,9.8092,8.671,"2"
9.7696,9.2349,8.4765,6.9528,7.0996,6.5679,8.3351,11.1489,9.7664,8.4779,"2"
9.7629,9.5725,5.8185,5.8739,7.302,7.9526,9.1135,10.4863,9.5203,10.2026,"2"
10.3438,9.28,6.7312,7.7302,3.7231,5.6745,5.9221,10.2178,8.4435,7.8203,"2"
10.2161,8.2933,6.5279,6.1927,7.4311,7.6048,9.6461,8.621,8.2704,9.6338,"2"
10.1697,9.1473,7.3048,7.5264,2.7854,6.7645,5.7518,10.2349,8.8652,6.1497,"2"
10.5388,8.0626,6.0125,8.0521,3.0531,7.6486,5.6327,9.8033,10.2043,5.826,"2"
10.1804,8.5283,10.1825,5.5413,8.4969,10.4524,6.4512,12.7444,10.5386,8.9293,"2"
9.7414,8.8818,10.3907,6.6512,8.0966,10.3261,6.6187,12.8842,9.5736,8.4213,"2"
10.6784,8.8102,5.1206,6.9183,3.6195,5.5532,6.1241,9.7176,7.1506,7.219,"1"
10.2872,8.8178,10.3884,6.4985,3.0033,10.2809,4.9612,12.8662,9.7678,9.2239,"2"
9.971,8.9657,7.9524,9.2418,6.3255,5.4465,6.3888,10.1881,8.9952,7.3153,"2"
11.3858,9.5847,7.0103,9.1681,3.4543,8.1006,4.5178,8.413,8.0624,6.4161,"2"
11.2473,9.396,8.861,7.7156,10.6102,6.1902,5.5881,9.2377,8.2192,6.0221,"1"
9.7646,8.2116,9.0276,6.9985,8.0656,7.7088,9.344,10.9763,9.2433,7.5877,"2"
9.3936,8.9714,7.4228,6.217,4.8122,8.3359,8.6112,11.2218,9.3554,9.2754,"2"
9.8132,9.7897,9.437,6.4983,5.0795,9.4683,6.4709,11.6355,9.69,8.4996,"2"
9.6172,9.2809,8.6975,6.9902,11.213,10.4172,7.1348,12.7394,10.8367,9.2045,"2"
9.7439,9.3533,7.9236,7.6526,8.0019,5.015,8.4683,8.7381,8.1451,7.9382,"1"
11.7024,8.8077,7.8752,7.7563,9.4825,6.9606,5.187,8.8905,8.4804,6.0709,"2"
10.7528,8.5953,8.7981,6.7533,8.415,10.2361,5.0588,12.1898,10.34,9.7186,"2"
10.5929,8.404,4.4798,9.1308,6.111,6.6248,4.7105,7.9811,7.9836,5.0377,"2"
9.6352,9.0844,10.4302,6.2076,9.9134,7.4732,4.5759,12.8639,10.6483,8.8767,"2"
10.6535,8.7151,4.6028,8.0398,4.6767,8.231,6.5023,8.0736,8.5319,7.2409,"1"
10.1827,9.1852,8.7041,6.7111,7.2639,8.695,9.0735,11.7063,8.5892,8.8326,"2"
10.1311,8.7934,9.1625,7.256,8.723,10.579,4.0993,13.3377,9.8961,9.7309,"2"
10.4069,9.6754,9.0528,7.975,9.4737,5.9527,5.315,8.8348,8.6072,8.6412,"2"
9.9425,8.9794,9.6508,7.2861,8.3146,9.2157,8.6689,11.7129,10.1541,6.5172,"2"
9.9246,9.732,9.4672,7.2516,5.5457,10.3971,7.2983,12.2272,9.9988,9.8967,"2"
10.1045,8.3362,9.1514,7.103,4.8913,9.6402,9.0033,12.2272,8.9726,9.5508,"2"
10.2922,9.1888,7.9267,8.4748,2.7439,7.1881,4.8235,8.3686,7.8557,7.8388,"2"
10.7976,9.5305,8.3347,7.3768,3.5051,7.634,7.1927,8.7879,7.6429,7.729,"2"
9.9193,8.4065,4.0254,5.4621,5.9713,6.5879,6.4955,8.8502,9.0188,8.5538,"2"
11.1067,9.0967,8.5249,6.3084,4.0529,7.4536,4.4449,7.9853,8.3968,7.6614,"2"
10.2627,9.0406,9.8129,4.0896,4.275,9.2329,6.0858,12.3232,10.4383,8.2422,"2"
10.1205,9.126,9.9881,7.5368,4.9142,10.3414,7.2707,13.0942,10.3444,11.4004,"2"
10.5694,9.1328,7.435,7.7206,5.4672,8.8899,9.365,11.0249,9.7632,6.9686,"2"
10.5091,9.7022,12.2986,4.2145,10.2309,8.2523,5.73,13.3745,9.5601,9.2385,"1"
10.4853,8.6979,6.5843,6.6419,2.8616,5.6146,8.4235,11.5067,9.9723,9.5587,"2"
11.7161,9.0326,7.5966,8.2667,8.6929,6.2623,5.9387,8.5633,9.2066,7.6339,"2"
10.7116,8.814,7.1474,4.2233,3.4848,5.1178,4.525,6.9621,7.5665,5.0224,"1"
10.201,9.5662,8.2433,7.5634,4.9832,6.6198,5.2535,8.24,8.732,6.4384,"2"
11.1944,8.8981,7.4085,8.6401,2.5223,9.6811,9.9444,9.8301,8.6512,4.7193,"1"
10.1557,8.4416,10.1112,7.0754,5.0756,10.555,9.7407,12.6498,9.74,9.8744,"2"
10.9253,8.2546,9.5169,10.1872,5.2358,7.5951,4.4128,8.5155,8.8986,7.2025,"1"
10.1983,8.8814,8.5343,6.1234,6.837,8.5435,6.6454,12.3608,10.1036,10.5979,"2"
9.8452,9.0486,9.2725,7.6317,4.0583,5.635,6.9586,10.1159,9.6737,8.7619,"2"
9.1121,8.8423,11.4441,6.8471,7.033,11.0557,5.3078,11.1058,9.5547,10.3458,"2"
9.3665,8.6827,7.0208,6.0145,8.8862,5.6118,4.9031,8.7368,9.7951,10.3458,"2"
11.1404,8.3331,8.8926,7.3455,5.1546,6.085,6.3533,10.4681,8.3089,9.309,"2"
10.4456,9.231,7.9447,7.7528,7.9064,6.5555,5.6931,8.8717,9.4175,6.0894,"2"
10.5987,8.9036,9.4475,6.7416,3.7811,9.4376,5.2135,12.7959,10.3948,10.3727,"2"
10.7568,9.2716,6.9133,6.2023,4.5262,6.8711,4.0775,9.0181,7.7106,8.7068,"2"
