"201555_at","202683_s_at","203628_at","205229_s_at","205713_s_at","206401_s_at","208893_s_at","214164_x_at","216092_s_at","219051_x_at","Class"
9.9323,8.8393,10.7755,6.8695,10.0607,9.9796,4.0949,12.6474,10.4159,8.5236,"2"
9.5628,8.403,9.841,5.4533,5.6228,9.9498,9.2703,11.7852,9.7648,8.9626,"2"
10.3905,8.3998,9.4169,6.2767,6.8404,6.0807,3.9487,12.7464,8.3641,10.7458,"2"
9.9835,8.9744,10.7668,9.4907,8.2024,9.8246,4.3284,10.9562,9.238,9.8755,"2"
9.5863,8.4538,6.2417,6.0549,6.8347,8.0434,10.3095,9.6913,10.2053,9.1537,"2"
10.3386,9.4016,8.1707,7.1627,8.1942,4.769,5.8892,8.7343,8.1508,7.1071,"2"
10.4524,9.7909,11.3913,8.8312,7.0472,11.0283,3.6371,9.2602,9.6239,10.1074,"2"
10.5008,9.0328,6.8459,7.0314,2.9658,4.7644,11.1258,9.7714,8.5252,8.0586,"1"
11.3817,10.4127,8.0509,10.8857,2.1007,5.1325,4.7234,7.4908,7.1425,7.4415,"1"
10.4359,9.4545,10.2676,8.6015,4.0569,8.4264,4.1559,11.6491,9.8262,9.5602,"2"
10.1897,8.5682,8.7482,6.3837,7.5548,8.618,9.3808,11.9349,9.5618,8.3161,"2"
11.135,8.6604,11.4914,10.5185,6.3082,8.3769,5.0468,11.1997,8.7275,9.5219,"1"
10.5686,8.7974,7.6174,5.8487,8.4364,8.0774,9.6696,9.802,9.7697,9.7687,"2"
10.2337,9.1983,8.2848,4.2645,9.5474,6.4595,10.688,10.9737,8.8687,9.7579,"1"
10.2255,8.9442,6.3248,6.9088,6.7426,4.9002,11.2491,10.8545,8.2961,8.348,"1"
9.3428,8.9176,7.8213,6.899,9.596,8.9199,4.9197,10.1915,9.0413,9.2747,"2"
11.5675,9.0899,10.7013,7.1564,3.8133,8.3074,4.5694,10.8192,8.8514,6.883,"1"
10.2344,9.248,6.6642,7.4084,3.6812,7.585,6.339,8.7484,8.957,6.7185,"2"
10.9565,8.7792,9.6999,6.7249,2.9578,9.7653,4.4572,12.8061,8.8968,9.4973,"2"
10.2032,8.5043,10.5476,6.7412,4.1856,10.7203,7.7039,13.1942,10.1147,9.3241,"2"
10.6043,8.8928,10.3318,5.7812,2.8687,7.6448,4.5745,11.9813,10.1453,9.5304,"2"
10.179,9.0843,4.6809,5.8082,1.9372,5.5551,11.3159,9.5298,9.2462,7.5159,"1"
9.7768,8.671,7.168,5.8388,7.2473,8.1616,8.1595,9.7979,11.0201,8.0183,"2"
11.3627,8.4774,8.3783,8.3626,3.0084,7.4557,7.3924,9.1679,8.25,6.3887,"1"
10.0811,8.7929,10.3855,5.9812,4.1976,10.706,10.0373,11.8014,11.1471,10.1672,"2"
10.9399,8.5249,9.9131,6.6363,1.9739,10.9245,3.7585,12.0271,10.4007,10.883,"2"
9.6737,9.3496,9.1156,6.2017,8.3189,10.6312,7.4601,10.4683,9.5301,9.9682,"2"
10.4243,9.0988,8.7747,6.2836,8.3858,9.0516,4.7845,11.6847,9.6559,9.8368,"2"
11.489,8.7428,4.9963,6.8129,3.5091,5.2623,9.9467,8.8358,8.6213,5.3568,"1"
10.7828,8.3378,6.7392,6.9092,7.6023,6.7671,10.2675,8.3473,9.9085,7.3035,"1"
11.1756,9.4808,7.6927,10.5168,3.1262,4.5541,4.3763,7.5039,7.6612,6.8864,"1"
10.9818,8.6481,7.1012,10.513,6.5944,6.711,6.42,9.6233,8.8773,8.8829,"1"
10.5183,8.8667,8.0613,7.8297,2.7958,7.4051,8.7184,9.2567,7.5883,4.4204,"1"
10.1097,8.8376,10.119,5.4748,9.9649,11.0641,7.1009,12.2213,10.5436,10.6273,"2"
9.8389,8.8409,9.7976,6.8918,6.3908,7.0907,4.9203,11.885,8.8647,8.8144,"2"
10.3356,8.5476,10.4411,6.1555,7.9133,10.205,3.8805,13.5777,9.6685,11.1123,"2"
10.1426,8.8273,10.1586,6.9823,8.402,9.6662,8.563,12.6334,9.4151,9.8677,"2"
10.2234,8.9186,8.2562,5.7927,8.4926,9.1906,5.045,12.2108,10.8503,8.5531,"2"
9.8379,9.0872,10.7554,3.6554,3.4367,10.6106,7.213,12.3533,10.232,8.8412,"2"
10.7093,8.6772,8.2252,7.415,10.7881,6.9617,6.5781,11.7466,9.2289,8.2652,"2"
10.6596,9.3781,10.0395,7.3463,6.5252,7.8234,9.9378,12.6511,9.9047,9.0344,"1"
11.1921,8.4318,9.4743,5.3739,3.441,7.0607,4.1973,7.8891,8.3375,5.3936,"2"
10.5659,8.8182,8.5987,8.3009,4.8939,4.6072,4.0311,8.2866,8.2948,7.8476,"1"
10.2238,8.5136,9.4791,6.3023,6.7067,10.0213,7.1212,12.2398,9.6809,9.3622,"2"
10.6924,8.6583,7.0101,8.3615,8.0697,6.0234,5.2871,8.1543,8.3491,5.3634,"2"
11.686,8.8859,4.1982,3.4731,2.8617,5.0672,6.5167,11.4492,11.132,8.7416,"1"
10.4251,8.3075,9.39,5.7539,6.1982,10.1324,3.6254,12.5708,10.6706,9.8858,"2"
9.3162,8.8435,9.9992,6.7953,3.761,10.8409,5.2725,13.7442,10.1108,10.1553,"2"
11.4136,8.1166,9.0128,7.2671,4.9964,4.3572,10.2591,9.882,8.4253,9.278,"2"
9.52,8.967,11.8109,7.0346,7.0111,9.968,6.828,11.2563,8.1619,9.6481,"2"
9.9158,8.4002,7.5772,6.3792,7.0009,6.9801,10.3347,9.4506,8.7965,10.3363,"2"
9.6217,8.5629,10.4012,5.87,8.0277,10.0142,10.1861,12.0394,11.1699,10.4495,"2"
10.61,8.4951,7.119,6.1757,1.5564,6.3512,6.0076,11.076,10.3819,8.0683,"2"
10.2746,8.7774,6.2579,7.595,5.6778,4.6829,11.3229,12.7615,8.5291,9.1489,"1"
9.9329,9.7883,9.5526,5.7393,6.8589,11.2591,8.0512,12.7348,9.3779,10.6303,"2"
11.1504,9.1798,9.3018,6.6562,7.6482,9.2235,8.0197,12.2847,9.2028,9.9204,"1"
10.4431,8.928,10.2279,8.0145,8.084,11.5201,5.7283,13.5292,10.7669,10.2201,"2"
10.9864,8.295,8.2331,7.9523,5.9316,5.7484,8.6792,12.8285,10.4152,10.5481,"2"
10.7568,8.738,12.7105,4.7044,6.165,10.3504,7.8143,13.0173,9.6138,10.2599,"2"
10.746,8.6235,6.2098,6.0075,5.045,8.545,9.6207,9.9437,9.6985,8.9304,"2"
10.0589,8.2363,11.0676,8.7566,7.4501,9.6946,7.6192,12.2478,10.0585,9.2275,"2"
9.817,8.6368,9.8635,6.4313,3.3156,8.4009,4.0978,14.0764,9.6836,10.5296,"2"
10.33,8.5998,10.9983,4.6737,6.4491,10.4643,8.0776,12.7134,10.4378,8.0097,"2"
9.811,8.5449,12.556,5.3591,5.7718,4.8113,3.4496,9.4755,7.3782,10.9935,"2"
10.2067,9.1222,10.2914,3.9013,7.6386,11.4547,4.955,11.4074,9.638,9.0188,"2"
10.5579,9.276,4.347,6.4804,1.9308,7.8623,6.9049,8.871,8.2662,7.0229,"1"
9.2315,8.1839,8.2314,6.1431,7.2137,8.2559,9.7653,10.6555,9.9697,7.9759,"2"
10.9098,8.7856,9.4931,7.8229,7.8198,5.7018,6.2948,8.0169,8.433,7.6497,"2"
10.3201,8.8491,11.1697,7.1125,8.5666,7.9792,7.7927,11.6343,10.0201,10.8283,"2"
9.7802,8.6075,10.1469,7.8392,4.4006,10.106,8.9199,12.161,9.5759,9.3183,"2"
9.816,8.4654,9.4591,6.6106,8.0786,9.3415,8.6894,11.8167,9.683,9.1755,"2"
11.1873,7.7173,7.6975,6.7262,1.5296,4.1019,6.2424,9.1091,9.1729,7.5264,"2"
9.6388,8.2919,7.6028,6.439,7.8113,7.7174,9.1877,11.3181,9.7048,10.7078,"2"
10.3642,8.5633,6.7144,7.7032,3.8454,8.1461,9.7598,7.8265,6.924,8.2696,"1"
10.2285,8.6439,9.3901,6.3105,6.4839,11.0142,3.7908,12.7039,9.4629,10.6578,"2"
10.8789,8.806,7.6682,2.8185,8.4809,5.7297,5.5649,8.643,8.8685,8.9016,"2"
10.6276,9.2801,14.782,5.6986,7.1223,9.0803,10.3221,14.8983,11.0616,9.8594,"2"
