"SampleID"	"Class"
"GSM505335"	1
"GSM505336"	1
"GSM505339"	1
"GSM505341"	1
"GSM505342"	1
"GSM505344"	1
"GSM505349"	1
"GSM505351"	1
"GSM505356"	1
"GSM505357"	1
"GSM505358"	1
"GSM505359"	1
"GSM505360"	1
"GSM505368"	1
"GSM505370"	1
"GSM505373"	1
"GSM505386"	1
"GSM505390"	1
"GSM505411"	1
"GSM505419"	1
"GSM505423"	1
"GSM505428"	1
"GSM505434"	1
"GSM505435"	1
"GSM505447"	1
"GSM505449"	1
"GSM505454"	1
"GSM505455"	1
"GSM505459"	1
"GSM505463"	1
"GSM505466"	1
"GSM505467"	1
"GSM505478"	1
"GSM505327"	2
"GSM505328"	2
"GSM505329"	2
"GSM505330"	2
"GSM505331"	2
"GSM505333"	2
"GSM505334"	2
"GSM505337"	2
"GSM505338"	2
"GSM505340"	2
"GSM505343"	2
"GSM505345"	2
"GSM505346"	2
"GSM505347"	2
"GSM505348"	2
"GSM505350"	2
"GSM505352"	2
"GSM505353"	2
"GSM505354"	2
"GSM505355"	2
"GSM505361"	2
"GSM505362"	2
"GSM505363"	2
"GSM505364"	2
"GSM505365"	2
"GSM505366"	2
"GSM505367"	2
"GSM505369"	2
"GSM505371"	2
"GSM505372"	2
"GSM505374"	2
"GSM505375"	2
"GSM505376"	2
"GSM505378"	2
"GSM505380"	2
"GSM505382"	2
"GSM505384"	2
"GSM505388"	2
"GSM505392"	2
"GSM505394"	2
"GSM505398"	2
"GSM505400"	2
"GSM505402"	2
"GSM505404"	2
"GSM505406"	2
"GSM505408"	2
"GSM505410"	2
"GSM505412"	2
"GSM505413"	2
"GSM505414"	2
"GSM505415"	2
"GSM505416"	2
"GSM505417"	2
"GSM505418"	2
"GSM505420"	2
"GSM505421"	2
"GSM505422"	2
"GSM505424"	2
"GSM505425"	2
"GSM505426"	2
"GSM505427"	2
"GSM505429"	2
"GSM505430"	2
"GSM505431"	2
"GSM505432"	2
"GSM505433"	2
"GSM505448"	2
"GSM505450"	2
"GSM505451"	2
"GSM505452"	2
"GSM505453"	2
"GSM505456"	2
"GSM505457"	2
"GSM505458"	2
"GSM505460"	2
"GSM505461"	2
"GSM505464"	2
"GSM505465"	2
"GSM505468"	2
"GSM505469"	2
"GSM505471"	2
"GSM505472"	2
"GSM505473"	2
"GSM505474"	2
"GSM505475"	2
"GSM505476"	2
"GSM505477"	2
"GSM505479"	2
"GSM505480"	2
"GSM505481"	2
"GSM505482"	2
"GSM505483"	2
"GSM505484"	2
"GSM505485"	2
"GSM505486"	2
"GSM505487"	2
"GSM505488"	2
