"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1.5	2	100	81.8928918804513	2310.71081195487	2310.71081195487	6	3	3
2	1.5	2	100	81.8928918804513	2310.71081195487	2038.68313487684	11	3	13
3	1.5	7	100	77.2748897040487	2772.09926488925	2772.09926488925	6	7	7
4	1.5	3	100	77.1390277830097	2785.74428052256	2785.74428052256	4	6	6
5	1.5	3	100	77.1390277830097	2785.74428052256	2403.85835268846	4	6	5
6	1.5	14	100	76.3337440608937	2866.27265273416	2866.27265273416	4	6	6
7	1.5	12	100	76.2108429269496	2878.56276612857	2878.56276612857	6	6	6
8	1.5	5	100	76.1884848396511	2880.79857485842	2880.79857485842	5	6	6
9	1.5	5	100	76.1884848396511	2880.79857485842	2814.84286548208	5	6	6
10	1.5	7	100	74.6421081324304	3035.37742205108	3035.37742205108	4	7	7
11	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
12	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	7	7	6
13	1.5	7	100	74.6421081324304	3035.37742205108	2459.76489413931	5	7	5
14	1.5	7	100	74.6421081324304	3035.37742205108	3035.37742205108	6	7	7
15	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
16	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
17	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
18	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
19	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
20	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
21	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
22	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
23	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
24	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
25	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	7	7	6
26	1.5	7	100	74.6421081324304	3035.37742205108	2459.76489413931	5	7	5
27	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
28	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
29	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
30	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
31	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
32	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
33	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
34	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
35	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
36	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
37	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
38	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
39	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
40	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
41	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
42	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
43	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
44	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
45	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
46	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
47	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
48	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
49	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
50	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
51	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
52	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
53	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
54	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
55	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
56	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
57	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
58	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
59	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
60	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
61	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
62	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
63	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
64	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
65	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
66	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
67	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
68	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
69	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
70	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
71	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
72	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	6	7	6
73	1.5	7	100	74.6421081324304	3035.37742205108	2880.79857485842	7	7	6
