"Iteration #"	"Inertia"	"Number of features"	"CV best"	"Permuted CV best"	"Global best fitness"	"Current best fitness"	"Number of features in current best agent"	"Number of features in global best"	"Number of features in local best"
1	1	38	91.8607946403053	62.7651109503109	45.7869614275721	45.7869614275721	23	38	760
2	1	18	92.0614174798222	47.5209406627373	57.4207119827693	57.4207119827693	18	18	18
3	1	22	91.9911401951865	47.241228598274	57.560218746481	57.560218746481	23	23	23
4	1	22	91.9911401951865	47.241228598274	57.560218746481	57.560218746481	23	23	23
5	1	22	91.9911401951865	47.241228598274	57.560218746481	57.560218746481	18	23	23
6	1	22	91.9911401951865	47.241228598274	57.560218746481	57.3354582260964	26	23	25
7	1	22	91.9911401951865	47.241228598274	57.560218746481	54.0177109104638	23	23	51
8	1	25	91.8607946403053	46.2927610621189	58.1412238437162	58.1412238437162	23	23	23
9	1	25	91.8607946403053	46.2927610621189	58.1412238437162	58.1412238437162	23	23	46
10	1	25	91.8607946403053	46.2927610621189	58.1412238437162	58.1412238437162	23	23	46
11	1	25	91.8607946403053	46.2927610621189	58.1412238437162	58.1412238437162	25	23	23
12	1	25	91.8607946403053	46.2927610621189	58.1412238437162	57.8041583603394	23	23	23
13	1	25	91.8607946403053	46.2927610621189	58.1412238437162	58.1412238437162	24	23	23
14	1	25	91.8607946403053	46.2927610621189	58.1412238437162	56.4677334839827	26	23	25
15	1	8	91.9911401951865	45.4799978079794	58.881141839202	58.881141839202	23	27	27
16	1	8	91.9911401951865	45.4799978079794	58.881141839202	53.7501335433988	26	27	26
17	1	8	91.9911401951865	45.4799978079794	58.881141839202	56.7775164777713	23	27	23
18	1	8	91.9911401951865	45.4799978079794	58.881141839202	58.6391841499944	24	27	48
19	1	8	91.9911401951865	45.4799978079794	58.881141839202	58.6391841499944	24	27	48
20	1	8	91.9911401951865	45.4799978079794	58.881141839202	58.6391841499944	18	27	48
21	1	8	91.9911401951865	45.4799978079794	58.881141839202	58.6952449676444	14	27	15
22	1	14	91.6563009654606	44.64428744117	59.1730853845831	59.1730853845831	13	14	14
23	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6391841499944	24	14	24
24	1	14	91.6563009654606	44.64428744117	59.1730853845831	59.1730853845831	14	14	14
25	1	14	91.6563009654606	44.64428744117	59.1730853845831	59.1730853845831	13	14	14
26	1	14	91.6563009654606	44.64428744117	59.1730853845831	64.1581856821619	13	14	14
27	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6391841499944	24	14	24
28	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6391841499944	24	14	24
29	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6719324660986	26	14	26
30	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6391841499944	24	14	24
31	1	14	91.6563009654606	44.64428744117	59.1730853845831	58.6391841499944	24	14	48
32	1	14	91.6563009654606	44.64428744117	59.1730853845831	59.1730853845831	14	14	14
33	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
34	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
35	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	14	13	13
36	1	8	91.6563009654606	43.3617553993606	60.1349844159402	58.6719324660986	26	13	26
37	1	8	91.6563009654606	43.3617553993606	60.1349844159402	59.1730853845831	14	13	14
38	1	8	91.6563009654606	43.3617553993606	60.1349844159402	59.1730853845831	14	13	28
39	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
40	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
41	1	8	91.6563009654606	43.3617553993606	60.1349844159402	59.4206693564062	15	13	15
42	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
43	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
44	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	13	13	13
45	1	8	91.6563009654606	43.3617553993606	60.1349844159402	60.1349844159402	11	13	13
46	1	8	91.6563009654606	43.3617553993606	60.1349844159402	57.8450152594277	12	13	14
47	1	8	91.6563009654606	43.3617553993606	60.1349844159402	57.3618499757935	13	13	15
48	1	8	91.6563009654606	43.3617553993606	60.1349844159402	59.9732683832595	12	13	13
